GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
371830543025,0.003271475902842098,47,19,28,0.001277581663117153,2.3960704444710675e-5,3,4.6639403578734224e-4,6,1,"Wake County, North Carolina"
371830526022,0.02404806473860457,312,253,59,0.0069524769644383365,2.4697456162015314e-5,2,0.00800874824705728,1,1,"Wake County, North Carolina"
371830534182,0.003800259562275689,103,72,31,8.233268969331055e-4,2.410161239786942e-5,2,0.0013404492061434166,2,1,"Wake County, North Carolina"
371830537132,0.0022388616046451846,50,0,50,0,2.4709661477637757e-5,2,3.2967032967184235e-4,1,1,"Wake County, North Carolina"
371830540132,0.08574386584550424,86,5,81,2.917408174577705e-5,2.4327940639824837e-5,2,3.4592815972748223e-4,1,1,"Wake County, North Carolina"
371830508002,9.881135296537088e-4,33,7,26,2.593251710735738e-4,2.389771776795316e-5,3,3.857065951282055e-4,1,1,"Wake County, North Carolina"
371830530041,0.01025998123560306,261,224,37,0.006976651704530457,2.4583917201366867e-5,2,0.008632945290146318,2,1,"Wake County, North Carolina"
371830538051,0.008674104835312479,49,1,48,5.591699001273935e-5,2.3697805583202996e-5,2,3.303320491190109e-4,1,1,"Wake County, North Carolina"
371830540043,0.007509521242281764,109,59,50,0.002416694665505821,2.4690748376583295e-5,2,0.0014025826204633897,1,1,"Wake County, North Carolina"
371830537142,0.005097095377474731,79,14,65,6.401935800657975e-4,2.448459918711131e-5,2,5.369560182476764e-4,1,1,"Wake County, North Carolina"
371830543023,0.0075202126455098115,94,32,62,0.0017172207967055817,2.4816974810770568e-5,2,8.229780115748836e-4,6,1,"Wake County, North Carolina"
371830515022,0.0067879621212602525,203,136,67,0.005216848711393159,2.473655568198684e-5,2,0.0030887743016777005,1,1,"Wake County, North Carolina"
371830540083,0.0038611420987668425,40,0,40,0,2.461780852268531e-5,2,3.364218263390425e-4,1,1,"Wake County, North Carolina"
371830535093,0.001868888292209049,108,57,51,0.0023522413798692347,2.4675516952080145e-5,2,8.189458095972075e-4,2,1,"Wake County, North Carolina"
371830530061,0.008198544237859148,110,3,107,2.4183229904267337e-4,2.473043822336532e-5,2,3.384330252557012e-4,2,1,"Wake County, North Carolina"
371830532041,0.008928453239665252,121,55,66,0.0031865469721028836,2.4954458113942057e-5,2,0.0012996796181148254,7,1,"Wake County, North Carolina"
371830534192,0.0030095647085062855,58,0,58,0,2.4575458946695827e-5,2,3.3161371368770824e-4,2,1,"Wake County, North Carolina"
371830534053,0.010412913387512455,288,235,53,0.006922100802472482,2.4713325425069195e-5,2,0.011128896443956399,2,1,"Wake County, North Carolina"
371830501001,0.08342112798371133,518,445,73,0.005026573252351472,2.4956949262522147e-5,2,0.03808949848026849,1,1,"Wake County, North Carolina"
371830537222,0.016459931928065257,195,155,40,0.0022898317884751935,2.378234398782344e-5,2,0.004876640854161798,1,1,"Wake County, North Carolina"
371830534082,0.0026662888043984634,91,37,54,5.046170685666558e-4,2.429720339188959e-5,2,7.848159392264445e-4,2,1,"Wake County, North Carolina"
371830530094,0.0012637361153661824,60,28,32,0.0018707069528319928,2.4464831804281346e-5,3,4.655027997310016e-4,3,1,"Wake County, North Carolina"
371830534242,0.0028918588824301383,71,0,71,0,2.48015873015873e-5,2,3.2967032967184235e-4,2,1,"Wake County, North Carolina"
371830534091,0.003580313999058738,73,0,73,0,2.5083402312689693e-5,2,3.2967032967184235e-4,2,1,"Wake County, North Carolina"
371830524042,3.976218231766881e-4,17,0,17,0,2.3729296189075032e-5,3,3.2967032967184235e-4,4,1,"Wake County, North Carolina"
371830544033,0.006611521168752087,60,6,54,2.1815730016564396e-4,2.473288484368817e-5,2,3.4193279380954103e-4,6,1,"Wake County, North Carolina"
371830537071,0.003993858649223049,68,11,57,0.001821435170328014,2.4919013207077e-5,2,4.0529276754466825e-4,1,1,"Wake County, North Carolina"
371830541061,0.008941491875314933,163,100,63,0.005106965809477697,2.4963802486394726e-5,2,0.0025731537950643714,1,1,"Wake County, North Carolina"
371830537212,0.007473469496324794,68,0,68,0,2.4599035717799862e-5,2,3.3062496931410024e-4,1,1,"Wake County, North Carolina"
371830537223,0.005948321432438667,63,20,43,5.50390662565007e-4,2.4055809477988934e-5,2,4.7309403940638725e-4,1,1,"Wake County, North Carolina"
371830528021,0.010000954799610426,233,195,38,0.0037348037800236074,2.42306760358614e-5,2,0.007418880501787912,3,1,"Wake County, North Carolina"
371830528063,0.004797375197416679,76,1,75,1.9449387830518036e-5,2.4819438584299223e-5,2,3.3006669676511095e-4,1,1,"Wake County, North Carolina"
371830538071,0.02512721600284954,246,179,67,0.00568356841623172,2.4560369387955596e-5,2,0.0053707996384732525,1,1,"Wake County, North Carolina"
371830528084,0.022447086345538502,342,244,98,0.027539482958933315,2.5484849257116646e-5,2,0.010351978039557598,3,1,"Wake County, North Carolina"
371830537072,0.005698491020907,70,0,70,0,2.5063284794105115e-5,2,3.328369104476071e-4,1,1,"Wake County, North Carolina"
371830541062,0.005339937720020827,111,50,61,0.0027610260102164303,2.4632361997191914e-5,2,7.529871588998068e-4,1,1,"Wake County, North Carolina"
371830521022,0.0014800345148015968,52,2,50,1.4587040872888525e-5,2.4511005441443208e-5,2,3.3921985973088233e-4,3,1,"Wake County, North Carolina"
371830545004,0.003136019632980521,74,4,70,9.644023158916527e-4,2.5112377891062507e-5,2,4.014321650622517e-4,3,1,"Wake County, North Carolina"
371830528083,0.006630645834104758,135,69,66,0.0033280796832157815,2.500562626590983e-5,2,0.0029440851646163326,3,1,"Wake County, North Carolina"
