GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
320310033083,0.0018994792538226215,7,3,4,3.4574560038723505e-4,2.5633138521480568e-5,3,7.386813220755293e-4,3,1,"Washoe County, Nevada"
320310012021,0.04889587456506403,60,4,56,0.003492030563911074,2.7383006106410362e-5,2,5.041000008074385e-4,1,1,"Washoe County, Nevada"
320310027041,0.0597663062484607,77,14,63,0.002871762956816374,2.721977244270238e-5,3,7.898310247695686e-4,1,1,"Washoe County, Nevada"
320310031081,0.06891957382899068,57,5,52,6.102409846834699e-4,2.714882988543194e-5,3,5.390768771069176e-4,1,1,"Washoe County, Nevada"
320310026103,0.04293415841971176,47,3,44,9.023960170106835e-4,2.6963626068433684e-5,2,5.10536711180501e-4,1,1,"Washoe County, Nevada"
320310010083,0.04073409964225383,42,8,34,6.759326487570445e-4,2.6830511657857317e-5,2,8.272336335755385e-4,1,1,"Washoe County, Nevada"
320310027051,0.07060455056212518,62,0,62,0,2.736577089376608e-5,2,4.847309743109346e-4,1,1,"Washoe County, Nevada"
320310007001,0.09448852789944913,135,72,63,0.011612001817634018,2.7309719529180435e-5,2,0.0022003805151616157,1,1,"Washoe County, Nevada"
320310026152,0.1434797544542622,119,48,71,0.0034639387338796105,2.708705780378135e-5,2,0.0017889831364621054,1,1,"Washoe County, Nevada"
320310031091,0.051096523547803294,48,10,38,0.0011556546692943334,2.7016074564365797e-5,2,5.754570198456347e-4,1,1,"Washoe County, Nevada"
320310033051,0.007253620231347125,21,13,8,1.4262006015973447e-4,2.5554533374220583e-5,3,0.0028261430077198566,2,1,"Washoe County, Nevada"
320310035032,0.12333243642029303,87,17,70,3.365833419769734e-4,2.7400263042525206e-5,2,5.519705811383113e-4,1,1,"Washoe County, Nevada"
320310026102,0.1206984924707977,86,11,75,0.0018537150364761612,2.7112761977062604e-5,2,5.494337353115025e-4,1,1,"Washoe County, Nevada"
320310035094,0.029861623960946233,31,0,31,0,2.737326179787584e-5,3,4.975465677219547e-4,1,1,"Washoe County, Nevada"
320310031101,0.07791798683891588,57,7,50,0.001041385748366352,2.6804621116680515e-5,2,5.387848773992569e-4,1,1,"Washoe County, Nevada"
