GEOID,evc,deg,ind,out,bet,clo,ecc,prc,infomap,month,city
261635243002,0.0033304335486693372,33,0,33,0,7.376872619114361e-7,4,8.576255434862489e-5,13,1,"Wayne County, Michigan"
261635355001,0.001432105829469442,24,11,13,2.1911641351509553e-4,7.345509249465247e-7,4,1.621239511062635e-4,2,1,"Wayne County, Michigan"
261635425003,9.136750961409402e-4,20,12,8,9.707412302140475e-4,7.329986461515006e-7,4,1.9343404085501604e-4,12,1,"Wayne County, Michigan"
261635458005,0.0025844446879410912,31,6,25,0.003575930336932927,7.353508910614423e-7,4,2.0073115471214766e-4,2,1,"Wayne County, Michigan"
261635811003,0.018422203564158565,49,16,33,4.488235542601276e-5,7.349028899321243e-7,4,2.032699914459649e-4,1,1,"Wayne County, Michigan"
261635390004,1.9957223927605603e-7,1,0,1,0,7.229549772558364e-7,5,1.454416510226097e-4,35,1,"Wayne County, Michigan"
261635801002,0.007999025854369951,34,7,27,9.564643666785353e-4,7.339158668206912e-7,4,1.711272258332608e-4,1,1,"Wayne County, Michigan"
261635547002,0.002208442138247613,20,1,19,1.2245214057405162e-5,7.358589976423078e-7,4,8.469388726964552e-5,4,1,"Wayne County, Michigan"
261635356001,0.0013881824666120964,25,1,24,1.9662746186634162e-5,7.380346138233883e-7,4,1.1092941202475018e-4,2,1,"Wayne County, Michigan"
261635047001,2.7895421824972763e-4,7,4,3,4.967986434213781e-4,7.221697445541179e-7,4,3.4815311810532963e-4,23,1,"Wayne County, Michigan"
261635364002,4.0909793121255924e-4,4,0,4,0,7.320751401923893e-7,4,1.0132636185351105e-4,33,1,"Wayne County, Michigan"
261635747001,0.005569007341803108,40,3,37,7.700626822773206e-4,7.364063077618698e-7,4,1.2163261293334143e-4,2,1,"Wayne County, Michigan"
261635750004,0.011944179312466068,38,0,38,0,7.370201538161061e-7,4,8.493426735507085e-5,2,1,"Wayne County, Michigan"
261635590001,0.0022545883005308043,17,0,17,0,7.341815087576841e-7,4,8.612460552070274e-5,4,1,"Wayne County, Michigan"
261635625002,0.004389027963056078,48,18,30,1.564952006232307e-4,7.335341749904457e-7,4,1.4747006180432134e-4,5,1,"Wayne County, Michigan"
261635802001,0.016769227261759275,29,0,29,0,7.342661450439972e-7,4,8.362894933800056e-5,1,1,"Wayne County, Michigan"
261635725001,0.0032165463545113806,22,0,22,0,7.367752526033955e-7,4,8.528915814151868e-5,1,1,"Wayne County, Michigan"
261635952001,0.03270386426588027,47,26,21,3.3921780215025686e-5,7.315877649262194e-7,4,1.9314111343081257e-4,1,1,"Wayne County, Michigan"
261635688002,0.013701472458842606,233,191,42,0.008846998451022919,7.352654639194208e-7,4,0.0035674017633854833,7,1,"Wayne County, Michigan"
261635573001,0.003420571055389126,29,8,21,2.358523775327729e-5,7.326882257734807e-7,4,1.2702497964641344e-4,4,1,"Wayne County, Michigan"
261635126004,2.5554258586785658e-5,1,0,1,0,7.22971702887549e-7,4,8.362894933800056e-5,3,1,"Wayne County, Michigan"
261635870003,0.009070260645969469,57,36,21,0.0023760810395901,7.356013393829187e-7,4,3.185989340339999e-4,16,1,"Wayne County, Michigan"
261635920002,0.37014841617351296,121,4,117,5.617711960380823e-4,7.379295026428946e-7,4,8.97438153519888e-5,1,1,"Wayne County, Michigan"
261635602001,0.016772961129013882,154,139,15,0.002215462389915201,7.311144011259161e-7,4,0.002612431900300968,4,1,"Wayne County, Michigan"
261635742021,0.004108769628830553,38,17,21,6.666525859277093e-4,7.354682505710911e-7,4,2.143571886636807e-4,2,1,"Wayne County, Michigan"
261635848001,0.012199644305210859,24,0,24,0,7.359212740857835e-7,4,8.723903849685049e-5,1,1,"Wayne County, Michigan"
261635054003,1.0483879513738532e-4,3,0,3,0,7.302201613786556e-7,4,8.362894933800056e-5,32,1,"Wayne County, Michigan"
261635678002,0.005804559117581869,54,26,28,0.0053876466947189484,7.334583146301464e-7,4,8.051020354614276e-4,7,1,"Wayne County, Michigan"
261635073002,1.4101657564894693e-4,6,0,6,0,7.323297974009615e-7,4,8.362894933800056e-5,15,1,"Wayne County, Michigan"
261635166002,9.294159956396263e-4,19,9,10,3.32411044931638e-4,7.319492173632994e-7,4,2.4392332958461364e-4,3,1,"Wayne County, Michigan"
261635694002,0.002113301451046626,28,6,22,3.495040562585867e-5,7.340559379986992e-7,4,9.986533695519914e-5,7,1,"Wayne County, Michigan"
261635213001,0.0010177153404475547,10,2,8,6.82915839423253e-5,7.317103509941383e-7,4,9.841345592787062e-5,6,1,"Wayne County, Michigan"
261635110002,1.7479527894284413e-6,2,0,2,0,7.256478039357686e-7,5,1.1923973508693722e-4,8,1,"Wayne County, Michigan"
261635054004,3.298235875033818e-6,5,5,0,0,3.0139891291440093e-7,5,0.0010620690308553993,32,1,"Wayne County, Michigan"
261635332001,2.160479336874715e-5,2,0,2,0,7.259897054659765e-7,4,8.362894933800056e-5,20,1,"Wayne County, Michigan"
261635752003,0.0039030168079755823,29,6,23,1.5918275391092518e-4,7.357014582338604e-7,4,9.9129000329233e-5,2,1,"Wayne County, Michigan"
261635017001,1.3895016869793175e-4,37,19,18,0.0014861717085769804,7.29692121003385e-7,4,3.364206487707803e-4,8,1,"Wayne County, Michigan"
261635658001,0.00663566378150083,144,106,38,0.0047820148349684765,7.368333408244723e-7,4,0.00123440408741151,7,1,"Wayne County, Michigan"
261635407001,5.109913942466544e-6,4,0,4,0,7.301241941254207e-7,5,8.362894933800056e-5,19,1,"Wayne County, Michigan"
261635423001,2.817401676875939e-4,15,0,15,0,7.372217356558766e-7,4,8.362894933800056e-5,12,1,"Wayne County, Michigan"
261635765002,0.00798124386501296,26,4,22,3.7942562654259525e-5,7.346356464316176e-7,4,9.288675202190867e-5,1,1,"Wayne County, Michigan"
261635970002,0.03341212360565157,20,0,20,0,7.343475652339301e-7,4,8.362894933800056e-5,1,1,"Wayne County, Michigan"
261635918001,0.11326123709090052,105,79,26,4.682222865913146e-4,7.357339350655943e-7,4,6.698644847328304e-4,1,1,"Wayne County, Michigan"
261635019001,3.021759803748189e-4,4,0,4,0,7.323356968247389e-7,4,1.0995658153700074e-4,8,1,"Wayne County, Michigan"
261635074002,4.0993417775892117e-4,15,1,14,2.8918317633309395e-4,7.335363272863044e-7,4,9.85685441232794e-5,15,1,"Wayne County, Michigan"
261635501002,6.000052741849112e-4,10,0,10,0,7.299893494553915e-7,4,8.362894933800056e-5,8,1,"Wayne County, Michigan"
