month,name,value,city
1,January,1,"Alameda County, California"
1,February,0.8830108448228368,"Alameda County, California"
1,March,0.9199109352992849,"Alameda County, California"
1,April,0.8375477775257408,"Alameda County, California"
1,May,0.8689027783702863,"Alameda County, California"
1,June,0.8972139034558931,"Alameda County, California"
1,July,0.9108979043078509,"Alameda County, California"
1,August,0.910234944345862,"Alameda County, California"
1,September,0.9147993650803357,"Alameda County, California"
1,October,0.9223988970421844,"Alameda County, California"
1,November,0.9167785380030867,"Alameda County, California"
1,December,0.911201563536551,"Alameda County, California"
2,February,1,"Alameda County, California"
2,March,0.9511165815621132,"Alameda County, California"
2,April,0.7257307510068445,"Alameda County, California"
2,May,0.7521895277928237,"Alameda County, California"
2,June,0.7760934983281244,"Alameda County, California"
2,July,0.7864095792068426,"Alameda County, California"
2,August,0.7860760381016737,"Alameda County, California"
2,September,0.8295043016345315,"Alameda County, California"
2,October,0.8346461561510988,"Alameda County, California"
2,November,0.8244694213422752,"Alameda County, California"
2,December,0.8017105429790322,"Alameda County, California"
3,March,0.9999999999999999,"Alameda County, California"
3,April,0.8296787835077054,"Alameda County, California"
3,May,0.8513111605817546,"Alameda County, California"
3,June,0.866621411307825,"Alameda County, California"
3,July,0.8696274763053998,"Alameda County, California"
3,August,0.8679282187922266,"Alameda County, California"
3,September,0.8969701016348964,"Alameda County, California"
3,October,0.8987916412599191,"Alameda County, California"
3,November,0.890648450105768,"Alameda County, California"
3,December,0.875141356225807,"Alameda County, California"
4,April,0.9999999999999999,"Alameda County, California"
4,May,0.9357672722347427,"Alameda County, California"
4,June,0.9088901989701186,"Alameda County, California"
4,July,0.9007871765235989,"Alameda County, California"
4,August,0.8997823193368434,"Alameda County, California"
4,September,0.8888906910039099,"Alameda County, California"
4,October,0.8821689480146244,"Alameda County, California"
4,November,0.8799880049199694,"Alameda County, California"
4,December,0.8852916165919449,"Alameda County, California"
5,May,1,"Alameda County, California"
5,June,0.9392804237239805,"Alameda County, California"
5,July,0.928934913817208,"Alameda County, California"
5,August,0.92575093522854,"Alameda County, California"
5,September,0.914634609333201,"Alameda County, California"
5,October,0.9108652330493711,"Alameda County, California"
5,November,0.9061725096914723,"Alameda County, California"
5,December,0.9100795123490536,"Alameda County, California"
6,June,0.9999999999999999,"Alameda County, California"
6,July,0.9469511347238068,"Alameda County, California"
6,August,0.9436041832966752,"Alameda County, California"
6,September,0.9319805749665766,"Alameda County, California"
6,October,0.9328318283454199,"Alameda County, California"
6,November,0.9257289609044933,"Alameda County, California"
6,December,0.9274081648665714,"Alameda County, California"
7,July,1,"Alameda County, California"
7,August,0.9537585155874139,"Alameda County, California"
7,September,0.9410813057938305,"Alameda County, California"
7,October,0.9406666326526071,"Alameda County, California"
7,November,0.9414967042827984,"Alameda County, California"
7,December,0.9426585463923289,"Alameda County, California"
8,August,1,"Alameda County, California"
8,September,0.9468225594607917,"Alameda County, California"
8,October,0.9474370818824385,"Alameda County, California"
8,November,0.944200634006551,"Alameda County, California"
8,December,0.9445474348647336,"Alameda County, California"
9,September,1,"Alameda County, California"
9,October,0.9542956450215532,"Alameda County, California"
9,November,0.9492265618987243,"Alameda County, California"
9,December,0.942567442641759,"Alameda County, California"
10,October,1,"Alameda County, California"
10,November,0.9538560056628922,"Alameda County, California"
10,December,0.946860657596496,"Alameda County, California"
11,November,1,"Alameda County, California"
11,December,0.9548195928099258,"Alameda County, California"
12,December,0.9999999999999998,"Alameda County, California"
