month,name,value,city
1,January,1,"Bexar County, Texas"
1,February,0.9727062348235149,"Bexar County, Texas"
1,March,0.9662881809346922,"Bexar County, Texas"
1,April,0.910146988447847,"Bexar County, Texas"
1,May,0.9472892440005396,"Bexar County, Texas"
1,June,0.9571966185494062,"Bexar County, Texas"
1,July,0.9513656956350274,"Bexar County, Texas"
1,August,0.9529004103474387,"Bexar County, Texas"
1,September,0.9470582859904929,"Bexar County, Texas"
1,October,0.9561594463905307,"Bexar County, Texas"
1,November,0.9487315930521752,"Bexar County, Texas"
1,December,0.9500315784483506,"Bexar County, Texas"
2,February,1,"Bexar County, Texas"
2,March,0.9595320237974257,"Bexar County, Texas"
2,April,0.8983292702245756,"Bexar County, Texas"
2,May,0.9337415723874716,"Bexar County, Texas"
2,June,0.9433265184582305,"Bexar County, Texas"
2,July,0.9380112493754497,"Bexar County, Texas"
2,August,0.9396194419885694,"Bexar County, Texas"
2,September,0.9405311455307263,"Bexar County, Texas"
2,October,0.9493226425767606,"Bexar County, Texas"
2,November,0.941451649194289,"Bexar County, Texas"
2,December,0.9387847153645134,"Bexar County, Texas"
3,March,1,"Bexar County, Texas"
3,April,0.9453091399761355,"Bexar County, Texas"
3,May,0.9643695149699334,"Bexar County, Texas"
3,June,0.963803701395567,"Bexar County, Texas"
3,July,0.9614406025523968,"Bexar County, Texas"
3,August,0.9583716458603512,"Bexar County, Texas"
3,September,0.9516909218610984,"Bexar County, Texas"
3,October,0.9598028767922844,"Bexar County, Texas"
3,November,0.9527622961427552,"Bexar County, Texas"
3,December,0.9490438739170294,"Bexar County, Texas"
4,April,1,"Bexar County, Texas"
4,May,0.9619980729826869,"Bexar County, Texas"
4,June,0.9401619749084974,"Bexar County, Texas"
4,July,0.9426620237722262,"Bexar County, Texas"
4,August,0.9305975754765915,"Bexar County, Texas"
4,September,0.9178135920712405,"Bexar County, Texas"
4,October,0.9235795886193521,"Bexar County, Texas"
4,November,0.9197944364932503,"Bexar County, Texas"
4,December,0.9092676846109815,"Bexar County, Texas"
5,May,1,"Bexar County, Texas"
5,June,0.9753345376359457,"Bexar County, Texas"
5,July,0.9740394659842556,"Bexar County, Texas"
5,August,0.9677657396818677,"Bexar County, Texas"
5,September,0.9552249681689318,"Bexar County, Texas"
5,October,0.9603963703406693,"Bexar County, Texas"
5,November,0.9562420381580016,"Bexar County, Texas"
5,December,0.953835382969663,"Bexar County, Texas"
6,June,1,"Bexar County, Texas"
6,July,0.9784961284042782,"Bexar County, Texas"
6,August,0.9726944352795833,"Bexar County, Texas"
6,September,0.9642182676763816,"Bexar County, Texas"
6,October,0.9686065918121343,"Bexar County, Texas"
6,November,0.9644784592193303,"Bexar County, Texas"
6,December,0.9652362691266769,"Bexar County, Texas"
7,July,1,"Bexar County, Texas"
7,August,0.9761928869248081,"Bexar County, Texas"
7,September,0.9670640384801992,"Bexar County, Texas"
7,October,0.9709433470239592,"Bexar County, Texas"
7,November,0.9664446585928155,"Bexar County, Texas"
7,December,0.967132850378822,"Bexar County, Texas"
8,August,0.9999999999999998,"Bexar County, Texas"
8,September,0.9694619711112302,"Bexar County, Texas"
8,October,0.9705328677492502,"Bexar County, Texas"
8,November,0.9682070429952885,"Bexar County, Texas"
8,December,0.9713759447741499,"Bexar County, Texas"
9,September,1,"Bexar County, Texas"
9,October,0.9752700983451423,"Bexar County, Texas"
9,November,0.971135905610539,"Bexar County, Texas"
9,December,0.9700802187469326,"Bexar County, Texas"
10,October,1,"Bexar County, Texas"
10,November,0.9756073355341583,"Bexar County, Texas"
10,December,0.9740786104528767,"Bexar County, Texas"
11,November,1,"Bexar County, Texas"
11,December,0.9764182960271929,"Bexar County, Texas"
12,December,1,"Bexar County, Texas"
