month,name,value,city
1,January,1,"Clark County, Nevada"
1,February,0.9701501109257198,"Clark County, Nevada"
1,March,0.9217128864919761,"Clark County, Nevada"
1,April,0.7673587194525583,"Clark County, Nevada"
1,May,0.8053051388471936,"Clark County, Nevada"
1,June,0.8674933784933768,"Clark County, Nevada"
1,July,0.8755442971030382,"Clark County, Nevada"
1,August,0.8561236853092651,"Clark County, Nevada"
1,September,0.8859422943254848,"Clark County, Nevada"
1,October,0.8926913089619223,"Clark County, Nevada"
1,November,0.8724777577287642,"Clark County, Nevada"
1,December,0.8798060392335997,"Clark County, Nevada"
2,February,1,"Clark County, Nevada"
2,March,0.9396493961616044,"Clark County, Nevada"
2,April,0.7969084628112036,"Clark County, Nevada"
2,May,0.8351658282273859,"Clark County, Nevada"
2,June,0.8937555375778883,"Clark County, Nevada"
2,July,0.8985596963288736,"Clark County, Nevada"
2,August,0.8804187265838623,"Clark County, Nevada"
2,September,0.9073947992999584,"Clark County, Nevada"
2,October,0.9136580787462496,"Clark County, Nevada"
2,November,0.8945646301917652,"Clark County, Nevada"
2,December,0.9009460986413361,"Clark County, Nevada"
3,March,1,"Clark County, Nevada"
3,April,0.8927133342750732,"Clark County, Nevada"
3,May,0.9133721942256396,"Clark County, Nevada"
3,June,0.9363332523239833,"Clark County, Nevada"
3,July,0.9361962876224597,"Clark County, Nevada"
3,August,0.9247652352564917,"Clark County, Nevada"
3,September,0.9351380915016172,"Clark County, Nevada"
3,October,0.9361287012513057,"Clark County, Nevada"
3,November,0.9268710753858485,"Clark County, Nevada"
3,December,0.9297329297491395,"Clark County, Nevada"
4,April,0.9999999999999999,"Clark County, Nevada"
4,May,0.9539762458356938,"Clark County, Nevada"
4,June,0.9091948559788451,"Clark County, Nevada"
4,July,0.8961849148729839,"Clark County, Nevada"
4,August,0.876406708480622,"Clark County, Nevada"
4,September,0.8802312387562229,"Clark County, Nevada"
4,October,0.8749748799660003,"Clark County, Nevada"
4,November,0.8820157355872814,"Clark County, Nevada"
4,December,0.8847358485962887,"Clark County, Nevada"
5,May,0.9999999999999999,"Clark County, Nevada"
5,June,0.94720299659855145,"Clark County, Nevada"
5,July,0.9308756320738794,"Clark County, Nevada"
5,August,0.9110498943880546,"Clark County, Nevada"
5,September,0.917810307905426,"Clark County, Nevada"
5,October,0.915787054095766,"Clark County, Nevada"
5,November,0.9178348385674769,"Clark County, Nevada"
5,December,0.9236840529706033,"Clark County, Nevada"
6,June,1,"Clark County, Nevada"
6,July,0.961020109051462,"Clark County, Nevada"
6,August,0.9392974816900836,"Clark County, Nevada"
6,September,0.9520320575544893,"Clark County, Nevada"
6,October,0.9524243836839933,"Clark County, Nevada"
6,November,0.9456066055857059,"Clark County, Nevada"
6,December,0.953438383444728,"Clark County, Nevada"
7,July,1,"Clark County, Nevada"
7,August,0.9493321102594245,"Clark County, Nevada"
7,September,0.9568338607237401,"Clark County, Nevada"
7,October,0.9547427861173728,"Clark County, Nevada"
7,November,0.9479174359882316,"Clark County, Nevada"
7,December,0.9499839241499115,"Clark County, Nevada"
8,August,1,"Clark County, Nevada"
8,September,0.9494668047181866,"Clark County, Nevada"
8,October,0.9466988440489694,"Clark County, Nevada"
8,November,0.9437126910878566,"Clark County, Nevada"
8,December,0.9359713700663652,"Clark County, Nevada"
9,September,1,"Clark County, Nevada"
9,October,0.9676392231165789,"Clark County, Nevada"
9,November,0.9572583098890773,"Clark County, Nevada"
9,December,0.9561893972093111,"Clark County, Nevada"
10,October,1,"Clark County, Nevada"
10,November,0.9633955185441947,"Clark County, Nevada"
10,December,0.9613061848721712,"Clark County, Nevada"
11,November,1,"Clark County, Nevada"
11,December,0.9625952641028579,"Clark County, Nevada"
12,December,0.9999999999999998,"Clark County, Nevada"
