month,name,value,city
1,January,1,"Cook County, Illinois"
1,February,0.9129325938333906,"Cook County, Illinois"
1,March,0.7539264736689258,"Cook County, Illinois"
1,April,0.6627275425500433,"Cook County, Illinois"
1,May,0.7287943082125148,"Cook County, Illinois"
1,June,0.7871652901051726,"Cook County, Illinois"
1,July,0.7992227792612822,"Cook County, Illinois"
1,August,0.80215666743704,"Cook County, Illinois"
1,September,0.8053926491679316,"Cook County, Illinois"
1,October,0.8066298769844213,"Cook County, Illinois"
1,November,0.5710374974094865,"Cook County, Illinois"
1,December,0.7494728279118439,"Cook County, Illinois"
2,February,1,"Cook County, Illinois"
2,March,0.7621130051278708,"Cook County, Illinois"
2,April,0.6469307489903057,"Cook County, Illinois"
2,May,0.7071002144967725,"Cook County, Illinois"
2,June,0.7643544465874095,"Cook County, Illinois"
2,July,0.7710071516135194,"Cook County, Illinois"
2,August,0.7731287252922066,"Cook County, Illinois"
2,September,0.7872422315738834,"Cook County, Illinois"
2,October,0.7862340280612983,"Cook County, Illinois"
2,November,0.5575959089112166,"Cook County, Illinois"
2,December,0.7232570661379911,"Cook County, Illinois"
3,March,1,"Cook County, Illinois"
3,April,0.6750106165395119,"Cook County, Illinois"
3,May,0.690002107177864,"Cook County, Illinois"
3,June,0.7285547375069056,"Cook County, Illinois"
3,July,0.7236200601175348,"Cook County, Illinois"
3,August,0.7406610240792438,"Cook County, Illinois"
3,September,0.7302263162453806,"Cook County, Illinois"
3,October,0.7319817978547106,"Cook County, Illinois"
3,November,0.5704037384254822,"Cook County, Illinois"
3,December,0.7053375459358517,"Cook County, Illinois"
4,April,1,"Cook County, Illinois"
4,May,0.848445127189823,"Cook County, Illinois"
4,June,0.7628249760516965,"Cook County, Illinois"
4,July,0.7410041939286818,"Cook County, Illinois"
4,August,0.7366790630961491,"Cook County, Illinois"
4,September,0.7285182802127433,"Cook County, Illinois"
4,October,0.7211967862324024,"Cook County, Illinois"
4,November,0.5400302062748504,"Cook County, Illinois"
4,December,0.707814481236947,"Cook County, Illinois"
5,May,0.9999999999999998,"Cook County, Illinois"
5,June,0.844464720973548,"Cook County, Illinois"
5,July,0.8187355031559097,"Cook County, Illinois"
5,August,0.8068060311302531,"Cook County, Illinois"
5,September,0.8042085089996782,"Cook County, Illinois"
5,October,0.7980491772016572,"Cook County, Illinois"
5,November,0.5923403805793066,"Cook County, Illinois"
5,December,0.7679799058094368,"Cook County, Illinois"
6,June,1,"Cook County, Illinois"
6,July,0.8857025204540099,"Cook County, Illinois"
6,August,0.8736040801847488,"Cook County, Illinois"
6,September,0.8587024885527558,"Cook County, Illinois"
6,October,0.8583465854247411,"Cook County, Illinois"
6,November,0.6287172903546472,"Cook County, Illinois"
6,December,0.8217572867947199,"Cook County, Illinois"
7,July,1,"Cook County, Illinois"
7,August,0.9063944124762744,"Cook County, Illinois"
7,September,0.8784248789134702,"Cook County, Illinois"
7,October,0.8745538553696799,"Cook County, Illinois"
7,November,0.6337163595078723,"Cook County, Illinois"
7,December,0.8552064382936768,"Cook County, Illinois"
8,August,1,"Cook County, Illinois"
8,September,0.8904952745048312,"Cook County, Illinois"
8,October,0.8823990598741068,"Cook County, Illinois"
8,November,0.6378613067451417,"Cook County, Illinois"
8,December,0.8622976564428869,"Cook County, Illinois"
9,September,1,"Cook County, Illinois"
9,October,0.895282849206702,"Cook County, Illinois"
9,November,0.6397494426013555,"Cook County, Illinois"
9,December,0.8497886204183174,"Cook County, Illinois"
10,October,0.9999999999999998,"Cook County, Illinois"
10,November,0.6715759157101292,"Cook County, Illinois"
10,December,0.8735351682997148,"Cook County, Illinois"
11,November,1,"Cook County, Illinois"
11,December,0.667824161707233,"Cook County, Illinois"
12,December,1,"Cook County, Illinois"
