month,name,value,city
1,January,1,"Dallas County, Texas"
1,February,0.9368060435616684,"Dallas County, Texas"
1,March,0.8005089400421999,"Dallas County, Texas"
1,April,0.84354400425337694,"Dallas County, Texas"
1,May,0.8994474121038207,"Dallas County, Texas"
1,June,0.8984393069723947,"Dallas County, Texas"
1,July,0.8981089987724941,"Dallas County, Texas"
1,August,0.9079538895502363,"Dallas County, Texas"
1,September,0.9033777850655421,"Dallas County, Texas"
1,October,0.8676784480712609,"Dallas County, Texas"
1,November,0.8168170102638281,"Dallas County, Texas"
1,December,0.8767248570580762,"Dallas County, Texas"
2,February,1,"Dallas County, Texas"
2,March,0.8150514697093986,"Dallas County, Texas"
2,April,0.8367527887521065,"Dallas County, Texas"
2,May,0.8929410416183011,"Dallas County, Texas"
2,June,0.8963431401019163,"Dallas County, Texas"
2,July,0.8930886608537293,"Dallas County, Texas"
2,August,0.8999683166684788,"Dallas County, Texas"
2,September,0.9092823021736455,"Dallas County, Texas"
2,October,0.8754166708384096,"Dallas County, Texas"
2,November,0.831763051545153,"Dallas County, Texas"
2,December,0.8791842855007744,"Dallas County, Texas"
3,March,1,"Dallas County, Texas"
3,April,0.7712266407438683,"Dallas County, Texas"
3,May,0.7985990345874519,"Dallas County, Texas"
3,June,0.824175388174613,"Dallas County, Texas"
3,July,0.8307414109658514,"Dallas County, Texas"
3,August,0.7968690395255541,"Dallas County, Texas"
3,September,0.7945473681346666,"Dallas County, Texas"
3,October,0.7736297004205831,"Dallas County, Texas"
3,November,0.7695106003286897,"Dallas County, Texas"
3,December,0.7843091893798773,"Dallas County, Texas"
4,April,0.9999999999999999,"Dallas County, Texas"
4,May,0.9118634861015044,"Dallas County, Texas"
4,June,0.8819211058128583,"Dallas County, Texas"
4,July,0.8899811913068608,"Dallas County, Texas"
4,August,0.8853857003897497,"Dallas County, Texas"
4,September,0.8642675011063039,"Dallas County, Texas"
4,October,0.8179444117928492,"Dallas County, Texas"
4,November,0.7838839095528135,"Dallas County, Texas"
4,December,0.8329529933482194,"Dallas County, Texas"
5,May,1,"Dallas County, Texas"
5,June,0.9406113226199707,"Dallas County, Texas"
5,July,0.9390147967514497,"Dallas County, Texas"
5,August,0.9391129059254298,"Dallas County, Texas"
5,September,0.9209816113105509,"Dallas County, Texas"
5,October,0.8754542415259562,"Dallas County, Texas"
5,November,0.8406976651123593,"Dallas County, Texas"
5,December,0.9047440565660739,"Dallas County, Texas"
6,June,1,"Dallas County, Texas"
6,July,0.9449024953868669,"Dallas County, Texas"
6,August,0.936856729874363,"Dallas County, Texas"
6,September,0.9172837875264983,"Dallas County, Texas"
6,October,0.8811030231918987,"Dallas County, Texas"
6,November,0.8565732098197031,"Dallas County, Texas"
6,December,0.9144473527081283,"Dallas County, Texas"
7,July,1,"Dallas County, Texas"
7,August,0.9435700347942573,"Dallas County, Texas"
7,September,0.9224172689408351,"Dallas County, Texas"
7,October,0.8823918546049941,"Dallas County, Texas"
7,November,0.848289788105024,"Dallas County, Texas"
7,December,0.9120784435562699,"Dallas County, Texas"
8,August,0.9999999999999998,"Dallas County, Texas"
8,September,0.9354848575230608,"Dallas County, Texas"
8,October,0.8924987574230733,"Dallas County, Texas"
8,November,0.8521176810630464,"Dallas County, Texas"
8,December,0.9177216474850763,"Dallas County, Texas"
9,September,1,"Dallas County, Texas"
9,October,0.9007293884057642,"Dallas County, Texas"
9,November,0.8601175035144182,"Dallas County, Texas"
9,December,0.9160882891999964,"Dallas County, Texas"
10,October,0.9999999999999999,"Dallas County, Texas"
10,November,0.8410650013213231,"Dallas County, Texas"
10,December,0.8944638254804919,"Dallas County, Texas"
11,November,1,"Dallas County, Texas"
11,December,0.8775537130182345,"Dallas County, Texas"
12,December,0.9999999999999999,"Dallas County, Texas"
