month,name,value,city
1,January,1,"Dane County, Wisconsin"
1,February,0.8776170265682949,"Dane County, Wisconsin"
1,March,0.8965058970710192,"Dane County, Wisconsin"
1,April,0.8357694701847677,"Dane County, Wisconsin"
1,May,0.885740240176578,"Dane County, Wisconsin"
1,June,0.9329708360209097,"Dane County, Wisconsin"
1,July,0.924783493790247,"Dane County, Wisconsin"
1,August,0.9307513514183275,"Dane County, Wisconsin"
1,September,0.9162624794471449,"Dane County, Wisconsin"
1,October,0.9118059970181523,"Dane County, Wisconsin"
1,November,0.9108071442138644,"Dane County, Wisconsin"
1,December,0.9173553354254538,"Dane County, Wisconsin"
2,February,0.9999999999999999,"Dane County, Wisconsin"
2,March,0.9540262930568022,"Dane County, Wisconsin"
2,April,0.724197126870442,"Dane County, Wisconsin"
2,May,0.7677652609100197,"Dane County, Wisconsin"
2,June,0.8059653911570389,"Dane County, Wisconsin"
2,July,0.8012237747045913,"Dane County, Wisconsin"
2,August,0.8065388031897577,"Dane County, Wisconsin"
2,September,0.8981690627786599,"Dane County, Wisconsin"
2,October,0.8959487392325238,"Dane County, Wisconsin"
2,November,0.8631875748777053,"Dane County, Wisconsin"
2,December,0.7973407887389313,"Dane County, Wisconsin"
3,March,1,"Dane County, Wisconsin"
3,April,0.8011172898498157,"Dane County, Wisconsin"
3,May,0.8352735353105085,"Dane County, Wisconsin"
3,June,0.8566073016595536,"Dane County, Wisconsin"
3,July,0.8506809222620272,"Dane County, Wisconsin"
3,August,0.8510764047278153,"Dane County, Wisconsin"
3,September,0.9176061570858235,"Dane County, Wisconsin"
3,October,0.9115179908259515,"Dane County, Wisconsin"
3,November,0.8870317045543944,"Dane County, Wisconsin"
3,December,0.8344168464673004,"Dane County, Wisconsin"
4,April,1,"Dane County, Wisconsin"
4,May,0.9384660274902302,"Dane County, Wisconsin"
4,June,0.8908533475276864,"Dane County, Wisconsin"
4,July,0.8916659529864569,"Dane County, Wisconsin"
4,August,0.8796207895144675,"Dane County, Wisconsin"
4,September,0.8457600792887862,"Dane County, Wisconsin"
4,October,0.835190284547821,"Dane County, Wisconsin"
4,November,0.8447682704595926,"Dane County, Wisconsin"
4,December,0.8399721527216423,"Dane County, Wisconsin"
5,May,0.9999999999999998,"Dane County, Wisconsin"
5,June,0.9418525140765635,"Dane County, Wisconsin"
5,July,0.9385270404519976,"Dane County, Wisconsin"
5,August,0.926464602062861,"Dane County, Wisconsin"
5,September,0.886136121012037,"Dane County, Wisconsin"
5,October,0.8786589562037103,"Dane County, Wisconsin"
5,November,0.8895653225633514,"Dane County, Wisconsin"
5,December,0.8923620936404187,"Dane County, Wisconsin"
6,June,1,"Dane County, Wisconsin"
6,July,0.9675792154535416,"Dane County, Wisconsin"
6,August,0.959185752859598,"Dane County, Wisconsin"
6,September,0.9185869792214643,"Dane County, Wisconsin"
6,October,0.9113389789005598,"Dane County, Wisconsin"
6,November,0.9270619812718588,"Dane County, Wisconsin"
6,December,0.942556152984625,"Dane County, Wisconsin"
7,July,1,"Dane County, Wisconsin"
7,August,0.9654272118221339,"Dane County, Wisconsin"
7,September,0.9183931001814449,"Dane County, Wisconsin"
7,October,0.9140357607948791,"Dane County, Wisconsin"
7,November,0.9260558454265972,"Dane County, Wisconsin"
7,December,0.9401751503505406,"Dane County, Wisconsin"
8,August,1,"Dane County, Wisconsin"
8,September,0.9214606330717376,"Dane County, Wisconsin"
8,October,0.9178556302222811,"Dane County, Wisconsin"
8,November,0.9301718212605795,"Dane County, Wisconsin"
8,December,0.943438954246316,"Dane County, Wisconsin"
9,September,1,"Dane County, Wisconsin"
9,October,0.9649924894293578,"Dane County, Wisconsin"
9,November,0.9518270620442448,"Dane County, Wisconsin"
9,December,0.9167660935481805,"Dane County, Wisconsin"
10,October,1,"Dane County, Wisconsin"
10,November,0.9558633418472634,"Dane County, Wisconsin"
10,December,0.9200572757539369,"Dane County, Wisconsin"
11,November,0.9999999999999999,"Dane County, Wisconsin"
11,December,0.9478152705620725,"Dane County, Wisconsin"
12,December,0.9999999999999998,"Dane County, Wisconsin"
