month,name,value,city
1,January,1,"East Baton Rouge Parish, Louisiana"
1,February,0.9411308884557207,"East Baton Rouge Parish, Louisiana"
1,March,0.9469376902361241,"East Baton Rouge Parish, Louisiana"
1,April,0.7860659011089474,"East Baton Rouge Parish, Louisiana"
1,May,0.8489967323019367,"East Baton Rouge Parish, Louisiana"
1,June,0.8729987486502222,"East Baton Rouge Parish, Louisiana"
1,July,0.8727273043628243,"East Baton Rouge Parish, Louisiana"
1,August,0.8890820440569657,"East Baton Rouge Parish, Louisiana"
1,September,0.8924576695958688,"East Baton Rouge Parish, Louisiana"
1,October,0.9037237815195119,"East Baton Rouge Parish, Louisiana"
1,November,0.9175739193410672,"East Baton Rouge Parish, Louisiana"
1,December,0.9196644283955713,"East Baton Rouge Parish, Louisiana"
2,February,1,"East Baton Rouge Parish, Louisiana"
2,March,0.9538053927340373,"East Baton Rouge Parish, Louisiana"
2,April,0.6884027241383815,"East Baton Rouge Parish, Louisiana"
2,May,0.7381019965200821,"East Baton Rouge Parish, Louisiana"
2,June,0.7590623551253086,"East Baton Rouge Parish, Louisiana"
2,July,0.7608858883562019,"East Baton Rouge Parish, Louisiana"
2,August,0.7883366835652481,"East Baton Rouge Parish, Louisiana"
2,September,0.9170459524091157,"East Baton Rouge Parish, Louisiana"
2,October,0.9313120546344421,"East Baton Rouge Parish, Louisiana"
2,November,0.9266732192323988,"East Baton Rouge Parish, Louisiana"
2,December,0.8401305767294392,"East Baton Rouge Parish, Louisiana"
3,March,1,"East Baton Rouge Parish, Louisiana"
3,April,0.8015630891429337,"East Baton Rouge Parish, Louisiana"
3,May,0.8314941234051366,"East Baton Rouge Parish, Louisiana"
3,June,0.8365883907267627,"East Baton Rouge Parish, Louisiana"
3,July,0.8363216992567946,"East Baton Rouge Parish, Louisiana"
3,August,0.8566246230507899,"East Baton Rouge Parish, Louisiana"
3,September,0.914342228880512,"East Baton Rouge Parish, Louisiana"
3,October,0.9278532169007944,"East Baton Rouge Parish, Louisiana"
3,November,0.9342782833120138,"East Baton Rouge Parish, Louisiana"
3,December,0.8868059279494077,"East Baton Rouge Parish, Louisiana"
4,April,0.9999999999999999,"East Baton Rouge Parish, Louisiana"
4,May,0.9435714386594531,"East Baton Rouge Parish, Louisiana"
4,June,0.9078588886552422,"East Baton Rouge Parish, Louisiana"
4,July,0.906164450761536,"East Baton Rouge Parish, Louisiana"
4,August,0.8900482886834251,"East Baton Rouge Parish, Louisiana"
4,September,0.7067158556325726,"East Baton Rouge Parish, Louisiana"
4,October,0.7156018365669361,"East Baton Rouge Parish, Louisiana"
4,November,0.7541147538609658,"East Baton Rouge Parish, Louisiana"
4,December,0.8485273169977942,"East Baton Rouge Parish, Louisiana"
5,May,0.9999999999999999,"East Baton Rouge Parish, Louisiana"
5,June,0.9610046512528823,"East Baton Rouge Parish, Louisiana"
5,July,0.9576802205111076,"East Baton Rouge Parish, Louisiana"
5,August,0.9455571328667519,"East Baton Rouge Parish, Louisiana"
5,September,0.7477295575374018,"East Baton Rouge Parish, Louisiana"
5,October,0.7550869298698274,"East Baton Rouge Parish, Louisiana"
5,November,0.800327616313038,"East Baton Rouge Parish, Louisiana"
5,December,0.9099378273549671,"East Baton Rouge Parish, Louisiana"
6,June,1,"East Baton Rouge Parish, Louisiana"
6,July,0.9686633212474631,"East Baton Rouge Parish, Louisiana"
6,August,0.9595962341301244,"East Baton Rouge Parish, Louisiana"
6,September,0.7697747128249555,"East Baton Rouge Parish, Louisiana"
6,October,0.7749704462903352,"East Baton Rouge Parish, Louisiana"
6,November,0.8205333427540091,"East Baton Rouge Parish, Louisiana"
6,December,0.933303240421813,"East Baton Rouge Parish, Louisiana"
7,July,1,"East Baton Rouge Parish, Louisiana"
7,August,0.9664104181654689,"East Baton Rouge Parish, Louisiana"
7,September,0.7833244098134252,"East Baton Rouge Parish, Louisiana"
7,October,0.7856327635163664,"East Baton Rouge Parish, Louisiana"
7,November,0.8295353708160984,"East Baton Rouge Parish, Louisiana"
7,December,0.9407737821298354,"East Baton Rouge Parish, Louisiana"
8,August,1,"East Baton Rouge Parish, Louisiana"
8,September,0.8161357087587955,"East Baton Rouge Parish, Louisiana"
8,October,0.8166696827128443,"East Baton Rouge Parish, Louisiana"
8,November,0.8586538010966224,"East Baton Rouge Parish, Louisiana"
8,December,0.9530190745740674,"East Baton Rouge Parish, Louisiana"
9,September,0.9999999999999999,"East Baton Rouge Parish, Louisiana"
9,October,0.9786303177458716,"East Baton Rouge Parish, Louisiana"
9,November,0.972461087624243,"East Baton Rouge Parish, Louisiana"
9,December,0.8811899029891687,"East Baton Rouge Parish, Louisiana"
10,October,1,"East Baton Rouge Parish, Louisiana"
10,November,0.9761571169273079,"East Baton Rouge Parish, Louisiana"
10,December,0.8846196180036228,"East Baton Rouge Parish, Louisiana"
11,November,1,"East Baton Rouge Parish, Louisiana"
11,December,0.9188489187295156,"East Baton Rouge Parish, Louisiana"
12,December,1,"East Baton Rouge Parish, Louisiana"
