month,name,value,city
1,January,1,"El Paso County, Texas"
1,February,0.9783890910792414,"El Paso County, Texas"
1,March,0.9665021177325224,"El Paso County, Texas"
1,April,0.9081371156508597,"El Paso County, Texas"
1,May,0.941359576674416,"El Paso County, Texas"
1,June,0.9523671186218693,"El Paso County, Texas"
1,July,0.9479808793281846,"El Paso County, Texas"
1,August,0.9494384170916507,"El Paso County, Texas"
1,September,0.9515259745001591,"El Paso County, Texas"
1,October,0.9506837254792011,"El Paso County, Texas"
1,November,0.9352424014859538,"El Paso County, Texas"
1,December,0.9452568916048105,"El Paso County, Texas"
2,February,1,"El Paso County, Texas"
2,March,0.970474484010945,"El Paso County, Texas"
2,April,0.911705806603663,"El Paso County, Texas"
2,May,0.9447081647567629,"El Paso County, Texas"
2,June,0.9547015982494014,"El Paso County, Texas"
2,July,0.9512654759219643,"El Paso County, Texas"
2,August,0.953776729822997,"El Paso County, Texas"
2,September,0.9542066830216571,"El Paso County, Texas"
2,October,0.9535441686858286,"El Paso County, Texas"
2,November,0.939147802314029,"El Paso County, Texas"
2,December,0.949270380290549,"El Paso County, Texas"
3,March,1,"El Paso County, Texas"
3,April,0.9386668340485895,"El Paso County, Texas"
3,May,0.9610173435237103,"El Paso County, Texas"
3,June,0.9624458202237686,"El Paso County, Texas"
3,July,0.95888604767245,"El Paso County, Texas"
3,August,0.9593751090741913,"El Paso County, Texas"
3,September,0.9594550897302861,"El Paso County, Texas"
3,October,0.9606660295042646,"El Paso County, Texas"
3,November,0.9531781670384439,"El Paso County, Texas"
3,December,0.9515622981227424,"El Paso County, Texas"
4,April,1,"El Paso County, Texas"
4,May,0.962173824753891,"El Paso County, Texas"
4,June,0.9429994690087924,"El Paso County, Texas"
4,July,0.9392749510024416,"El Paso County, Texas"
4,August,0.9302004920604815,"El Paso County, Texas"
4,September,0.9301794452307467,"El Paso County, Texas"
4,October,0.9372205893450163,"El Paso County, Texas"
4,November,0.9455377414678245,"El Paso County, Texas"
4,December,0.9173647089133342,"El Paso County, Texas"
5,May,0.9999999999999998,"El Paso County, Texas"
5,June,0.9725122995846665,"El Paso County, Texas"
5,July,0.9683082817204057,"El Paso County, Texas"
5,August,0.9629779326155828,"El Paso County, Texas"
5,September,0.9598944557179478,"El Paso County, Texas"
5,October,0.9636913035255613,"El Paso County, Texas"
5,November,0.9650628146042373,"El Paso County, Texas"
5,December,0.9529140904206497,"El Paso County, Texas"
6,June,1,"El Paso County, Texas"
6,July,0.9744504284655705,"El Paso County, Texas"
6,August,0.9698905726648324,"El Paso County, Texas"
6,September,0.9689172097417607,"El Paso County, Texas"
6,October,0.9676383590870061,"El Paso County, Texas"
6,November,0.9613583774047719,"El Paso County, Texas"
6,December,0.9620128958592535,"El Paso County, Texas"
7,July,1,"El Paso County, Texas"
7,August,0.9727584345773973,"El Paso County, Texas"
7,September,0.9685068641840175,"El Paso County, Texas"
7,October,0.9670760368685204,"El Paso County, Texas"
7,November,0.9615994002240089,"El Paso County, Texas"
7,December,0.9631996755083356,"El Paso County, Texas"
8,August,1,"El Paso County, Texas"
8,September,0.9718507082570164,"El Paso County, Texas"
8,October,0.970285238351503,"El Paso County, Texas"
8,November,0.9621527952269204,"El Paso County, Texas"
8,December,0.9678752404129879,"El Paso County, Texas"
9,September,1,"El Paso County, Texas"
9,October,0.9730245888118646,"El Paso County, Texas"
9,November,0.9662239871791813,"El Paso County, Texas"
9,December,0.9691857373329446,"El Paso County, Texas"
10,October,1,"El Paso County, Texas"
10,November,0.9708129034585906,"El Paso County, Texas"
10,December,0.9682494855065905,"El Paso County, Texas"
11,November,1,"El Paso County, Texas"
11,December,0.9657853944878196,"El Paso County, Texas"
12,December,0.9999999999999998,"El Paso County, Texas"
