month,name,value,city
1,January,1,"Erie County, New York"
1,February,0.8860395192893714,"Erie County, New York"
1,March,0.8540768257562092,"Erie County, New York"
1,April,0.7394161722395335,"Erie County, New York"
1,May,0.7886249721370966,"Erie County, New York"
1,June,0.843019843011649,"Erie County, New York"
1,July,0.8590466180813255,"Erie County, New York"
1,August,0.8613551737510574,"Erie County, New York"
1,September,0.8384566700578471,"Erie County, New York"
1,October,0.838653660531428,"Erie County, New York"
1,November,0.8306280792774546,"Erie County, New York"
1,December,0.8365294844325424,"Erie County, New York"
2,February,0.9999999999999999,"Erie County, New York"
2,March,0.896009825172035,"Erie County, New York"
2,April,0.7138804175968678,"Erie County, New York"
2,May,0.7532543815637278,"Erie County, New York"
2,June,0.7959308265751416,"Erie County, New York"
2,July,0.8098720274345973,"Erie County, New York"
2,August,0.8105864067281545,"Erie County, New York"
2,September,0.8533466034242907,"Erie County, New York"
2,October,0.8601079034774902,"Erie County, New York"
2,November,0.8401720404108315,"Erie County, New York"
2,December,0.7898088316161853,"Erie County, New York"
3,March,1,"Erie County, New York"
3,April,0.8064586539661873,"Erie County, New York"
3,May,0.8317612551708764,"Erie County, New York"
3,June,0.8513173894473679,"Erie County, New York"
3,July,0.854046775715602,"Erie County, New York"
3,August,0.8546688247622222,"Erie County, New York"
3,September,0.8832216077634049,"Erie County, New York"
3,October,0.8763827223552673,"Erie County, New York"
3,November,0.8662378162197067,"Erie County, New York"
3,December,0.827932126455106,"Erie County, New York"
4,April,1,"Erie County, New York"
4,May,0.8848694231584298,"Erie County, New York"
4,June,0.8260590120693898,"Erie County, New York"
4,July,0.8237094747640558,"Erie County, New York"
4,August,0.8043161217217579,"Erie County, New York"
4,September,0.7920664357244596,"Erie County, New York"
4,October,0.7644831742502698,"Erie County, New York"
4,November,0.7748322444569664,"Erie County, New York"
4,December,0.7709928447960565,"Erie County, New York"
5,May,0.9999999999999999,"Erie County, New York"
5,June,0.884173731646153,"Erie County, New York"
5,July,0.8752167720549744,"Erie County, New York"
5,August,0.8576266261283823,"Erie County, New York"
5,September,0.8341101006107127,"Erie County, New York"
5,October,0.8066544909546951,"Erie County, New York"
5,November,0.8181299634983217,"Erie County, New York"
5,December,0.8187132255324185,"Erie County, New York"
6,June,1,"Erie County, New York"
6,July,0.9145180402402435,"Erie County, New York"
6,August,0.904058775496529,"Erie County, New York"
6,September,0.8625368130182126,"Erie County, New York"
6,October,0.8606820568962216,"Erie County, New York"
6,November,0.8696638656455966,"Erie County, New York"
6,December,0.8829643726866997,"Erie County, New York"
7,July,1,"Erie County, New York"
7,August,0.9305349429911628,"Erie County, New York"
7,September,0.884608670023222,"Erie County, New York"
7,October,0.8705293196564768,"Erie County, New York"
7,November,0.8721686444948028,"Erie County, New York"
7,December,0.8879769677317912,"Erie County, New York"
8,August,1,"Erie County, New York"
8,September,0.8895743509547352,"Erie County, New York"
8,October,0.8740279980977647,"Erie County, New York"
8,November,0.876442485768886,"Erie County, New York"
8,December,0.8950172880853492,"Erie County, New York"
9,September,1,"Erie County, New York"
9,October,0.9214655519699742,"Erie County, New York"
9,November,0.9089227354546907,"Erie County, New York"
9,December,0.8695681551866915,"Erie County, New York"
10,October,1,"Erie County, New York"
10,November,0.9264478917728549,"Erie County, New York"
10,December,0.8850953988994853,"Erie County, New York"
11,November,1,"Erie County, New York"
11,December,0.9042711600322507,"Erie County, New York"
12,December,1,"Erie County, New York"
