month,name,value,city
1,January,0.9999999999999998,"Fairfield County, Connecticut"
1,February,0.9417293240614731,"Fairfield County, Connecticut"
1,March,0.9031944914794983,"Fairfield County, Connecticut"
1,April,0.7291213188544354,"Fairfield County, Connecticut"
1,May,0.8036660360336765,"Fairfield County, Connecticut"
1,June,0.8636253840867344,"Fairfield County, Connecticut"
1,July,0.8768489884677202,"Fairfield County, Connecticut"
1,August,0.8748727677446381,"Fairfield County, Connecticut"
1,September,0.865622173030056,"Fairfield County, Connecticut"
1,October,0.8736983937004957,"Fairfield County, Connecticut"
1,November,0.8656968357084331,"Fairfield County, Connecticut"
1,December,0.8693993327813099,"Fairfield County, Connecticut"
2,February,1,"Fairfield County, Connecticut"
2,March,0.9013055048351561,"Fairfield County, Connecticut"
2,April,0.7233270108139279,"Fairfield County, Connecticut"
2,May,0.7980585467607293,"Fairfield County, Connecticut"
2,June,0.8560082577831946,"Fairfield County, Connecticut"
2,July,0.8711487668122551,"Fairfield County, Connecticut"
2,August,0.8661933586108762,"Fairfield County, Connecticut"
2,September,0.889866951887102,"Fairfield County, Connecticut"
2,October,0.8973093595998182,"Fairfield County, Connecticut"
2,November,0.8795344267264782,"Fairfield County, Connecticut"
2,December,0.8592437450040932,"Fairfield County, Connecticut"
3,March,0.9999999999999999,"Fairfield County, Connecticut"
3,April,0.8048798657269425,"Fairfield County, Connecticut"
3,May,0.8680896577326224,"Fairfield County, Connecticut"
3,June,0.8972952538617878,"Fairfield County, Connecticut"
3,July,0.8973492681757945,"Fairfield County, Connecticut"
3,August,0.8943937649764275,"Fairfield County, Connecticut"
3,September,0.8588895816101639,"Fairfield County, Connecticut"
3,October,0.8675043171797672,"Fairfield County, Connecticut"
3,November,0.881443244018336,"Fairfield County, Connecticut"
3,December,0.8882139595569982,"Fairfield County, Connecticut"
4,April,1,"Fairfield County, Connecticut"
4,May,0.8727915717002955,"Fairfield County, Connecticut"
4,June,0.8028414162353595,"Fairfield County, Connecticut"
4,July,0.7814022830918796,"Fairfield County, Connecticut"
4,August,0.7742980156442472,"Fairfield County, Connecticut"
4,September,0.7295400192860968,"Fairfield County, Connecticut"
4,October,0.7301961456160653,"Fairfield County, Connecticut"
4,November,0.7635877428056572,"Fairfield County, Connecticut"
4,December,0.7726360787816855,"Fairfield County, Connecticut"
5,May,0.9999999999999999,"Fairfield County, Connecticut"
5,June,0.8858243368208051,"Fairfield County, Connecticut"
5,July,0.8622886538887294,"Fairfield County, Connecticut"
5,August,0.8537705436587842,"Fairfield County, Connecticut"
5,September,0.8054538605315807,"Fairfield County, Connecticut"
5,October,0.8127111718471262,"Fairfield County, Connecticut"
5,November,0.8331184245951164,"Fairfield County, Connecticut"
5,December,0.8466631317764598,"Fairfield County, Connecticut"
6,June,0.9999999999999999,"Fairfield County, Connecticut"
6,July,0.9180563295151769,"Fairfield County, Connecticut"
6,August,0.9128587608416255,"Fairfield County, Connecticut"
6,September,0.8580429534077137,"Fairfield County, Connecticut"
6,October,0.864761396383863,"Fairfield County, Connecticut"
6,November,0.8823641794120001,"Fairfield County, Connecticut"
6,December,0.9032092091048358,"Fairfield County, Connecticut"
7,July,0.9999999999999999,"Fairfield County, Connecticut"
7,August,0.9198442998934093,"Fairfield County, Connecticut"
7,September,0.8595832682279029,"Fairfield County, Connecticut"
7,October,0.8651220998713173,"Fairfield County, Connecticut"
7,November,0.8840723031481779,"Fairfield County, Connecticut"
7,December,0.8996647072603693,"Fairfield County, Connecticut"
8,August,0.9999999999999999,"Fairfield County, Connecticut"
8,September,0.877193958207781,"Fairfield County, Connecticut"
8,October,0.878961220270365,"Fairfield County, Connecticut"
8,November,0.8985811478651304,"Fairfield County, Connecticut"
8,December,0.9140720890302014,"Fairfield County, Connecticut"
9,September,1,"Fairfield County, Connecticut"
9,October,0.942938216309594,"Fairfield County, Connecticut"
9,November,0.9134668546163107,"Fairfield County, Connecticut"
9,December,0.8728824239957642,"Fairfield County, Connecticut"
10,October,1,"Fairfield County, Connecticut"
10,November,0.9209442969733699,"Fairfield County, Connecticut"
10,December,0.8840698271052367,"Fairfield County, Connecticut"
11,November,0.9999999999999999,"Fairfield County, Connecticut"
11,December,0.9135185088720434,"Fairfield County, Connecticut"
12,December,1,"Fairfield County, Connecticut"
