month,name,value,city
1,January,0.9999999999999999,"Franklin County, Ohio"
1,February,0.9784085381754101,"Franklin County, Ohio"
1,March,0.9400356932792637,"Franklin County, Ohio"
1,April,0.8581441798493871,"Franklin County, Ohio"
1,May,0.8941572118001414,"Franklin County, Ohio"
1,June,0.9068174190946868,"Franklin County, Ohio"
1,July,0.9078246334810717,"Franklin County, Ohio"
1,August,0.9121775031410634,"Franklin County, Ohio"
1,September,0.9567702235521145,"Franklin County, Ohio"
1,October,0.9556201479842513,"Franklin County, Ohio"
1,November,0.9443795894293918,"Franklin County, Ohio"
1,December,0.9050317351741446,"Franklin County, Ohio"
2,February,1,"Franklin County, Ohio"
2,March,0.9321643962884671,"Franklin County, Ohio"
2,April,0.8433656825455954,"Franklin County, Ohio"
2,May,0.8787060524830835,"Franklin County, Ohio"
2,June,0.8911872841174653,"Franklin County, Ohio"
2,July,0.8930443309407808,"Franklin County, Ohio"
2,August,0.8968906464166071,"Franklin County, Ohio"
2,September,0.9489257286014712,"Franklin County, Ohio"
2,October,0.9471195454832506,"Franklin County, Ohio"
2,November,0.9337917602823061,"Franklin County, Ohio"
2,December,0.8865006589697009,"Franklin County, Ohio"
3,March,1,"Franklin County, Ohio"
3,April,0.9386062417419894,"Franklin County, Ohio"
3,May,0.960475200377511,"Franklin County, Ohio"
3,June,0.9582028873588523,"Franklin County, Ohio"
3,July,0.9621465171892033,"Franklin County, Ohio"
3,August,0.9610179982544321,"Franklin County, Ohio"
3,September,0.953661242530465,"Franklin County, Ohio"
3,October,0.9559084027120703,"Franklin County, Ohio"
3,November,0.9567517041550874,"Franklin County, Ohio"
3,December,0.9480227486411628,"Franklin County, Ohio"
4,April,1,"Franklin County, Ohio"
4,May,0.9629927096164477,"Franklin County, Ohio"
4,June,0.9321209743095984,"Franklin County, Ohio"
4,July,0.9390866708335551,"Franklin County, Ohio"
4,August,0.928671136664587,"Franklin County, Ohio"
4,September,0.9005114436993783,"Franklin County, Ohio"
4,October,0.90633213743309,"Franklin County, Ohio"
4,November,0.9158453588726356,"Franklin County, Ohio"
4,December,0.9213904724809672,"Franklin County, Ohio"
5,May,0.9999999999999998,"Franklin County, Ohio"
5,June,0.9703170828050556,"Franklin County, Ohio"
5,July,0.9720987683310642,"Franklin County, Ohio"
5,August,0.9666435749539803,"Franklin County, Ohio"
5,September,0.9336038235876846,"Franklin County, Ohio"
5,October,0.9394096734961672,"Franklin County, Ohio"
5,November,0.9485529305950434,"Franklin County, Ohio"
5,December,0.9572118672973551,"Franklin County, Ohio"
6,June,1,"Franklin County, Ohio"
6,July,0.9779501788529619,"Franklin County, Ohio"
6,August,0.9748924345215124,"Franklin County, Ohio"
6,September,0.9402889675123618,"Franklin County, Ohio"
6,October,0.9436541930604703,"Franklin County, Ohio"
6,November,0.9531989131538818,"Franklin County, Ohio"
6,December,0.967465350260533,"Franklin County, Ohio"
7,July,1,"Franklin County, Ohio"
7,August,0.9793180308897937,"Franklin County, Ohio"
7,September,0.9430901480737337,"Franklin County, Ohio"
7,October,0.948765558289648,"Franklin County, Ohio"
7,November,0.9567913868929389,"Franklin County, Ohio"
7,December,0.9694874360538738,"Franklin County, Ohio"
8,August,1,"Franklin County, Ohio"
8,September,0.9475152398414348,"Franklin County, Ohio"
8,October,0.9518369798170814,"Franklin County, Ohio"
8,November,0.9606802453505444,"Franklin County, Ohio"
8,December,0.9721404203523543,"Franklin County, Ohio"
9,September,0.9999999999999999,"Franklin County, Ohio"
9,October,0.9813641117654798,"Franklin County, Ohio"
9,November,0.973571051676717,"Franklin County, Ohio"
9,December,0.9396346057135172,"Franklin County, Ohio"
10,October,1,"Franklin County, Ohio"
10,November,0.9788035415593795,"Franklin County, Ohio"
10,December,0.9488357188292526,"Franklin County, Ohio"
11,November,0.9999999999999998,"Franklin County, Ohio"
11,December,0.9651556696823939,"Franklin County, Ohio"
12,December,0.9999999999999999,"Franklin County, Ohio"
