month,name,value,city
1,January,0.9999999999999999,"Greenville County, South Carolina"
1,February,0.9836228497156401,"Greenville County, South Carolina"
1,March,0.9722458496585447,"Greenville County, South Carolina"
1,April,0.9177193962624958,"Greenville County, South Carolina"
1,May,0.9555297175520212,"Greenville County, South Carolina"
1,June,0.9659017525065756,"Greenville County, South Carolina"
1,July,0.9615981125997294,"Greenville County, South Carolina"
1,August,0.9635345271538758,"Greenville County, South Carolina"
1,September,0.9672020199871016,"Greenville County, South Carolina"
1,October,0.9658191922668914,"Greenville County, South Carolina"
1,November,0.9623869620640779,"Greenville County, South Carolina"
1,December,0.9627646299985788,"Greenville County, South Carolina"
2,February,1,"Greenville County, South Carolina"
2,March,0.9729907369131493,"Greenville County, South Carolina"
2,April,0.9176251863756799,"Greenville County, South Carolina"
2,May,0.9548762480240863,"Greenville County, South Carolina"
2,June,0.9636732967291295,"Greenville County, South Carolina"
2,July,0.959560751692554,"Greenville County, South Carolina"
2,August,0.962142097540873,"Greenville County, South Carolina"
2,September,0.9676309024462724,"Greenville County, South Carolina"
2,October,0.9671973858023823,"Greenville County, South Carolina"
2,November,0.9623164373847612,"Greenville County, South Carolina"
2,December,0.9613541694072624,"Greenville County, South Carolina"
3,March,1,"Greenville County, South Carolina"
3,April,0.9512324604896844,"Greenville County, South Carolina"
3,May,0.9721957917822148,"Greenville County, South Carolina"
3,June,0.9746608034300684,"Greenville County, South Carolina"
3,July,0.9724563469157242,"Greenville County, South Carolina"
3,August,0.9748361683828412,"Greenville County, South Carolina"
3,September,0.9726137816998232,"Greenville County, South Carolina"
3,October,0.9719952318636629,"Greenville County, South Carolina"
3,November,0.9706507463934323,"Greenville County, South Carolina"
3,December,0.9692655350599548,"Greenville County, South Carolina"
4,April,1,"Greenville County, South Carolina"
4,May,0.9663401412234706,"Greenville County, South Carolina"
4,June,0.9534461496503976,"Greenville County, South Carolina"
4,July,0.9556014245631883,"Greenville County, South Carolina"
4,August,0.9514943787672961,"Greenville County, South Carolina"
4,September,0.9418612923309534,"Greenville County, South Carolina"
4,October,0.9425954119992801,"Greenville County, South Carolina"
4,November,0.9428084863742975,"Greenville County, South Carolina"
4,December,0.9419550538561672,"Greenville County, South Carolina"
5,May,1,"Greenville County, South Carolina"
5,June,0.9810987826262353,"Greenville County, South Carolina"
5,July,0.9792209888231725,"Greenville County, South Carolina"
5,August,0.9762848800259535,"Greenville County, South Carolina"
5,September,0.9680558099071412,"Greenville County, South Carolina"
5,October,0.9665405313497778,"Greenville County, South Carolina"
5,November,0.9671061625593617,"Greenville County, South Carolina"
5,December,0.9704596910744968,"Greenville County, South Carolina"
6,June,0.9999999999999999,"Greenville County, South Carolina"
6,July,0.9834651857917551,"Greenville County, South Carolina"
6,August,0.9806099760609093,"Greenville County, South Carolina"
6,September,0.9721970817098218,"Greenville County, South Carolina"
6,October,0.9712684573797881,"Greenville County, South Carolina"
6,November,0.9704483563817689,"Greenville County, South Carolina"
6,December,0.9739144491265449,"Greenville County, South Carolina"
7,July,0.9999999999999999,"Greenville County, South Carolina"
7,August,0.9822118634489405,"Greenville County, South Carolina"
7,September,0.9740731726575302,"Greenville County, South Carolina"
7,October,0.9727484478274091,"Greenville County, South Carolina"
7,November,0.9724134215736274,"Greenville County, South Carolina"
7,December,0.9743593839774077,"Greenville County, South Carolina"
8,August,1,"Greenville County, South Carolina"
8,September,0.9770124072038843,"Greenville County, South Carolina"
8,October,0.9761230939185985,"Greenville County, South Carolina"
8,November,0.9765402035223417,"Greenville County, South Carolina"
8,December,0.9774234746532445,"Greenville County, South Carolina"
9,September,1,"Greenville County, South Carolina"
9,October,0.9815549237298252,"Greenville County, South Carolina"
9,November,0.9790500030799345,"Greenville County, South Carolina"
9,December,0.9759310067456303,"Greenville County, South Carolina"
10,October,1,"Greenville County, South Carolina"
10,November,0.9801314822070386,"Greenville County, South Carolina"
10,December,0.9768622468654337,"Greenville County, South Carolina"
11,November,1,"Greenville County, South Carolina"
11,December,0.9819731534066372,"Greenville County, South Carolina"
12,December,0.9999999999999998,"Greenville County, South Carolina"
