month,name,value,city
1,January,1,"Hillsborough County, Florida"
1,February,0.9764810478997045,"Hillsborough County, Florida"
1,March,0.9670177409411386,"Hillsborough County, Florida"
1,April,0.9043811217902523,"Hillsborough County, Florida"
1,May,0.9435056666791518,"Hillsborough County, Florida"
1,June,0.9524012331233336,"Hillsborough County, Florida"
1,July,0.948838113060039,"Hillsborough County, Florida"
1,August,0.9520549666635343,"Hillsborough County, Florida"
1,September,0.9503493540045165,"Hillsborough County, Florida"
1,October,0.9538076778985346,"Hillsborough County, Florida"
1,November,0.9494169538322703,"Hillsborough County, Florida"
1,December,0.9411205119285342,"Hillsborough County, Florida"
2,February,1,"Hillsborough County, Florida"
2,March,0.9671868889971817,"Hillsborough County, Florida"
2,April,0.8941155528611874,"Hillsborough County, Florida"
2,May,0.9318982478736214,"Hillsborough County, Florida"
2,June,0.9407558261717325,"Hillsborough County, Florida"
2,July,0.9372510193784654,"Hillsborough County, Florida"
2,August,0.9417048586413925,"Hillsborough County, Florida"
2,September,0.9541348398028037,"Hillsborough County, Florida"
2,October,0.9568416879424202,"Hillsborough County, Florida"
2,November,0.950684864357704,"Hillsborough County, Florida"
2,December,0.933747493469693,"Hillsborough County, Florida"
3,March,1,"Hillsborough County, Florida"
3,April,0.9431585300643235,"Hillsborough County, Florida"
3,May,0.9639419173183867,"Hillsborough County, Florida"
3,June,0.9623647742259648,"Hillsborough County, Florida"
3,July,0.9620744821541107,"Hillsborough County, Florida"
3,August,0.9596709201499886,"Hillsborough County, Florida"
3,September,0.9660729033716028,"Hillsborough County, Florida"
3,October,0.9663117531548442,"Hillsborough County, Florida"
3,November,0.9592442148654815,"Hillsborough County, Florida"
3,December,0.9366869548932389,"Hillsborough County, Florida"
4,April,1,"Hillsborough County, Florida"
4,May,0.9628939264370366,"Hillsborough County, Florida"
4,June,0.9425590773171736,"Hillsborough County, Florida"
4,July,0.9455084881619336,"Hillsborough County, Florida"
4,August,0.9322538952528149,"Hillsborough County, Florida"
4,September,0.9285628362345506,"Hillsborough County, Florida"
4,October,0.925167125744673,"Hillsborough County, Florida"
4,November,0.9207784063460327,"Hillsborough County, Florida"
4,December,0.8954362137502251,"Hillsborough County, Florida"
5,May,0.9999999999999999,"Hillsborough County, Florida"
5,June,0.9772583357076458,"Hillsborough County, Florida"
5,July,0.9747936810245247,"Hillsborough County, Florida"
5,August,0.9697445333842927,"Hillsborough County, Florida"
5,September,0.9603254006043749,"Hillsborough County, Florida"
5,October,0.960916584010787,"Hillsborough County, Florida"
5,November,0.9592540828593457,"Hillsborough County, Florida"
5,December,0.941803369771132,"Hillsborough County, Florida"
6,June,1,"Hillsborough County, Florida"
6,July,0.9795764040813745,"Hillsborough County, Florida"
6,August,0.9770740710189677,"Hillsborough County, Florida"
6,September,0.9637213066600209,"Hillsborough County, Florida"
6,October,0.9651410811648298,"Hillsborough County, Florida"
6,November,0.9651583938424139,"Hillsborough County, Florida"
6,December,0.9538470092196073,"Hillsborough County, Florida"
7,July,0.9999999999999998,"Hillsborough County, Florida"
7,August,0.9771950678471967,"Hillsborough County, Florida"
7,September,0.9642192856759241,"Hillsborough County, Florida"
7,October,0.9626848237491076,"Hillsborough County, Florida"
7,November,0.9633658398192136,"Hillsborough County, Florida"
7,December,0.9505459122174494,"Hillsborough County, Florida"
8,August,1,"Hillsborough County, Florida"
8,September,0.9694759396354298,"Hillsborough County, Florida"
8,October,0.9686359375172655,"Hillsborough County, Florida"
8,November,0.969637144586953,"Hillsborough County, Florida"
8,December,0.9592127901633886,"Hillsborough County, Florida"
9,September,1,"Hillsborough County, Florida"
9,October,0.9795939082599822,"Hillsborough County, Florida"
9,November,0.9744728078131576,"Hillsborough County, Florida"
9,December,0.9496329314744182,"Hillsborough County, Florida"
10,October,0.9999999999999999,"Hillsborough County, Florida"
10,November,0.9785245376473463,"Hillsborough County, Florida"
10,December,0.9538962169353838,"Hillsborough County, Florida"
11,November,1,"Hillsborough County, Florida"
11,December,0.9677128200866266,"Hillsborough County, Florida"
12,December,1,"Hillsborough County, Florida"
