month,name,value,city
1,January,1,"Hillsborough County, New Hampshire"
1,February,0.9660272199729046,"Hillsborough County, New Hampshire"
1,March,0.9337918301439242,"Hillsborough County, New Hampshire"
1,April,0.8355263277956604,"Hillsborough County, New Hampshire"
1,May,0.8836189705917203,"Hillsborough County, New Hampshire"
1,June,0.9186468150601081,"Hillsborough County, New Hampshire"
1,July,0.9201783525558623,"Hillsborough County, New Hampshire"
1,August,0.9233417232000651,"Hillsborough County, New Hampshire"
1,September,0.9246420408385244,"Hillsborough County, New Hampshire"
1,October,0.9277783485557786,"Hillsborough County, New Hampshire"
1,November,0.9052372232245439,"Hillsborough County, New Hampshire"
1,December,0.904533622041483,"Hillsborough County, New Hampshire"
2,February,0.9999999999999999,"Hillsborough County, New Hampshire"
2,March,0.9437570740187762,"Hillsborough County, New Hampshire"
2,April,0.8435294514693507,"Hillsborough County, New Hampshire"
2,May,0.8905298464082743,"Hillsborough County, New Hampshire"
2,June,0.9259909583833396,"Hillsborough County, New Hampshire"
2,July,0.9252353288511923,"Hillsborough County, New Hampshire"
2,August,0.9285621711181813,"Hillsborough County, New Hampshire"
2,September,0.9306094031936993,"Hillsborough County, New Hampshire"
2,October,0.931974925290496,"Hillsborough County, New Hampshire"
2,November,0.9132827685579942,"Hillsborough County, New Hampshire"
2,December,0.9122129756985798,"Hillsborough County, New Hampshire"
3,March,1,"Hillsborough County, New Hampshire"
3,April,0.8888028225136979,"Hillsborough County, New Hampshire"
3,May,0.9248916758970516,"Hillsborough County, New Hampshire"
3,June,0.9370022184941813,"Hillsborough County, New Hampshire"
3,July,0.9283172016586101,"Hillsborough County, New Hampshire"
3,August,0.9302110204784199,"Hillsborough County, New Hampshire"
3,September,0.9329456347582499,"Hillsborough County, New Hampshire"
3,October,0.9381067754549564,"Hillsborough County, New Hampshire"
3,November,0.91132171583314,"Hillsborough County, New Hampshire"
3,December,0.9056745451654545,"Hillsborough County, New Hampshire"
4,April,1,"Hillsborough County, New Hampshire"
4,May,0.9231615212209886,"Hillsborough County, New Hampshire"
4,June,0.8867235258847819,"Hillsborough County, New Hampshire"
4,July,0.8780118948418395,"Hillsborough County, New Hampshire"
4,August,0.861079711001991,"Hillsborough County, New Hampshire"
4,September,0.8654665159312387,"Hillsborough County, New Hampshire"
4,October,0.8618933543863662,"Hillsborough County, New Hampshire"
4,November,0.8464850933901801,"Hillsborough County, New Hampshire"
4,December,0.8469671561335012,"Hillsborough County, New Hampshire"
5,May,1,"Hillsborough County, New Hampshire"
5,June,0.9384643219677217,"Hillsborough County, New Hampshire"
5,July,0.9256151245080361,"Hillsborough County, New Hampshire"
5,August,0.9173735789923112,"Hillsborough County, New Hampshire"
5,September,0.9137402884412283,"Hillsborough County, New Hampshire"
5,October,0.9128578092349822,"Hillsborough County, New Hampshire"
5,November,0.9023688190404363,"Hillsborough County, New Hampshire"
5,December,0.8994552137269317,"Hillsborough County, New Hampshire"
6,June,1,"Hillsborough County, New Hampshire"
6,July,0.953321251453794,"Hillsborough County, New Hampshire"
6,August,0.9449554609934971,"Hillsborough County, New Hampshire"
6,September,0.9383341668779963,"Hillsborough County, New Hampshire"
6,October,0.9361184646332135,"Hillsborough County, New Hampshire"
6,November,0.92170638698454,"Hillsborough County, New Hampshire"
6,December,0.9293821672343815,"Hillsborough County, New Hampshire"
7,July,1,"Hillsborough County, New Hampshire"
7,August,0.9529430587313753,"Hillsborough County, New Hampshire"
7,September,0.9392344640736543,"Hillsborough County, New Hampshire"
7,October,0.9393945360413993,"Hillsborough County, New Hampshire"
7,November,0.9196837772922615,"Hillsborough County, New Hampshire"
7,December,0.9293245734341232,"Hillsborough County, New Hampshire"
8,August,1,"Hillsborough County, New Hampshire"
8,September,0.9457522712891222,"Hillsborough County, New Hampshire"
8,October,0.9442382752069384,"Hillsborough County, New Hampshire"
8,November,0.9260399219422627,"Hillsborough County, New Hampshire"
8,December,0.9288065957542637,"Hillsborough County, New Hampshire"
9,September,1,"Hillsborough County, New Hampshire"
9,October,0.9562545916475914,"Hillsborough County, New Hampshire"
9,November,0.9327991780289826,"Hillsborough County, New Hampshire"
9,December,0.9232820113249205,"Hillsborough County, New Hampshire"
10,October,1,"Hillsborough County, New Hampshire"
10,November,0.9365360645741143,"Hillsborough County, New Hampshire"
10,December,0.9267875122349836,"Hillsborough County, New Hampshire"
11,November,0.9999999999999999,"Hillsborough County, New Hampshire"
11,December,0.9532784729790849,"Hillsborough County, New Hampshire"
12,December,0.9999999999999999,"Hillsborough County, New Hampshire"
