month,name,value,city
1,January,1,"Jefferson County, Alabama"
1,February,0.9862806803770693,"Jefferson County, Alabama"
1,March,0.9792197996594783,"Jefferson County, Alabama"
1,April,0.9296684147496305,"Jefferson County, Alabama"
1,May,0.9579645967477077,"Jefferson County, Alabama"
1,June,0.9656349963358432,"Jefferson County, Alabama"
1,July,0.9640904675799907,"Jefferson County, Alabama"
1,August,0.9712829488740331,"Jefferson County, Alabama"
1,September,0.9680352865797353,"Jefferson County, Alabama"
1,October,0.9708401301497472,"Jefferson County, Alabama"
1,November,0.9682741949987718,"Jefferson County, Alabama"
1,December,0.9680052857685101,"Jefferson County, Alabama"
2,February,1,"Jefferson County, Alabama"
2,March,0.977719058473194,"Jefferson County, Alabama"
2,April,0.9242497293552139,"Jefferson County, Alabama"
2,May,0.9518035986182816,"Jefferson County, Alabama"
2,June,0.9590077602702859,"Jefferson County, Alabama"
2,July,0.9573369427028632,"Jefferson County, Alabama"
2,August,0.9652362629520909,"Jefferson County, Alabama"
2,September,0.9737481245036538,"Jefferson County, Alabama"
2,October,0.9760782706425674,"Jefferson County, Alabama"
2,November,0.9717331927573922,"Jefferson County, Alabama"
2,December,0.9619490909203019,"Jefferson County, Alabama"
3,March,1,"Jefferson County, Alabama"
3,April,0.9610239550115743,"Jefferson County, Alabama"
3,May,0.9745709362220073,"Jefferson County, Alabama"
3,June,0.975442768570699,"Jefferson County, Alabama"
3,July,0.9749960029209894,"Jefferson County, Alabama"
3,August,0.9780419588757553,"Jefferson County, Alabama"
3,September,0.9746609306487403,"Jefferson County, Alabama"
3,October,0.9757607660167462,"Jefferson County, Alabama"
3,November,0.9742655127059735,"Jefferson County, Alabama"
3,December,0.9686325151750009,"Jefferson County, Alabama"
4,April,1,"Jefferson County, Alabama"
4,May,0.9749714987794955,"Jefferson County, Alabama"
4,June,0.9610054736191419,"Jefferson County, Alabama"
4,July,0.962397891312101,"Jefferson County, Alabama"
4,August,0.9567363816071017,"Jefferson County, Alabama"
4,September,0.9431305710129938,"Jefferson County, Alabama"
4,October,0.9433194277233564,"Jefferson County, Alabama"
4,November,0.9441608791156125,"Jefferson County, Alabama"
4,December,0.9423713172499218,"Jefferson County, Alabama"
5,May,0.9999999999999998,"Jefferson County, Alabama"
5,June,0.9844466773771726,"Jefferson County, Alabama"
5,July,0.9839886277524116,"Jefferson County, Alabama"
5,August,0.9806352274907832,"Jefferson County, Alabama"
5,September,0.9652632641976793,"Jefferson County, Alabama"
5,October,0.9668389547657278,"Jefferson County, Alabama"
5,November,0.9686670213121817,"Jefferson County, Alabama"
5,December,0.9736699732562645,"Jefferson County, Alabama"
6,June,1,"Jefferson County, Alabama"
6,July,0.9849829850558298,"Jefferson County, Alabama"
6,August,0.984500142686565,"Jefferson County, Alabama"
6,September,0.9680436263430756,"Jefferson County, Alabama"
6,October,0.9695766181989003,"Jefferson County, Alabama"
6,November,0.9717801636675707,"Jefferson County, Alabama"
6,December,0.9779766935938746,"Jefferson County, Alabama"
7,July,1,"Jefferson County, Alabama"
7,August,0.9880122650842469,"Jefferson County, Alabama"
7,September,0.9721319610357969,"Jefferson County, Alabama"
7,October,0.9726759027688455,"Jefferson County, Alabama"
7,November,0.9752965473713389,"Jefferson County, Alabama"
7,December,0.980076657922402,"Jefferson County, Alabama"
8,August,1,"Jefferson County, Alabama"
8,September,0.9767884317291637,"Jefferson County, Alabama"
8,October,0.9779833481268948,"Jefferson County, Alabama"
8,November,0.9795306116096126,"Jefferson County, Alabama"
8,December,0.9830480358073971,"Jefferson County, Alabama"
9,September,1,"Jefferson County, Alabama"
9,October,0.9895198315887597,"Jefferson County, Alabama"
9,November,0.9863500119973589,"Jefferson County, Alabama"
9,December,0.9724105557131547,"Jefferson County, Alabama"
10,October,0.9999999999999998,"Jefferson County, Alabama"
10,November,0.9879853046324759,"Jefferson County, Alabama"
10,December,0.9753086285590009,"Jefferson County, Alabama"
11,November,1,"Jefferson County, Alabama"
11,December,0.9802619879771942,"Jefferson County, Alabama"
12,December,0.9999999999999999,"Jefferson County, Alabama"
