month,name,value,city
1,January,1,"Jefferson County, Kentucky"
1,February,0.9680724420197265,"Jefferson County, Kentucky"
1,March,0.9445620400096129,"Jefferson County, Kentucky"
1,April,0.8793053276998131,"Jefferson County, Kentucky"
1,May,0.9011109786385106,"Jefferson County, Kentucky"
1,June,0.9061898541793245,"Jefferson County, Kentucky"
1,July,0.9144608580444247,"Jefferson County, Kentucky"
1,August,0.9041656655488319,"Jefferson County, Kentucky"
1,September,0.9307076958070625,"Jefferson County, Kentucky"
1,October,0.9256137621350976,"Jefferson County, Kentucky"
1,November,0.9218644078864818,"Jefferson County, Kentucky"
1,December,0.9151871121553259,"Jefferson County, Kentucky"
2,February,1,"Jefferson County, Kentucky"
2,March,0.9477433427643844,"Jefferson County, Kentucky"
2,April,0.880095727518777,"Jefferson County, Kentucky"
2,May,0.9000139095749158,"Jefferson County, Kentucky"
2,June,0.9052333257480599,"Jefferson County, Kentucky"
2,July,0.9126584942929139,"Jefferson County, Kentucky"
2,August,0.9036183249843461,"Jefferson County, Kentucky"
2,September,0.9355401704207968,"Jefferson County, Kentucky"
2,October,0.9288020580101178,"Jefferson County, Kentucky"
2,November,0.9252675972185982,"Jefferson County, Kentucky"
2,December,0.9139633743405066,"Jefferson County, Kentucky"
3,March,1,"Jefferson County, Kentucky"
3,April,0.93631669641681,"Jefferson County, Kentucky"
3,May,0.9490443349232248,"Jefferson County, Kentucky"
3,June,0.9356540980096494,"Jefferson County, Kentucky"
3,July,0.9484153127228568,"Jefferson County, Kentucky"
3,August,0.932973626203385,"Jefferson County, Kentucky"
3,September,0.9474759147634364,"Jefferson County, Kentucky"
3,October,0.9424395183134688,"Jefferson County, Kentucky"
3,November,0.9450150806260097,"Jefferson County, Kentucky"
3,December,0.9427026594937694,"Jefferson County, Kentucky"
4,April,0.9999999999999999,"Jefferson County, Kentucky"
4,May,0.9571111808897169,"Jefferson County, Kentucky"
4,June,0.9152736512056756,"Jefferson County, Kentucky"
4,July,0.9340062859409834,"Jefferson County, Kentucky"
4,August,0.9100052754824232,"Jefferson County, Kentucky"
4,September,0.9119461316283799,"Jefferson County, Kentucky"
4,October,0.9118118783763566,"Jefferson County, Kentucky"
4,November,0.9251057730966392,"Jefferson County, Kentucky"
4,December,0.9265622200597361,"Jefferson County, Kentucky"
5,May,1,"Jefferson County, Kentucky"
5,June,0.9515277273596607,"Jefferson County, Kentucky"
5,July,0.9602424117160934,"Jefferson County, Kentucky"
5,August,0.9387763280886868,"Jefferson County, Kentucky"
5,September,0.9333636819770518,"Jefferson County, Kentucky"
5,October,0.9322628571043025,"Jefferson County, Kentucky"
5,November,0.9440949868721688,"Jefferson County, Kentucky"
5,December,0.9509534541345507,"Jefferson County, Kentucky"
6,June,0.9999999999999999,"Jefferson County, Kentucky"
6,July,0.962852869537375,"Jefferson County, Kentucky"
6,August,0.9417669310069386,"Jefferson County, Kentucky"
6,September,0.9335552041640622,"Jefferson County, Kentucky"
6,October,0.9323064813078034,"Jefferson County, Kentucky"
6,November,0.9395358777634645,"Jefferson County, Kentucky"
6,December,0.9495304373727941,"Jefferson County, Kentucky"
7,July,1,"Jefferson County, Kentucky"
7,August,0.9543085763583324,"Jefferson County, Kentucky"
7,September,0.9458698140972349,"Jefferson County, Kentucky"
7,October,0.9441130186295027,"Jefferson County, Kentucky"
7,November,0.9518457177776447,"Jefferson County, Kentucky"
7,December,0.9598348389807485,"Jefferson County, Kentucky"
8,August,1,"Jefferson County, Kentucky"
8,September,0.95024035824361,"Jefferson County, Kentucky"
8,October,0.9442545362785889,"Jefferson County, Kentucky"
8,November,0.9495593769496946,"Jefferson County, Kentucky"
8,December,0.9446699121864219,"Jefferson County, Kentucky"
9,September,1,"Jefferson County, Kentucky"
9,October,0.9672582630789787,"Jefferson County, Kentucky"
9,November,0.9650281989598041,"Jefferson County, Kentucky"
9,December,0.9485718485464611,"Jefferson County, Kentucky"
10,October,1,"Jefferson County, Kentucky"
10,November,0.9630031242487122,"Jefferson County, Kentucky"
10,December,0.9505679544546022,"Jefferson County, Kentucky"
11,November,1,"Jefferson County, Kentucky"
11,December,0.965858078168672,"Jefferson County, Kentucky"
12,December,1,"Jefferson County, Kentucky"
