month,name,value,city
1,January,1,"King County, Washington"
1,February,0.945576948437647,"King County, Washington"
1,March,0.9076951633202528,"King County, Washington"
1,April,0.798462105232331,"King County, Washington"
1,May,0.8213448433001981,"King County, Washington"
1,June,0.8585269432588736,"King County, Washington"
1,July,0.8684237030032117,"King County, Washington"
1,August,0.8576111248272089,"King County, Washington"
1,September,0.867453126571992,"King County, Washington"
1,October,0.8728122533434315,"King County, Washington"
1,November,0.8524106464675515,"King County, Washington"
1,December,0.8504278791972598,"King County, Washington"
2,February,1,"King County, Washington"
2,March,0.9001526926391435,"King County, Washington"
2,April,0.789408409840286,"King County, Washington"
2,May,0.811183109238297,"King County, Washington"
2,June,0.8450271225418637,"King County, Washington"
2,July,0.8555919374824256,"King County, Washington"
2,August,0.8423807878806471,"King County, Washington"
2,September,0.852444914288875,"King County, Washington"
2,October,0.8586970907219039,"King County, Washington"
2,November,0.8412900442677554,"King County, Washington"
2,December,0.8355240863251747,"King County, Washington"
3,March,1,"King County, Washington"
3,April,0.8896214784478129,"King County, Washington"
3,May,0.9051348503698182,"King County, Washington"
3,June,0.9221402618576414,"King County, Washington"
3,July,0.9189261806984972,"King County, Washington"
3,August,0.9009482462561866,"King County, Washington"
3,September,0.9141124748040709,"King County, Washington"
3,October,0.9132817050376442,"King County, Washington"
3,November,0.8982316826296733,"King County, Washington"
3,December,0.8926362747431644,"King County, Washington"
4,April,1,"King County, Washington"
4,May,0.9300110447869095,"King County, Washington"
4,June,0.9010529036092445,"King County, Washington"
4,July,0.8813394620278305,"King County, Washington"
4,August,0.8565565575510231,"King County, Washington"
4,September,0.8750067845148989,"King County, Washington"
4,October,0.869791263714435,"King County, Washington"
4,November,0.8589543898234366,"King County, Washington"
4,December,0.8504057565441594,"King County, Washington"
5,May,1,"King County, Washington"
5,June,0.9318525230471254,"King County, Washington"
5,July,0.9121767579368035,"King County, Washington"
5,August,0.8885005241979567,"King County, Washington"
5,September,0.9013491343037214,"King County, Washington"
5,October,0.8988995443257094,"King County, Washington"
5,November,0.8897148443277078,"King County, Washington"
5,December,0.8812985514626133,"King County, Washington"
6,June,0.9999999999999999,"King County, Washington"
6,July,0.9453697912332107,"King County, Washington"
6,August,0.9238737803317469,"King County, Washington"
6,September,0.9315159629616149,"King County, Washington"
6,October,0.9301944823611725,"King County, Washington"
6,November,0.9202830228940275,"King County, Washington"
6,December,0.9154872958090997,"King County, Washington"
7,July,1,"King County, Washington"
7,August,0.9391103233271497,"King County, Washington"
7,September,0.9395609610207282,"King County, Washington"
7,October,0.9381217830506976,"King County, Washington"
7,November,0.9281516002835618,"King County, Washington"
7,December,0.9234730498101208,"King County, Washington"
8,August,0.9999999999999998,"King County, Washington"
8,September,0.9359147625994411,"King County, Washington"
8,October,0.9313145099166382,"King County, Washington"
8,November,0.9208795143831616,"King County, Washington"
8,December,0.919930674103868,"King County, Washington"
9,September,1,"King County, Washington"
9,October,0.9501610153993033,"King County, Washington"
9,November,0.936482527465137,"King County, Washington"
9,December,0.9286190994359473,"King County, Washington"
10,October,1,"King County, Washington"
10,November,0.9427682479331826,"King County, Washington"
10,December,0.938468663270126,"King County, Washington"
11,November,1,"King County, Washington"
11,December,0.9434005561721192,"King County, Washington"
12,December,1,"King County, Washington"
