month,name,value,city
1,January,1,"Kings County, New York"
1,February,0.8649954336963663,"Kings County, New York"
1,March,0.813370545505433,"Kings County, New York"
1,April,0.6509822818088328,"Kings County, New York"
1,May,0.698847587385753,"Kings County, New York"
1,June,0.7292382283483024,"Kings County, New York"
1,July,0.7273250563486388,"Kings County, New York"
1,August,0.7057958506198109,"Kings County, New York"
1,September,0.7212298778582251,"Kings County, New York"
1,October,0.6826503088887446,"Kings County, New York"
1,November,0.6058692399907374,"Kings County, New York"
1,December,0.6225799314505562,"Kings County, New York"
2,February,1,"Kings County, New York"
2,March,0.8456424991733277,"Kings County, New York"
2,April,0.6561220664846067,"Kings County, New York"
2,May,0.7085976248420881,"Kings County, New York"
2,June,0.7456933288904075,"Kings County, New York"
2,July,0.7490318226512261,"Kings County, New York"
2,August,0.7235236250612372,"Kings County, New York"
2,September,0.7416081176555215,"Kings County, New York"
2,October,0.7028980113171306,"Kings County, New York"
2,November,0.6201822006181,"Kings County, New York"
2,December,0.6361827840533918,"Kings County, New York"
3,March,1,"Kings County, New York"
3,April,0.7341352089671448,"Kings County, New York"
3,May,0.7690011609788087,"Kings County, New York"
3,June,0.7955765185192716,"Kings County, New York"
3,July,0.7863588752447234,"Kings County, New York"
3,August,0.7527501510216642,"Kings County, New York"
3,September,0.7627220759084318,"Kings County, New York"
3,October,0.7242314204557873,"Kings County, New York"
3,November,0.6463076344146498,"Kings County, New York"
3,December,0.6547126089588949,"Kings County, New York"
4,April,0.9999999999999999,"Kings County, New York"
4,May,0.8324414057964102,"Kings County, New York"
4,June,0.7692278952860848,"Kings County, New York"
4,July,0.709829025387135,"Kings County, New York"
4,August,0.6775218108477299,"Kings County, New York"
4,September,0.6746524431484516,"Kings County, New York"
4,October,0.6436089839443561,"Kings County, New York"
4,November,0.6033158828279138,"Kings County, New York"
4,December,0.6082170025531773,"Kings County, New York"
5,May,1,"Kings County, New York"
5,June,0.8304173523658402,"Kings County, New York"
5,July,0.7813697479920947,"Kings County, New York"
5,August,0.7557295169537819,"Kings County, New York"
5,September,0.7417283339777988,"Kings County, New York"
5,October,0.7134394739974932,"Kings County, New York"
5,November,0.6604818788401722,"Kings County, New York"
5,December,0.6680903372490263,"Kings County, New York"
6,June,1,"Kings County, New York"
6,July,0.8284969395039999,"Kings County, New York"
6,August,0.78718813741571525,"Kings County, New York"
6,September,0.7800257527808558,"Kings County, New York"
6,October,0.7452716410770654,"Kings County, New York"
6,November,0.679669489178448,"Kings County, New York"
6,December,0.6897688558153697,"Kings County, New York"
7,July,1,"Kings County, New York"
7,August,0.8448328364701618,"Kings County, New York"
7,September,0.8213097239560688,"Kings County, New York"
7,October,0.7836958757142624,"Kings County, New York"
7,November,0.7113217558211286,"Kings County, New York"
7,December,0.7263894962593477,"Kings County, New York"
8,August,1,"Kings County, New York"
8,September,0.8459171705409206,"Kings County, New York"
8,October,0.8001940716850859,"Kings County, New York"
8,November,0.7236263395389139,"Kings County, New York"
8,December,0.7648834023452309,"Kings County, New York"
9,September,1,"Kings County, New York"
9,October,0.8296212086321403,"Kings County, New York"
9,November,0.7440882765348374,"Kings County, New York"
9,December,0.7652242592886402,"Kings County, New York"
10,October,1,"Kings County, New York"
10,November,0.7921719688111274,"Kings County, New York"
10,December,0.7523732154709754,"Kings County, New York"
11,November,1,"Kings County, New York"
11,December,0.7352777433015887,"Kings County, New York"
12,December,1,"Kings County, New York"
