month,name,value,city
1,January,1,"Knox County, Tennessee"
1,February,0.98702873477881925,"Knox County, Tennessee"
1,March,0.9771258716914328,"Knox County, Tennessee"
1,April,0.824182730322446,"Knox County, Tennessee"
1,May,0.8813554191974451,"Knox County, Tennessee"
1,June,0.8940635326111016,"Knox County, Tennessee"
1,July,0.8930938653170296,"Knox County, Tennessee"
1,August,0.9099466197742958,"Knox County, Tennessee"
1,September,0.9666023679366893,"Knox County, Tennessee"
1,October,0.9651921806110807,"Knox County, Tennessee"
1,November,0.9632686438334703,"Knox County, Tennessee"
1,December,0.9060224569986476,"Knox County, Tennessee"
2,February,1,"Knox County, Tennessee"
2,March,0.9755558413840395,"Knox County, Tennessee"
2,April,0.7993365626385311,"Knox County, Tennessee"
2,May,0.8498237751369738,"Knox County, Tennessee"
2,June,0.85963014028343665,"Knox County, Tennessee"
2,July,0.8597136477933075,"Knox County, Tennessee"
2,August,0.8793613266020225,"Knox County, Tennessee"
2,September,0.9668594979301804,"Knox County, Tennessee"
2,October,0.967279616636582,"Knox County, Tennessee"
2,November,0.9553763975002157,"Knox County, Tennessee"
2,December,0.8755804523763006,"Knox County, Tennessee"
3,March,0.9999999999999999,"Knox County, Tennessee"
3,April,0.8768203792575453,"Knox County, Tennessee"
3,May,0.9068253285263365,"Knox County, Tennessee"
3,June,0.9091480097570426,"Knox County, Tennessee"
3,July,0.9104787550868602,"Knox County, Tennessee"
3,August,0.9227848175391857,"Knox County, Tennessee"
3,September,0.9648934554262723,"Knox County, Tennessee"
3,October,0.9620698575034423,"Knox County, Tennessee"
3,November,0.9645867167233696,"Knox County, Tennessee"
3,December,0.9175072086142417,"Knox County, Tennessee"
4,April,0.9999999999999998,"Knox County, Tennessee"
4,May,0.9558564623850271,"Knox County, Tennessee"
4,June,0.9315474840467787,"Knox County, Tennessee"
4,July,0.9342400330060933,"Knox County, Tennessee"
4,August,0.9242128065164023,"Knox County, Tennessee"
4,September,0.8357981796356917,"Knox County, Tennessee"
4,October,0.8311784572367137,"Knox County, Tennessee"
4,November,0.8697123372295832,"Knox County, Tennessee"
4,December,0.9173678773286583,"Knox County, Tennessee"
5,May,0.9999999999999998,"Knox County, Tennessee"
5,June,0.9807294107831078,"Knox County, Tennessee"
5,July,0.9809415733860709,"Knox County, Tennessee"
5,August,0.9730249056532186,"Knox County, Tennessee"
5,September,0.8726089727462789,"Knox County, Tennessee"
5,October,0.8679232820929492,"Knox County, Tennessee"
5,November,0.9097719395232872,"Knox County, Tennessee"
5,December,0.9679145531933226,"Knox County, Tennessee"
6,June,1,"Knox County, Tennessee"
6,July,0.9868784979260089,"Knox County, Tennessee"
6,August,0.982906785106233,"Knox County, Tennessee"
6,September,0.8780076904078318,"Knox County, Tennessee"
6,October,0.8733625680393994,"Knox County, Tennessee"
6,November,0.9177761078188776,"Knox County, Tennessee"
6,December,0.9778599023403457,"Knox County, Tennessee"
7,July,1,"Knox County, Tennessee"
7,August,0.9849042528289315,"Knox County, Tennessee"
7,September,0.8812548895992343,"Knox County, Tennessee"
7,October,0.876873431597433,"Knox County, Tennessee"
7,November,0.9211499495980041,"Knox County, Tennessee"
7,December,0.9798488459047016,"Knox County, Tennessee"
8,August,1,"Knox County, Tennessee"
8,September,0.9015236329002203,"Knox County, Tennessee"
8,October,0.8954087619984178,"Knox County, Tennessee"
8,November,0.937140001402149,"Knox County, Tennessee"
8,December,0.9823918966896056,"Knox County, Tennessee"
9,September,1,"Knox County, Tennessee"
9,October,0.9882452130468837,"Knox County, Tennessee"
9,November,0.9806696624916278,"Knox County, Tennessee"
9,December,0.8966882311784075,"Knox County, Tennessee"
10,October,1,"Knox County, Tennessee"
10,November,0.9806362882620763,"Knox County, Tennessee"
10,December,0.894818930570131,"Knox County, Tennessee"
11,November,1,"Knox County, Tennessee"
11,December,0.9391848380922879,"Knox County, Tennessee"
12,December,0.9999999999999999,"Knox County, Tennessee"
