month,name,value,city
1,January,0.9999999999999999,"Lee County, Florida"
1,February,0.9742002900005089,"Lee County, Florida"
1,March,0.9452985980879658,"Lee County, Florida"
1,April,0.8308544324676113,"Lee County, Florida"
1,May,0.8807142278357388,"Lee County, Florida"
1,June,0.8866400881800742,"Lee County, Florida"
1,July,0.8751398547239728,"Lee County, Florida"
1,August,0.8911103544737925,"Lee County, Florida"
1,September,0.9257412556328287,"Lee County, Florida"
1,October,0.9285938756212955,"Lee County, Florida"
1,November,0.925818447945266,"Lee County, Florida"
1,December,0.9234664753483054,"Lee County, Florida"
2,February,1,"Lee County, Florida"
2,March,0.9490082513126437,"Lee County, Florida"
2,April,0.8317877796753087,"Lee County, Florida"
2,May,0.8818140066992884,"Lee County, Florida"
2,June,0.8872865795368144,"Lee County, Florida"
2,July,0.8746060742412551,"Lee County, Florida"
2,August,0.8916983000274723,"Lee County, Florida"
2,September,0.9355415495905798,"Lee County, Florida"
2,October,0.937663995914669,"Lee County, Florida"
2,November,0.933721304502543,"Lee County, Florida"
2,December,0.9263986589900227,"Lee County, Florida"
3,March,0.9999999999999999,"Lee County, Florida"
3,April,0.908992698917823,"Lee County, Florida"
3,May,0.9389638056374366,"Lee County, Florida"
3,June,0.9331261012627143,"Lee County, Florida"
3,July,0.9242907778368441,"Lee County, Florida"
3,August,0.9280151103372366,"Lee County, Florida"
3,September,0.9291723737508173,"Lee County, Florida"
3,October,0.9323785009104985,"Lee County, Florida"
3,November,0.9332461293061962,"Lee County, Florida"
3,December,0.9366150620479141,"Lee County, Florida"
4,April,1,"Lee County, Florida"
4,May,0.9365357877001464,"Lee County, Florida"
4,June,0.9102527948940636,"Lee County, Florida"
4,July,0.9100375208099944,"Lee County, Florida"
4,August,0.8990894305275852,"Lee County, Florida"
4,September,0.8609014327706576,"Lee County, Florida"
4,October,0.8611642152918257,"Lee County, Florida"
4,November,0.8658928214361985,"Lee County, Florida"
4,December,0.8726960122481797,"Lee County, Florida"
5,May,1,"Lee County, Florida"
5,June,0.9610107667568119,"Lee County, Florida"
5,July,0.9556957501728017,"Lee County, Florida"
5,August,0.9486043478971518,"Lee County, Florida"
5,September,0.899471839286757,"Lee County, Florida"
5,October,0.9035079241931739,"Lee County, Florida"
5,November,0.9122758381478532,"Lee County, Florida"
5,December,0.9299831416736203,"Lee County, Florida"
6,June,0.9999999999999998,"Lee County, Florida"
6,July,0.963194468669247,"Lee County, Florida"
6,August,0.9594220167950791,"Lee County, Florida"
6,September,0.9045068564332547,"Lee County, Florida"
6,October,0.9107781567383771,"Lee County, Florida"
6,November,0.9208758048072789,"Lee County, Florida"
6,December,0.9425136049862529,"Lee County, Florida"
7,July,1,"Lee County, Florida"
7,August,0.9613894580802533,"Lee County, Florida"
7,September,0.9029696187353325,"Lee County, Florida"
7,October,0.9071345865731919,"Lee County, Florida"
7,November,0.9189269327735156,"Lee County, Florida"
7,December,0.9388006210462162,"Lee County, Florida"
8,August,1,"Lee County, Florida"
8,September,0.918846088105071,"Lee County, Florida"
8,October,0.9232546553839459,"Lee County, Florida"
8,November,0.9334256788584938,"Lee County, Florida"
8,December,0.9516191725204789,"Lee County, Florida"
9,September,1,"Lee County, Florida"
9,October,0.9693121077406457,"Lee County, Florida"
9,November,0.9631022204173936,"Lee County, Florida"
9,December,0.9407869417496457,"Lee County, Florida"
10,October,1,"Lee County, Florida"
10,November,0.9679150242559578,"Lee County, Florida"
10,December,0.9471320800022631,"Lee County, Florida"
11,November,1,"Lee County, Florida"
11,December,0.9593597553208268,"Lee County, Florida"
12,December,0.9999999999999999,"Lee County, Florida"
