month,name,value,city
1,January,1,"Los Angeles County, California"
1,February,0.9429378630460529,"Los Angeles County, California"
1,March,0.9164433847931676,"Los Angeles County, California"
1,April,0.7646666021243997,"Los Angeles County, California"
1,May,0.7949975146603221,"Los Angeles County, California"
1,June,0.8494006255402574,"Los Angeles County, California"
1,July,0.7944975722649652,"Los Angeles County, California"
1,August,0.8303725104951533,"Los Angeles County, California"
1,September,0.8457989703066255,"Los Angeles County, California"
1,October,0.8589036168115846,"Los Angeles County, California"
1,November,0.8333227060078503,"Los Angeles County, California"
1,December,0.8333305373600789,"Los Angeles County, California"
2,February,0.9999999999999999,"Los Angeles County, California"
2,March,0.9191967153013461,"Los Angeles County, California"
2,April,0.7527059882140605,"Los Angeles County, California"
2,May,0.7822114073505418,"Los Angeles County, California"
2,June,0.8326383139441331,"Los Angeles County, California"
2,July,0.7778788212127052,"Los Angeles County, California"
2,August,0.8141864145902393,"Los Angeles County, California"
2,September,0.831743827589244,"Los Angeles County, California"
2,October,0.8429299184914443,"Los Angeles County, California"
2,November,0.817386991166678,"Los Angeles County, California"
2,December,0.8160549370733512,"Los Angeles County, California"
3,March,1,"Los Angeles County, California"
3,April,0.8369488102831452,"Los Angeles County, California"
3,May,0.8564750388835367,"Los Angeles County, California"
3,June,0.884856159636784,"Los Angeles County, California"
3,July,0.8291310626318216,"Los Angeles County, California"
3,August,0.866764508686031,"Los Angeles County, California"
3,September,0.880849535378318,"Los Angeles County, California"
3,October,0.8837786861172382,"Los Angeles County, California"
3,November,0.8582095884407198,"Los Angeles County, California"
3,December,0.8593137013755779,"Los Angeles County, California"
4,April,0.9999999999999999,"Los Angeles County, California"
4,May,0.9201130724245212,"Los Angeles County, California"
4,June,0.8786243635481882,"Los Angeles County, California"
4,July,0.8288678310662969,"Los Angeles County, California"
4,August,0.8629356507731689,"Los Angeles County, California"
4,September,0.8716615329340576,"Los Angeles County, California"
4,October,0.8555689930106435,"Los Angeles County, California"
4,November,0.8324251128409378,"Los Angeles County, California"
4,December,0.8440430423047182,"Los Angeles County, California"
5,May,1,"Los Angeles County, California"
5,June,0.9166942444944111,"Los Angeles County, California"
5,July,0.8615450599066745,"Los Angeles County, California"
5,August,0.8971966078024064,"Los Angeles County, California"
5,September,0.9026420912894,"Los Angeles County, California"
5,October,0.8918422553810432,"Los Angeles County, California"
5,November,0.8641524222080016,"Los Angeles County, California"
5,December,0.8743216549041204,"Los Angeles County, California"
6,June,0.9999999999999998,"Los Angeles County, California"
6,July,0.8870825385735118,"Los Angeles County, California"
6,August,0.9203139577406579,"Los Angeles County, California"
6,September,0.9267782840280508,"Los Angeles County, California"
6,October,0.9282852436102291,"Los Angeles County, California"
6,November,0.8999527936063841,"Los Angeles County, California"
6,December,0.906524676068175,"Los Angeles County, California"
7,July,1,"Los Angeles County, California"
7,August,0.9012315568486886,"Los Angeles County, California"
7,September,0.8808206733350039,"Los Angeles County, California"
7,October,0.8749397669671374,"Los Angeles County, California"
7,November,0.8491277423010263,"Los Angeles County, California"
7,December,0.8551978432578756,"Los Angeles County, California"
8,August,0.9999999999999998,"Los Angeles County, California"
8,September,0.9280592122682085,"Los Angeles County, California"
8,October,0.9223186227933016,"Los Angeles County, California"
8,November,0.893247688273382,"Los Angeles County, California"
8,December,0.9016654571507133,"Los Angeles County, California"
9,September,1,"Los Angeles County, California"
9,October,0.9417103090226147,"Los Angeles County, California"
9,November,0.9089691232504739,"Los Angeles County, California"
9,December,0.9141825880471549,"Los Angeles County, California"
10,October,1,"Los Angeles County, California"
10,November,0.9202172175628267,"Los Angeles County, California"
10,December,0.9217430588368278,"Los Angeles County, California"
11,November,0.9999999999999999,"Los Angeles County, California"
11,December,0.9231511975560635,"Los Angeles County, California"
12,December,1,"Los Angeles County, California"
