month,name,value,city
1,January,1,"Maricopa County, Arizona"
1,February,0.9697982391310527,"Maricopa County, Arizona"
1,March,0.9579277516870142,"Maricopa County, Arizona"
1,April,0.8870679649872265,"Maricopa County, Arizona"
1,May,0.9212405797564506,"Maricopa County, Arizona"
1,June,0.9309193539197709,"Maricopa County, Arizona"
1,July,0.9238026100464294,"Maricopa County, Arizona"
1,August,0.917538240040709,"Maricopa County, Arizona"
1,September,0.9378470393450803,"Maricopa County, Arizona"
1,October,0.9434843671552293,"Maricopa County, Arizona"
1,November,0.9347729855573577,"Maricopa County, Arizona"
1,December,0.9363005648990086,"Maricopa County, Arizona"
2,February,1,"Maricopa County, Arizona"
2,March,0.9526384376336514,"Maricopa County, Arizona"
2,April,0.8758854529140521,"Maricopa County, Arizona"
2,May,0.9081198470958657,"Maricopa County, Arizona"
2,June,0.9164599604139773,"Maricopa County, Arizona"
2,July,0.9096778176319849,"Maricopa County, Arizona"
2,August,0.9056376028583647,"Maricopa County, Arizona"
2,September,0.9362699283579938,"Maricopa County, Arizona"
2,October,0.9398056174913959,"Maricopa County, Arizona"
2,November,0.9295514946786454,"Maricopa County, Arizona"
2,December,0.9220415113988154,"Maricopa County, Arizona"
3,March,1,"Maricopa County, Arizona"
3,April,0.9308228645653466,"Maricopa County, Arizona"
3,May,0.9491747370545497,"Maricopa County, Arizona"
3,June,0.9508611528135441,"Maricopa County, Arizona"
3,July,0.9449591988375173,"Maricopa County, Arizona"
3,August,0.941863351570763,"Maricopa County, Arizona"
3,September,0.9514198584223436,"Maricopa County, Arizona"
3,October,0.9530745157366101,"Maricopa County, Arizona"
3,November,0.9444673974332514,"Maricopa County, Arizona"
3,December,0.9434412285815476,"Maricopa County, Arizona"
4,April,1,"Maricopa County, Arizona"
4,May,0.9600090971714476,"Maricopa County, Arizona"
4,June,0.942992167409489,"Maricopa County, Arizona"
4,July,0.94347186592549,"Maricopa County, Arizona"
4,August,0.9276527802010548,"Maricopa County, Arizona"
4,September,0.9234704440680015,"Maricopa County, Arizona"
4,October,0.9188500581927258,"Maricopa County, Arizona"
4,November,0.9087410274648207,"Maricopa County, Arizona"
4,December,0.9099948414484026,"Maricopa County, Arizona"
5,May,0.9999999999999998,"Maricopa County, Arizona"
5,June,0.971745882114893,"Maricopa County, Arizona"
5,July,0.9670459389381773,"Maricopa County, Arizona"
5,August,0.954523926530091,"Maricopa County, Arizona"
5,September,0.9505662408796103,"Maricopa County, Arizona"
5,October,0.9496574289209821,"Maricopa County, Arizona"
5,November,0.9401784481324124,"Maricopa County, Arizona"
5,December,0.9465920929390541,"Maricopa County, Arizona"
6,June,1,"Maricopa County, Arizona"
6,July,0.9712125077692776,"Maricopa County, Arizona"
6,August,0.9609747238392835,"Maricopa County, Arizona"
6,September,0.9558462490944749,"Maricopa County, Arizona"
6,October,0.9552458925936713,"Maricopa County, Arizona"
6,November,0.9450751696513287,"Maricopa County, Arizona"
6,December,0.9537772195113575,"Maricopa County, Arizona"
7,July,1,"Maricopa County, Arizona"
7,August,0.9627594090031479,"Maricopa County, Arizona"
7,September,0.9564113704297206,"Maricopa County, Arizona"
7,October,0.9542900251316878,"Maricopa County, Arizona"
7,November,0.9439081542918184,"Maricopa County, Arizona"
7,December,0.9525667790914772,"Maricopa County, Arizona"
8,August,1,"Maricopa County, Arizona"
8,September,0.9558931732812499,"Maricopa County, Arizona"
8,October,0.9509866492231148,"Maricopa County, Arizona"
8,November,0.9406201254945716,"Maricopa County, Arizona"
8,December,0.9494261767712461,"Maricopa County, Arizona"
9,September,1,"Maricopa County, Arizona"
9,October,0.9734706293356976,"Maricopa County, Arizona"
9,November,0.9605442221713776,"Maricopa County, Arizona"
9,December,0.9567886174244145,"Maricopa County, Arizona"
10,October,1,"Maricopa County, Arizona"
10,November,0.964524242044537,"Maricopa County, Arizona"
10,December,0.9618160292732983,"Maricopa County, Arizona"
11,November,0.9999999999999998,"Maricopa County, Arizona"
11,December,0.9642582248169361,"Maricopa County, Arizona"
12,December,1,"Maricopa County, Arizona"
