month,name,value,city
1,January,0.9999999999999998,"Middlesex County, Massachusetts"
1,February,0.8990393648683069,"Middlesex County, Massachusetts"
1,March,0.8620262765393705,"Middlesex County, Massachusetts"
1,April,0.686107496020448,"Middlesex County, Massachusetts"
1,May,0.7419321630540222,"Middlesex County, Massachusetts"
1,June,0.8241986907699629,"Middlesex County, Massachusetts"
1,July,0.8285942140237466,"Middlesex County, Massachusetts"
1,August,0.8163861069568854,"Middlesex County, Massachusetts"
1,September,0.8454928937939122,"Middlesex County, Massachusetts"
1,October,0.8493628223839998,"Middlesex County, Massachusetts"
1,November,0.8302487171047964,"Middlesex County, Massachusetts"
1,December,0.8223284026683999,"Middlesex County, Massachusetts"
2,February,1,"Middlesex County, Massachusetts"
2,March,0.8760396615583081,"Middlesex County, Massachusetts"
2,April,0.660878754241294,"Middlesex County, Massachusetts"
2,May,0.7090295855819811,"Middlesex County, Massachusetts"
2,June,0.7851783906441115,"Middlesex County, Massachusetts"
2,July,0.7892343038837557,"Middlesex County, Massachusetts"
2,August,0.7743662289461495,"Middlesex County, Massachusetts"
2,September,0.8147991952805542,"Middlesex County, Massachusetts"
2,October,0.823832512195565,"Middlesex County, Massachusetts"
2,November,0.8008445433471387,"Middlesex County, Massachusetts"
2,December,0.7797308017286183,"Middlesex County, Massachusetts"
3,March,1,"Middlesex County, Massachusetts"
3,April,0.7697284093704362,"Middlesex County, Massachusetts"
3,May,0.7967931784899552,"Middlesex County, Massachusetts"
3,June,0.8419121891515003,"Middlesex County, Massachusetts"
3,July,0.843940563511629,"Middlesex County, Massachusetts"
3,August,0.8392802628903581,"Middlesex County, Massachusetts"
3,September,0.8597597610204458,"Middlesex County, Massachusetts"
3,October,0.8520763224004987,"Middlesex County, Massachusetts"
3,November,0.8353797144916665,"Middlesex County, Massachusetts"
3,December,0.8251549743983139,"Middlesex County, Massachusetts"
4,April,1,"Middlesex County, Massachusetts"
4,May,0.8625690266761658,"Middlesex County, Massachusetts"
4,June,0.8050970074767043,"Middlesex County, Massachusetts"
4,July,0.7889234651461813,"Middlesex County, Massachusetts"
4,August,0.7662639596210494,"Middlesex County, Massachusetts"
4,September,0.7616502398249334,"Middlesex County, Massachusetts"
4,October,0.7464838731080317,"Middlesex County, Massachusetts"
4,November,0.7454833310407399,"Middlesex County, Massachusetts"
4,December,0.7527605027133816,"Middlesex County, Massachusetts"
5,May,1,"Middlesex County, Massachusetts"
5,June,0.8660391284880714,"Middlesex County, Massachusetts"
5,July,0.8425398971573972,"Middlesex County, Massachusetts"
5,August,0.8249968463849442,"Middlesex County, Massachusetts"
5,September,0.8155970072412115,"Middlesex County, Massachusetts"
5,October,0.8035787480135843,"Middlesex County, Massachusetts"
5,November,0.8028223420419579,"Middlesex County, Massachusetts"
5,December,0.8066915897536197,"Middlesex County, Massachusetts"
6,June,1,"Middlesex County, Massachusetts"
6,July,0.8997568536890175,"Middlesex County, Massachusetts"
6,August,0.8786046378805492,"Middlesex County, Massachusetts"
6,September,0.8779070891964187,"Middlesex County, Massachusetts"
6,October,0.8688536336239874,"Middlesex County, Massachusetts"
6,November,0.8603746294715221,"Middlesex County, Massachusetts"
6,December,0.8628835342082961,"Middlesex County, Massachusetts"
7,July,1,"Middlesex County, Massachusetts"
7,August,0.9071815907136891,"Middlesex County, Massachusetts"
7,September,0.8925455181201608,"Middlesex County, Massachusetts"
7,October,0.8833209071858567,"Middlesex County, Massachusetts"
7,November,0.8741511206300807,"Middlesex County, Massachusetts"
7,December,0.8836032448442098,"Middlesex County, Massachusetts"
8,August,0.9999999999999998,"Middlesex County, Massachusetts"
8,September,0.9006556308168122,"Middlesex County, Massachusetts"
8,October,0.8746032669799227,"Middlesex County, Massachusetts"
8,November,0.8689530820303473,"Middlesex County, Massachusetts"
8,December,0.8797807452299137,"Middlesex County, Massachusetts"
9,September,1,"Middlesex County, Massachusetts"
9,October,0.918069594935533,"Middlesex County, Massachusetts"
9,November,0.8980034216812066,"Middlesex County, Massachusetts"
9,December,0.885788106411425,"Middlesex County, Massachusetts"
10,October,0.9999999999999999,"Middlesex County, Massachusetts"
10,November,0.91306004816272,"Middlesex County, Massachusetts"
10,December,0.8938350662487794,"Middlesex County, Massachusetts"
11,November,1,"Middlesex County, Massachusetts"
11,December,0.9004219669618013,"Middlesex County, Massachusetts"
12,December,1,"Middlesex County, Massachusetts"
