month,name,value,city
1,January,1,"Multnomah County, Oregon"
1,February,0.9281785772324214,"Multnomah County, Oregon"
1,March,0.8838534299083254,"Multnomah County, Oregon"
1,April,0.7535930287009412,"Multnomah County, Oregon"
1,May,0.7847837390756233,"Multnomah County, Oregon"
1,June,0.8205298463074411,"Multnomah County, Oregon"
1,July,0.8351144066584522,"Multnomah County, Oregon"
1,August,0.830201754708046,"Multnomah County, Oregon"
1,September,0.8165405661293594,"Multnomah County, Oregon"
1,October,0.8266060228255044,"Multnomah County, Oregon"
1,November,0.7974027609503692,"Multnomah County, Oregon"
1,December,0.7989561654123176,"Multnomah County, Oregon"
2,February,0.9999999999999998,"Multnomah County, Oregon"
2,March,0.9009981836052977,"Multnomah County, Oregon"
2,April,0.7687737820271747,"Multnomah County, Oregon"
2,May,0.7982512725880822,"Multnomah County, Oregon"
2,June,0.8374555748055531,"Multnomah County, Oregon"
2,July,0.8501209377067265,"Multnomah County, Oregon"
2,August,0.8435591830968668,"Multnomah County, Oregon"
2,September,0.833964114385206,"Multnomah County, Oregon"
2,October,0.8422750573523609,"Multnomah County, Oregon"
2,November,0.8147860775021569,"Multnomah County, Oregon"
2,December,0.8111609332603394,"Multnomah County, Oregon"
3,March,1,"Multnomah County, Oregon"
3,April,0.8324041292520694,"Multnomah County, Oregon"
3,May,0.8507006280824829,"Multnomah County, Oregon"
3,June,0.8665228891243768,"Multnomah County, Oregon"
3,July,0.8773194935214595,"Multnomah County, Oregon"
3,August,0.8717741567196887,"Multnomah County, Oregon"
3,September,0.8618471262711088,"Multnomah County, Oregon"
3,October,0.8570268553290498,"Multnomah County, Oregon"
3,November,0.8370922315452463,"Multnomah County, Oregon"
3,December,0.8343977626496649,"Multnomah County, Oregon"
4,April,1,"Multnomah County, Oregon"
4,May,0.9039577171438007,"Multnomah County, Oregon"
4,June,0.8683217327910943,"Multnomah County, Oregon"
4,July,0.8337036920429018,"Multnomah County, Oregon"
4,August,0.8246837266058553,"Multnomah County, Oregon"
4,September,0.8257271314947479,"Multnomah County, Oregon"
4,October,0.8007589141789574,"Multnomah County, Oregon"
4,November,0.8122508649133524,"Multnomah County, Oregon"
4,December,0.8029143999556901,"Multnomah County, Oregon"
5,May,1,"Multnomah County, Oregon"
5,June,0.8985568623895847,"Multnomah County, Oregon"
5,July,0.8737151665798922,"Multnomah County, Oregon"
5,August,0.8602444688284263,"Multnomah County, Oregon"
5,September,0.8597466097524796,"Multnomah County, Oregon"
5,October,0.833736848913472,"Multnomah County, Oregon"
5,November,0.8500508202031039,"Multnomah County, Oregon"
5,December,0.84976104407564,"Multnomah County, Oregon"
6,June,1,"Multnomah County, Oregon"
6,July,0.9079692306665619,"Multnomah County, Oregon"
6,August,0.892925438442049,"Multnomah County, Oregon"
6,September,0.8810669360239946,"Multnomah County, Oregon"
6,October,0.869276756506944,"Multnomah County, Oregon"
6,November,0.882948990279004,"Multnomah County, Oregon"
6,December,0.8755384039943876,"Multnomah County, Oregon"
7,July,1,"Multnomah County, Oregon"
7,August,0.9107590690569062,"Multnomah County, Oregon"
7,September,0.8983669976534708,"Multnomah County, Oregon"
7,October,0.8956852319126289,"Multnomah County, Oregon"
7,November,0.887507962984008,"Multnomah County, Oregon"
7,December,0.8847545835811058,"Multnomah County, Oregon"
8,August,1,"Multnomah County, Oregon"
8,September,0.906743246079537,"Multnomah County, Oregon"
8,October,0.8956115952761304,"Multnomah County, Oregon"
8,November,0.8854494374716652,"Multnomah County, Oregon"
8,December,0.8831264180821288,"Multnomah County, Oregon"
9,September,0.9999999999999999,"Multnomah County, Oregon"
9,October,0.9076283406522802,"Multnomah County, Oregon"
9,November,0.8974884037603397,"Multnomah County, Oregon"
9,December,0.8906125443500501,"Multnomah County, Oregon"
10,October,1,"Multnomah County, Oregon"
10,November,0.8975655412928153,"Multnomah County, Oregon"
10,December,0.888337953311939,"Multnomah County, Oregon"
11,November,1,"Multnomah County, Oregon"
11,December,0.919870412644304,"Multnomah County, Oregon"
12,December,1,"Multnomah County, Oregon"
