month,name,value,city
1,January,1,"Pima County, Arizona"
1,February,0.9515983557451713,"Pima County, Arizona"
1,March,0.9541065391749739,"Pima County, Arizona"
1,April,0.9026350112611522,"Pima County, Arizona"
1,May,0.9250508555251263,"Pima County, Arizona"
1,June,0.9334969305933204,"Pima County, Arizona"
1,July,0.918284521416366,"Pima County, Arizona"
1,August,0.9210529886370246,"Pima County, Arizona"
1,September,0.9341926912702634,"Pima County, Arizona"
1,October,0.9351286818224585,"Pima County, Arizona"
1,November,0.9369252095559291,"Pima County, Arizona"
1,December,0.935729487434475,"Pima County, Arizona"
2,February,1,"Pima County, Arizona"
2,March,0.9327468613747367,"Pima County, Arizona"
2,April,0.8632535319803591,"Pima County, Arizona"
2,May,0.8837455213518067,"Pima County, Arizona"
2,June,0.8895014759502273,"Pima County, Arizona"
2,July,0.8781818500318185,"Pima County, Arizona"
2,August,0.8809001438876535,"Pima County, Arizona"
2,September,0.9447234664695359,"Pima County, Arizona"
2,October,0.9454869477825488,"Pima County, Arizona"
2,November,0.9340122905102153,"Pima County, Arizona"
2,December,0.8920493336048771,"Pima County, Arizona"
3,March,1,"Pima County, Arizona"
3,April,0.9371585231319302,"Pima County, Arizona"
3,May,0.9471269904067353,"Pima County, Arizona"
3,June,0.9503226139125105,"Pima County, Arizona"
3,July,0.9432777650468315,"Pima County, Arizona"
3,August,0.9386100855436628,"Pima County, Arizona"
3,September,0.9397421196025114,"Pima County, Arizona"
3,October,0.9375674777686289,"Pima County, Arizona"
3,November,0.9422245943151569,"Pima County, Arizona"
3,December,0.9393129821306766,"Pima County, Arizona"
4,April,1,"Pima County, Arizona"
4,May,0.9676063246685281,"Pima County, Arizona"
4,June,0.9548663117930608,"Pima County, Arizona"
4,July,0.9497219980141673,"Pima County, Arizona"
4,August,0.944559648620175,"Pima County, Arizona"
4,September,0.9178409195946821,"Pima County, Arizona"
4,October,0.9109656520271255,"Pima County, Arizona"
4,November,0.92497835925679,"Pima County, Arizona"
4,December,0.9314449295343237,"Pima County, Arizona"
5,May,0.9999999999999999,"Pima County, Arizona"
5,June,0.9730987700990049,"Pima County, Arizona"
5,July,0.9636125228358592,"Pima County, Arizona"
5,August,0.9609207467489445,"Pima County, Arizona"
5,September,0.9340198992158133,"Pima County, Arizona"
5,October,0.9292233399412475,"Pima County, Arizona"
5,November,0.9441621755343694,"Pima County, Arizona"
5,December,0.9539741077809702,"Pima County, Arizona"
6,June,1,"Pima County, Arizona"
6,July,0.9675191299422868,"Pima County, Arizona"
6,August,0.9613179246003786,"Pima County, Arizona"
6,September,0.9353537244586544,"Pima County, Arizona"
6,October,0.9318223338001184,"Pima County, Arizona"
6,November,0.9441441270184076,"Pima County, Arizona"
6,December,0.9590857973308892,"Pima County, Arizona"
7,July,1,"Pima County, Arizona"
7,August,0.9668745460643263,"Pima County, Arizona"
7,September,0.9332418574686523,"Pima County, Arizona"
7,October,0.9296513925088652,"Pima County, Arizona"
7,November,0.9425563692904765,"Pima County, Arizona"
7,December,0.9582070615714937,"Pima County, Arizona"
8,August,1,"Pima County, Arizona"
8,September,0.9370981460357959,"Pima County, Arizona"
8,October,0.9339255292012434,"Pima County, Arizona"
8,November,0.9492830769590354,"Pima County, Arizona"
8,December,0.9606498161451668,"Pima County, Arizona"
9,September,1,"Pima County, Arizona"
9,October,0.9751041085272526,"Pima County, Arizona"
9,November,0.9708440336509273,"Pima County, Arizona"
9,December,0.9378143425073586,"Pima County, Arizona"
10,October,1,"Pima County, Arizona"
10,November,0.9730220133236877,"Pima County, Arizona"
10,December,0.9396349238459825,"Pima County, Arizona"
11,November,1,"Pima County, Arizona"
11,December,0.9591722872581459,"Pima County, Arizona"
12,December,1,"Pima County, Arizona"
