month,name,value,city
1,January,1,"Polk County, Florida"
1,February,0.9830363481885013,"Polk County, Florida"
1,March,0.9691826167792305,"Polk County, Florida"
1,April,0.9087567027955483,"Polk County, Florida"
1,May,0.9484382908651728,"Polk County, Florida"
1,June,0.9574028959580012,"Polk County, Florida"
1,July,0.9501373887424625,"Polk County, Florida"
1,August,0.9546452719347931,"Polk County, Florida"
1,September,0.9559433366917605,"Polk County, Florida"
1,October,0.9601458348682455,"Polk County, Florida"
1,November,0.95557141347661,"Polk County, Florida"
1,December,0.9543507125489977,"Polk County, Florida"
2,February,1,"Polk County, Florida"
2,March,0.972278211007763,"Polk County, Florida"
2,April,0.9108064307133283,"Polk County, Florida"
2,May,0.9496278945950409,"Polk County, Florida"
2,June,0.959167024614005,"Polk County, Florida"
2,July,0.951396466178621,"Polk County, Florida"
2,August,0.9566562195145273,"Polk County, Florida"
2,September,0.9581936728300541,"Polk County, Florida"
2,October,0.9632495655850746,"Polk County, Florida"
2,November,0.9588712543272541,"Polk County, Florida"
2,December,0.955675278943116,"Polk County, Florida"
3,March,1,"Polk County, Florida"
3,April,0.9452075450998955,"Polk County, Florida"
3,May,0.9641797566344893,"Polk County, Florida"
3,June,0.9655366823882543,"Polk County, Florida"
3,July,0.96213592538514,"Polk County, Florida"
3,August,0.9608430579392885,"Polk County, Florida"
3,September,0.9609803358215494,"Polk County, Florida"
3,October,0.9640765687993239,"Polk County, Florida"
3,November,0.9585088705743683,"Polk County, Florida"
3,December,0.9519689014861442,"Polk County, Florida"
4,April,1,"Polk County, Florida"
4,May,0.9534887233522702,"Polk County, Florida"
4,June,0.9348221740194168,"Polk County, Florida"
4,July,0.9406976086598067,"Polk County, Florida"
4,August,0.9257007265322192,"Polk County, Florida"
4,September,0.9296539891358786,"Polk County, Florida"
4,October,0.9248299015494359,"Polk County, Florida"
4,November,0.9169841248265459,"Polk County, Florida"
4,December,0.900842491078891,"Polk County, Florida"
5,May,1,"Polk County, Florida"
5,June,0.9704405907971414,"Polk County, Florida"
5,July,0.9706223286202416,"Polk County, Florida"
5,August,0.9649898513206548,"Polk County, Florida"
5,September,0.9593736119140089,"Polk County, Florida"
5,October,0.956018090320302,"Polk County, Florida"
5,November,0.9540617155389985,"Polk County, Florida"
5,December,0.9489200880151626,"Polk County, Florida"
6,June,1,"Polk County, Florida"
6,July,0.9734634156497219,"Polk County, Florida"
6,August,0.9737023327244121,"Polk County, Florida"
6,September,0.9649156046573303,"Polk County, Florida"
6,October,0.9654591129064113,"Polk County, Florida"
6,November,0.9650124117588978,"Polk County, Florida"
6,December,0.9631697418529865,"Polk County, Florida"
7,July,1,"Polk County, Florida"
7,August,0.9753050911696175,"Polk County, Florida"
7,September,0.9681208212628849,"Polk County, Florida"
7,October,0.9646562014581803,"Polk County, Florida"
7,November,0.9635177472582174,"Polk County, Florida"
7,December,0.9591938925798474,"Polk County, Florida"
8,August,0.9999999999999999,"Polk County, Florida"
8,September,0.9707851144286742,"Polk County, Florida"
8,October,0.9698165662876252,"Polk County, Florida"
8,November,0.9702983272724791,"Polk County, Florida"
8,December,0.9683054201328025,"Polk County, Florida"
9,September,1,"Polk County, Florida"
9,October,0.9764036604924189,"Polk County, Florida"
9,November,0.9733351810102263,"Polk County, Florida"
9,December,0.9625734754475891,"Polk County, Florida"
10,October,1,"Polk County, Florida"
10,November,0.9763829532050667,"Polk County, Florida"
10,December,0.9687191865207374,"Polk County, Florida"
11,November,1,"Polk County, Florida"
11,December,0.9755271608579889,"Polk County, Florida"
12,December,1,"Polk County, Florida"
