month,name,value,city
1,January,1,"Polk County, Iowa"
1,February,0.9905776638401649,"Polk County, Iowa"
1,March,0.9814431029038865,"Polk County, Iowa"
1,April,0.9532890426273577,"Polk County, Iowa"
1,May,0.9527928561264752,"Polk County, Iowa"
1,June,0.9707670627148988,"Polk County, Iowa"
1,July,0.9730958609632113,"Polk County, Iowa"
1,August,0.9698268369013425,"Polk County, Iowa"
1,September,0.9755743950849272,"Polk County, Iowa"
1,October,0.9765810738992149,"Polk County, Iowa"
1,November,0.9675040787737248,"Polk County, Iowa"
1,December,0.9660079151904315,"Polk County, Iowa"
2,February,1,"Polk County, Iowa"
2,March,0.9834301968372415,"Polk County, Iowa"
2,April,0.9528333246126919,"Polk County, Iowa"
2,May,0.9550681637950975,"Polk County, Iowa"
2,June,0.9714286652542148,"Polk County, Iowa"
2,July,0.9741282754606234,"Polk County, Iowa"
2,August,0.9706005017967276,"Polk County, Iowa"
2,September,0.977749763178547,"Polk County, Iowa"
2,October,0.9788751830108715,"Polk County, Iowa"
2,November,0.9689865891139463,"Polk County, Iowa"
2,December,0.9669603726339999,"Polk County, Iowa"
3,March,0.9999999999999999,"Polk County, Iowa"
3,April,0.9644049876552473,"Polk County, Iowa"
3,May,0.9621077365684338,"Polk County, Iowa"
3,June,0.9738635884225058,"Polk County, Iowa"
3,July,0.9776068042383219,"Polk County, Iowa"
3,August,0.9746956551455266,"Polk County, Iowa"
3,September,0.9784472378135214,"Polk County, Iowa"
3,October,0.977774953499657,"Polk County, Iowa"
3,November,0.9723336703210177,"Polk County, Iowa"
3,December,0.9667389727848256,"Polk County, Iowa"
4,April,1,"Polk County, Iowa"
4,May,0.971093918616029,"Polk County, Iowa"
4,June,0.9751093965087605,"Polk County, Iowa"
4,July,0.9710752001481348,"Polk County, Iowa"
4,August,0.9664668823098538,"Polk County, Iowa"
4,September,0.9702539595450047,"Polk County, Iowa"
4,October,0.9682491605545513,"Polk County, Iowa"
4,November,0.9709718739561173,"Polk County, Iowa"
4,December,0.9690652609567665,"Polk County, Iowa"
5,May,1,"Polk County, Iowa"
5,June,0.9752651580074657,"Polk County, Iowa"
5,July,0.9705995735133293,"Polk County, Iowa"
5,August,0.9660549017908825,"Polk County, Iowa"
5,September,0.9684015212756495,"Polk County, Iowa"
5,October,0.9676675210095887,"Polk County, Iowa"
5,November,0.9683812886002545,"Polk County, Iowa"
5,December,0.9676513061034506,"Polk County, Iowa"
6,June,1,"Polk County, Iowa"
6,July,0.9883281558818012,"Polk County, Iowa"
6,August,0.9824183898031573,"Polk County, Iowa"
6,September,0.9830334174850047,"Polk County, Iowa"
6,October,0.9847552335132486,"Polk County, Iowa"
6,November,0.9828640284146669,"Polk County, Iowa"
6,December,0.9835122406268041,"Polk County, Iowa"
7,July,1,"Polk County, Iowa"
7,August,0.986831848768523,"Polk County, Iowa"
7,September,0.9848871236053837,"Polk County, Iowa"
7,October,0.98644613264191,"Polk County, Iowa"
7,November,0.980284709101357,"Polk County, Iowa"
7,December,0.9795450805371235,"Polk County, Iowa"
8,August,1,"Polk County, Iowa"
8,September,0.985313853071321,"Polk County, Iowa"
8,October,0.983156614212968,"Polk County, Iowa"
8,November,0.9786779662739251,"Polk County, Iowa"
8,December,0.9767953878750272,"Polk County, Iowa"
9,September,1,"Polk County, Iowa"
9,October,0.9891794915405321,"Polk County, Iowa"
9,November,0.9824461758178339,"Polk County, Iowa"
9,December,0.979960221654663,"Polk County, Iowa"
10,October,1,"Polk County, Iowa"
10,November,0.9872535033462859,"Polk County, Iowa"
10,December,0.9850314787194661,"Polk County, Iowa"
11,November,1,"Polk County, Iowa"
11,December,0.9893302552580918,"Polk County, Iowa"
12,December,0.9999999999999999,"Polk County, Iowa"
