month,name,value,city
1,January,0.9999999999999999,"Providence County, Rhode Island"
1,February,0.886047574561868,"Providence County, Rhode Island"
1,March,0.8621263338441086,"Providence County, Rhode Island"
1,April,0.7832512113402225,"Providence County, Rhode Island"
1,May,0.8434172154856927,"Providence County, Rhode Island"
1,June,0.8639013522277896,"Providence County, Rhode Island"
1,July,0.8490949894945599,"Providence County, Rhode Island"
1,August,0.7813935511735045,"Providence County, Rhode Island"
1,September,0.8594751791199885,"Providence County, Rhode Island"
1,October,0.8654546528988767,"Providence County, Rhode Island"
1,November,0.7936796059483548,"Providence County, Rhode Island"
1,December,0.7837196311696345,"Providence County, Rhode Island"
2,February,1,"Providence County, Rhode Island"
2,March,0.8937162594204979,"Providence County, Rhode Island"
2,April,0.7188002462018772,"Providence County, Rhode Island"
2,May,0.7675852135189214,"Providence County, Rhode Island"
2,June,0.776251714372729,"Providence County, Rhode Island"
2,July,0.772480769405381,"Providence County, Rhode Island"
2,August,0.7229332887698637,"Providence County, Rhode Island"
2,September,0.7965599124804169,"Providence County, Rhode Island"
2,October,0.8018220985651754,"Providence County, Rhode Island"
2,November,0.7379562387401664,"Providence County, Rhode Island"
2,December,0.7037358755830277,"Providence County, Rhode Island"
3,March,1,"Providence County, Rhode Island"
3,April,0.7921301658181905,"Providence County, Rhode Island"
3,May,0.8301410211034742,"Providence County, Rhode Island"
3,June,0.8387273631787343,"Providence County, Rhode Island"
3,July,0.8196639914558811,"Providence County, Rhode Island"
3,August,0.7471403325745551,"Providence County, Rhode Island"
3,September,0.8363929349251337,"Providence County, Rhode Island"
3,October,0.8432014688079298,"Providence County, Rhode Island"
3,November,0.7755146555620024,"Providence County, Rhode Island"
3,December,0.763232334544055,"Providence County, Rhode Island"
4,April,1,"Providence County, Rhode Island"
4,May,0.8830016158957781,"Providence County, Rhode Island"
4,June,0.8469334419256557,"Providence County, Rhode Island"
4,July,0.8501872435601012,"Providence County, Rhode Island"
4,August,0.7837535064814053,"Providence County, Rhode Island"
4,September,0.8125509774907372,"Providence County, Rhode Island"
4,October,0.8094808473910173,"Providence County, Rhode Island"
4,November,0.7595440374721326,"Providence County, Rhode Island"
4,December,0.7663406354653276,"Providence County, Rhode Island"
5,May,1,"Providence County, Rhode Island"
5,June,0.9181719587468523,"Providence County, Rhode Island"
5,July,0.9130693642727818,"Providence County, Rhode Island"
5,August,0.8348349092701374,"Providence County, Rhode Island"
5,September,0.8753396690533016,"Providence County, Rhode Island"
5,October,0.8786870328336541,"Providence County, Rhode Island"
5,November,0.8128203842199537,"Providence County, Rhode Island"
5,December,0.8245823505403908,"Providence County, Rhode Island"
6,June,1,"Providence County, Rhode Island"
6,July,0.9263388157322773,"Providence County, Rhode Island"
6,August,0.8324962638182591,"Providence County, Rhode Island"
6,September,0.9005297375262277,"Providence County, Rhode Island"
6,October,0.9024463177940423,"Providence County, Rhode Island"
6,November,0.8336800007857909,"Providence County, Rhode Island"
6,December,0.8486188060563485,"Providence County, Rhode Island"
7,July,1,"Providence County, Rhode Island"
7,August,0.8895520845799095,"Providence County, Rhode Island"
7,September,0.8985832993604782,"Providence County, Rhode Island"
7,October,0.8916944510556691,"Providence County, Rhode Island"
7,November,0.8312931650182555,"Providence County, Rhode Island"
7,December,0.8427723479001858,"Providence County, Rhode Island"
8,August,1,"Providence County, Rhode Island"
8,September,0.8294815941345131,"Providence County, Rhode Island"
8,October,0.8172340797076492,"Providence County, Rhode Island"
8,November,0.776164896374279,"Providence County, Rhode Island"
8,December,0.7826253709924431,"Providence County, Rhode Island"
9,September,1,"Providence County, Rhode Island"
9,October,0.9308275535424597,"Providence County, Rhode Island"
9,November,0.8644586791179035,"Providence County, Rhode Island"
9,December,0.8603304276332084,"Providence County, Rhode Island"
10,October,1,"Providence County, Rhode Island"
10,November,0.8687695283579565,"Providence County, Rhode Island"
10,December,0.8600130901656855,"Providence County, Rhode Island"
11,November,1,"Providence County, Rhode Island"
11,December,0.8313617321839307,"Providence County, Rhode Island"
12,December,1,"Providence County, Rhode Island"
