month,name,value,city
1,January,1,"Shelby County, Tennessee"
1,February,0.983398561080465,"Shelby County, Tennessee"
1,March,0.9731528480403837,"Shelby County, Tennessee"
1,April,0.9245107083088029,"Shelby County, Tennessee"
1,May,0.9580665914083165,"Shelby County, Tennessee"
1,June,0.9595165878749377,"Shelby County, Tennessee"
1,July,0.964474023006599,"Shelby County, Tennessee"
1,August,0.9644373468490406,"Shelby County, Tennessee"
1,September,0.9628006967047175,"Shelby County, Tennessee"
1,October,0.9636139025572283,"Shelby County, Tennessee"
1,November,0.9546436087008133,"Shelby County, Tennessee"
1,December,0.9503096308759836,"Shelby County, Tennessee"
2,February,0.9999999999999998,"Shelby County, Tennessee"
2,March,0.974005698079583,"Shelby County, Tennessee"
2,April,0.9225745131660892,"Shelby County, Tennessee"
2,May,0.9563705106989738,"Shelby County, Tennessee"
2,June,0.9583016048351312,"Shelby County, Tennessee"
2,July,0.962863666519936,"Shelby County, Tennessee"
2,August,0.963225015444641,"Shelby County, Tennessee"
2,September,0.9645791471551457,"Shelby County, Tennessee"
2,October,0.964916990159463,"Shelby County, Tennessee"
2,November,0.956041881354981,"Shelby County, Tennessee"
2,December,0.9491523554905404,"Shelby County, Tennessee"
3,March,0.9999999999999999,"Shelby County, Tennessee"
3,April,0.955206924477201,"Shelby County, Tennessee"
3,May,0.972227380063223,"Shelby County, Tennessee"
3,June,0.9622618009206357,"Shelby County, Tennessee"
3,July,0.9689552819315358,"Shelby County, Tennessee"
3,August,0.9658947243362651,"Shelby County, Tennessee"
3,September,0.9663227105705829,"Shelby County, Tennessee"
3,October,0.9662185773699883,"Shelby County, Tennessee"
3,November,0.9586957756932404,"Shelby County, Tennessee"
3,December,0.9498211310890722,"Shelby County, Tennessee"
4,April,1,"Shelby County, Tennessee"
4,May,0.9658386081713519,"Shelby County, Tennessee"
4,June,0.9357593071125192,"Shelby County, Tennessee"
4,July,0.9466412002056039,"Shelby County, Tennessee"
4,August,0.9390976587967637,"Shelby County, Tennessee"
4,September,0.9381883808465534,"Shelby County, Tennessee"
4,October,0.9363611757631359,"Shelby County, Tennessee"
4,November,0.9342090910097572,"Shelby County, Tennessee"
4,December,0.9217835987076863,"Shelby County, Tennessee"
5,May,1,"Shelby County, Tennessee"
5,June,0.9742677090170385,"Shelby County, Tennessee"
5,July,0.9774875317529156,"Shelby County, Tennessee"
5,August,0.9745701996784097,"Shelby County, Tennessee"
5,September,0.9690974230144213,"Shelby County, Tennessee"
5,October,0.9685566293224993,"Shelby County, Tennessee"
5,November,0.9677486003707023,"Shelby County, Tennessee"
5,December,0.9622281212306395,"Shelby County, Tennessee"
6,June,1,"Shelby County, Tennessee"
6,July,0.9780800095019767,"Shelby County, Tennessee"
6,August,0.9763161579608473,"Shelby County, Tennessee"
6,September,0.9691979099236708,"Shelby County, Tennessee"
6,October,0.9664450576933096,"Shelby County, Tennessee"
6,November,0.9667299848467423,"Shelby County, Tennessee"
6,December,0.96614032170345,"Shelby County, Tennessee"
7,July,1,"Shelby County, Tennessee"
7,August,0.9834189025186545,"Shelby County, Tennessee"
7,September,0.9775943797961961,"Shelby County, Tennessee"
7,October,0.9755468499793265,"Shelby County, Tennessee"
7,November,0.9743367851704913,"Shelby County, Tennessee"
7,December,0.9716197574527465,"Shelby County, Tennessee"
8,August,1,"Shelby County, Tennessee"
8,September,0.9813257548664822,"Shelby County, Tennessee"
8,October,0.9804782745015564,"Shelby County, Tennessee"
8,November,0.9800295115126193,"Shelby County, Tennessee"
8,December,0.9793832223478136,"Shelby County, Tennessee"
9,September,1,"Shelby County, Tennessee"
9,October,0.9833487381576306,"Shelby County, Tennessee"
9,November,0.9798876959885933,"Shelby County, Tennessee"
9,December,0.975418312822636,"Shelby County, Tennessee"
10,October,0.9999999999999999,"Shelby County, Tennessee"
10,November,0.9825279769608023,"Shelby County, Tennessee"
10,December,0.9780407119342188,"Shelby County, Tennessee"
11,November,1,"Shelby County, Tennessee"
11,December,0.9855689612501258,"Shelby County, Tennessee"
12,December,1,"Shelby County, Tennessee"
