month,name,value,city
1,January,1,"Solano County, California"
1,February,0.9660602594931776,"Solano County, California"
1,March,0.941201105193954,"Solano County, California"
1,April,0.8532988945660317,"Solano County, California"
1,May,0.9023451845325343,"Solano County, California"
1,June,0.9222525171659748,"Solano County, California"
1,July,0.9246102274011448,"Solano County, California"
1,August,0.9118859083808426,"Solano County, California"
1,September,0.9070874590997237,"Solano County, California"
1,October,0.9173633440547314,"Solano County, California"
1,November,0.8708768601409883,"Solano County, California"
1,December,0.8660986289295518,"Solano County, California"
2,February,1,"Solano County, California"
2,March,0.9518002189476361,"Solano County, California"
2,April,0.8655638332022554,"Solano County, California"
2,May,0.9098081173874201,"Solano County, California"
2,June,0.9320756226592136,"Solano County, California"
2,July,0.931223411490592,"Solano County, California"
2,August,0.920267353787929,"Solano County, California"
2,September,0.9168683317138866,"Solano County, California"
2,October,0.9243229661162159,"Solano County, California"
2,November,0.881222372827601,"Solano County, California"
2,December,0.8743620359786269,"Solano County, California"
3,March,1,"Solano County, California"
3,April,0.8973019266065799,"Solano County, California"
3,May,0.9258075246573085,"Solano County, California"
3,June,0.9341571471096242,"Solano County, California"
3,July,0.932738575005321,"Solano County, California"
3,August,0.9217920851329245,"Solano County, California"
3,September,0.9111063278044897,"Solano County, California"
3,October,0.9119089413697171,"Solano County, California"
3,November,0.8823461938689261,"Solano County, California"
3,December,0.8713053082604935,"Solano County, California"
4,April,1,"Solano County, California"
4,May,0.923290609614207,"Solano County, California"
4,June,0.8891294099763004,"Solano County, California"
4,July,0.8943090211000496,"Solano County, California"
4,August,0.8814738510650079,"Solano County, California"
4,September,0.8734210177512935,"Solano County, California"
4,October,0.8630604142198074,"Solano County, California"
4,November,0.8487783072043191,"Solano County, California"
4,December,0.8411574152336343,"Solano County, California"
5,May,1,"Solano County, California"
5,June,0.9350461774749914,"Solano County, California"
5,July,0.9317856396363843,"Solano County, California"
5,August,0.9211253407961666,"Solano County, California"
5,September,0.9060208254811675,"Solano County, California"
5,October,0.9046546462682437,"Solano County, California"
5,November,0.8758563198904429,"Solano County, California"
5,December,0.8701264225621678,"Solano County, California"
6,June,1,"Solano County, California"
6,July,0.9436385392655796,"Solano County, California"
6,August,0.9332866931322079,"Solano County, California"
6,September,0.9184407040970323,"Solano County, California"
6,October,0.9251735346269375,"Solano County, California"
6,November,0.8766127539830383,"Solano County, California"
6,December,0.8675744247634565,"Solano County, California"
7,July,1,"Solano County, California"
7,August,0.9472451664315562,"Solano County, California"
7,September,0.9352699103923809,"Solano County, California"
7,October,0.9354258777632195,"Solano County, California"
7,November,0.8878323051401492,"Solano County, California"
7,December,0.8860256574444219,"Solano County, California"
8,August,1,"Solano County, California"
8,September,0.9447905926955634,"Solano County, California"
8,October,0.9395483332634856,"Solano County, California"
8,November,0.8911969228600045,"Solano County, California"
8,December,0.8828258530454742,"Solano County, California"
9,September,0.9999999999999999,"Solano County, California"
9,October,0.9508719538971602,"Solano County, California"
9,November,0.9015044734854931,"Solano County, California"
9,December,0.8942016865071942,"Solano County, California"
10,October,1,"Solano County, California"
10,November,0.9005782677450301,"Solano County, California"
10,December,0.8961798205696344,"Solano County, California"
11,November,1,"Solano County, California"
11,December,0.9490146836390931,"Solano County, California"
12,December,1,"Solano County, California"
