month,name,value,city
1,January,1,"Worcester County, Massachusetts"
1,February,0.9353782990286752,"Worcester County, Massachusetts"
1,March,0.894442435643122,"Worcester County, Massachusetts"
1,April,0.7499002597983053,"Worcester County, Massachusetts"
1,May,0.7915253661610557,"Worcester County, Massachusetts"
1,June,0.8522720778463009,"Worcester County, Massachusetts"
1,July,0.8592156673587468,"Worcester County, Massachusetts"
1,August,0.8576500621675083,"Worcester County, Massachusetts"
1,September,0.85517022276225,"Worcester County, Massachusetts"
1,October,0.8546220887814746,"Worcester County, Massachusetts"
1,November,0.8430798388048243,"Worcester County, Massachusetts"
1,December,0.8478311404950405,"Worcester County, Massachusetts"
2,February,1,"Worcester County, Massachusetts"
2,March,0.8985705103272643,"Worcester County, Massachusetts"
2,April,0.7518194674533369,"Worcester County, Massachusetts"
2,May,0.7924240929913099,"Worcester County, Massachusetts"
2,June,0.853470433812271,"Worcester County, Massachusetts"
2,July,0.859545083799259,"Worcester County, Massachusetts"
2,August,0.8535888811489158,"Worcester County, Massachusetts"
2,September,0.8630151928414078,"Worcester County, Massachusetts"
2,October,0.8650266896151299,"Worcester County, Massachusetts"
2,November,0.8552060433188535,"Worcester County, Massachusetts"
2,December,0.8482183826944307,"Worcester County, Massachusetts"
3,March,1,"Worcester County, Massachusetts"
3,April,0.8274429827480744,"Worcester County, Massachusetts"
3,May,0.8625478113999541,"Worcester County, Massachusetts"
3,June,0.9004335542646429,"Worcester County, Massachusetts"
3,July,0.8929282729150458,"Worcester County, Massachusetts"
3,August,0.885324277670508,"Worcester County, Massachusetts"
3,September,0.8831098513450393,"Worcester County, Massachusetts"
3,October,0.8788053277314655,"Worcester County, Massachusetts"
3,November,0.8762879415118391,"Worcester County, Massachusetts"
3,December,0.8729642360977368,"Worcester County, Massachusetts"
4,April,1,"Worcester County, Massachusetts"
4,May,0.8921396712949751,"Worcester County, Massachusetts"
4,June,0.8529580321387528,"Worcester County, Massachusetts"
4,July,0.8233772323182668,"Worcester County, Massachusetts"
4,August,0.8087312619608634,"Worcester County, Massachusetts"
4,September,0.8057549971512793,"Worcester County, Massachusetts"
4,October,0.7972211121311634,"Worcester County, Massachusetts"
4,November,0.7905649212217347,"Worcester County, Massachusetts"
4,December,0.7881420966150042,"Worcester County, Massachusetts"
5,May,1,"Worcester County, Massachusetts"
5,June,0.8927270168053137,"Worcester County, Massachusetts"
5,July,0.8617881007862014,"Worcester County, Massachusetts"
5,August,0.8566707191115359,"Worcester County, Massachusetts"
5,September,0.836491006387238,"Worcester County, Massachusetts"
5,October,0.8356446678109409,"Worcester County, Massachusetts"
5,November,0.8222362839319981,"Worcester County, Massachusetts"
5,December,0.8263171877454822,"Worcester County, Massachusetts"
6,June,0.9999999999999998,"Worcester County, Massachusetts"
6,July,0.9178247322251705,"Worcester County, Massachusetts"
6,August,0.9066863853765541,"Worcester County, Massachusetts"
6,September,0.8936001885241165,"Worcester County, Massachusetts"
6,October,0.8893699590136291,"Worcester County, Massachusetts"
6,November,0.8801694057083435,"Worcester County, Massachusetts"
6,December,0.8919060556572364,"Worcester County, Massachusetts"
7,July,1,"Worcester County, Massachusetts"
7,August,0.9217335730998589,"Worcester County, Massachusetts"
7,September,0.9008098511179508,"Worcester County, Massachusetts"
7,October,0.9014980651543333,"Worcester County, Massachusetts"
7,November,0.8984674976782222,"Worcester County, Massachusetts"
7,December,0.9091400091073085,"Worcester County, Massachusetts"
8,August,1,"Worcester County, Massachusetts"
8,September,0.9113648797859448,"Worcester County, Massachusetts"
8,October,0.9118499110186805,"Worcester County, Massachusetts"
8,November,0.8982160354967825,"Worcester County, Massachusetts"
8,December,0.9121038980813361,"Worcester County, Massachusetts"
9,September,1,"Worcester County, Massachusetts"
9,October,0.9348837808400363,"Worcester County, Massachusetts"
9,November,0.9168600362564043,"Worcester County, Massachusetts"
9,December,0.9048650346148296,"Worcester County, Massachusetts"
10,October,1,"Worcester County, Massachusetts"
10,November,0.9272549000608581,"Worcester County, Massachusetts"
10,December,0.9126267767078247,"Worcester County, Massachusetts"
11,November,1,"Worcester County, Massachusetts"
11,December,0.9221802148373072,"Worcester County, Massachusetts"
12,December,0.9999999999999999,"Worcester County, Massachusetts"
