month,name,value,city
1,January,1,"York County, Pennsylvania"
1,February,0.9698479042460129,"York County, Pennsylvania"
1,March,0.9575262848575309,"York County, Pennsylvania"
1,April,0.9031776999762396,"York County, Pennsylvania"
1,May,0.9271877330735869,"York County, Pennsylvania"
1,June,0.9441786961177647,"York County, Pennsylvania"
1,July,0.9451460068348568,"York County, Pennsylvania"
1,August,0.9461523083797185,"York County, Pennsylvania"
1,September,0.9455094472829868,"York County, Pennsylvania"
1,October,0.9484493068452406,"York County, Pennsylvania"
1,November,0.940050327356006,"York County, Pennsylvania"
1,December,0.9393701732763005,"York County, Pennsylvania"
2,February,1,"York County, Pennsylvania"
2,March,0.9590777543961305,"York County, Pennsylvania"
2,April,0.9012626263583228,"York County, Pennsylvania"
2,May,0.9252626304524298,"York County, Pennsylvania"
2,June,0.9423277475844231,"York County, Pennsylvania"
2,July,0.9425620334921523,"York County, Pennsylvania"
2,August,0.9442029125912043,"York County, Pennsylvania"
2,September,0.9478670913876653,"York County, Pennsylvania"
2,October,0.9504101449161828,"York County, Pennsylvania"
2,November,0.943189333307865,"York County, Pennsylvania"
2,December,0.9357378215504087,"York County, Pennsylvania"
3,March,1,"York County, Pennsylvania"
3,April,0.934136120699195,"York County, Pennsylvania"
3,May,0.9500113769904877,"York County, Pennsylvania"
3,June,0.953900173498844,"York County, Pennsylvania"
3,July,0.9544666172364443,"York County, Pennsylvania"
3,August,0.9560927355880422,"York County, Pennsylvania"
3,September,0.9543748287735652,"York County, Pennsylvania"
3,October,0.9536161738572779,"York County, Pennsylvania"
3,November,0.9494949086847153,"York County, Pennsylvania"
3,December,0.9467282477632011,"York County, Pennsylvania"
4,April,1,"York County, Pennsylvania"
4,May,0.9534446833607185,"York County, Pennsylvania"
4,June,0.9331564964494978,"York County, Pennsylvania"
4,July,0.926874371240804,"York County, Pennsylvania"
4,August,0.9243689799049071,"York County, Pennsylvania"
4,September,0.9169510864660924,"York County, Pennsylvania"
4,October,0.9165607644523805,"York County, Pennsylvania"
4,November,0.9132925017325833,"York County, Pennsylvania"
4,December,0.9204688400991894,"York County, Pennsylvania"
5,May,1,"York County, Pennsylvania"
5,June,0.9615521072499115,"York County, Pennsylvania"
5,July,0.9548763185017786,"York County, Pennsylvania"
5,August,0.9512429901836092,"York County, Pennsylvania"
5,September,0.9420488152079549,"York County, Pennsylvania"
5,October,0.9411289481225549,"York County, Pennsylvania"
5,November,0.9384303478867914,"York County, Pennsylvania"
5,December,0.9444202154162428,"York County, Pennsylvania"
6,June,0.9999999999999998,"York County, Pennsylvania"
6,July,0.9700008628598334,"York County, Pennsylvania"
6,August,0.9650347158998396,"York County, Pennsylvania"
6,September,0.9537248487937714,"York County, Pennsylvania"
6,October,0.9542594641549886,"York County, Pennsylvania"
6,November,0.9522993491030912,"York County, Pennsylvania"
6,December,0.9587193215610594,"York County, Pennsylvania"
7,July,1,"York County, Pennsylvania"
7,August,0.9732041492222152,"York County, Pennsylvania"
7,September,0.9588122195298506,"York County, Pennsylvania"
7,October,0.9563144626250275,"York County, Pennsylvania"
7,November,0.9541141961444011,"York County, Pennsylvania"
7,December,0.9585248816454701,"York County, Pennsylvania"
8,August,1,"York County, Pennsylvania"
8,September,0.9612091793995265,"York County, Pennsylvania"
8,October,0.9615917600265438,"York County, Pennsylvania"
8,November,0.958267239351558,"York County, Pennsylvania"
8,December,0.9597971226573054,"York County, Pennsylvania"
9,September,1,"York County, Pennsylvania"
9,October,0.9710256891188122,"York County, Pennsylvania"
9,November,0.9620318246865763,"York County, Pennsylvania"
9,December,0.9538146634269998,"York County, Pennsylvania"
10,October,1,"York County, Pennsylvania"
10,November,0.9707173620501801,"York County, Pennsylvania"
10,December,0.9610145946860361,"York County, Pennsylvania"
11,November,1,"York County, Pennsylvania"
11,December,0.970248544051685,"York County, Pennsylvania"
12,December,1,"York County, Pennsylvania"
