month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8407936371774023,0.5482186097128569,0.45178139028714315,0.6716003355996321,0.375,0.05702225468293521,58.77777777777778,"Baltimore County, Maryland"
2,0.8192828075315107,0.562471685976945,0.43752831402305503,0.686292235787881,0.379,0.054591281434381626,52.9,"Baltimore County, Maryland"
3,0.829810421232981,0.5537350867877251,0.44626491321227485,0.6787290909403481,0.376,0.043886406599072,52.9,"Baltimore County, Maryland"
4,0.7001971719800136,0.636029164970205,0.363970835029795,0.7517980024025591,0.38,0.025741822764507073,35.266666666666666,"Baltimore County, Maryland"
5,0.7063844540781178,0.6323796556211149,0.36762034437888513,0.7444886106023193,0.377,0.03220413014836455,33.0625,"Baltimore County, Maryland"
6,0.8175375179044523,0.562277750947848,0.43772224905215196,0.6918423919382096,0.38,0.039067422810333964,44.083333333333336,"Baltimore County, Maryland"
7,0.8123641961455901,0.5679796905262012,0.43202030947379877,0.6989777009273513,0.376,0.03878100475453972,44.083333333333336,"Baltimore County, Maryland"
8,0.8267643342482058,0.5587809793276781,0.4412190206723218,0.6851204931251293,0.375,0.03859483301827347,48.09090909090909,"Baltimore County, Maryland"
9,0.8399451430214321,0.5488860284597353,0.4511139715402647,0.6710009750128596,0.376,0.038623474823852894,58.77777777777778,"Baltimore County, Maryland"
10,0.8407746174202257,0.548066447476266,0.45193355252373396,0.673409355186963,0.379,0.04027037864466976,52.9,"Baltimore County, Maryland"
11,0.8420948874920806,0.5474132629428676,0.45258673705713237,0.6720518841801447,0.378,0.03598842871054592,48.09090909090909,"Baltimore County, Maryland"
12,0.8235006508926772,0.5610444130916183,0.43895558690838166,0.6893142618826809,0.379,0.03732743312138397,52.9,"Baltimore County, Maryland"
