month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8881304801187166,0.455119196655343,0.544880803344657,0.509073249046759,0,0.10483496783718232,218,"Bernalillo County, New Mexico"
2,0.8881304801187166,0.455119196655343,0.544880803344657,0.509073249046759,0,0.09207002003585363,218,"Bernalillo County, New Mexico"
3,0.8881304801187166,0.455119196655343,0.544880803344657,0.509073249046759,0,0.07149108931772646,218,"Bernalillo County, New Mexico"
4,0.8061624172058699,0.5235155876954167,0.47648441230458327,0.6311816387971937,0.29,0.040757144363598015,43.6,"Bernalillo County, New Mexico"
5,0.8289700021267776,0.5025510575467006,0.49744894245329935,0.5927013130161495,0.299,0.0520457661077718,54.5,"Bernalillo County, New Mexico"
6,0.7310929367016937,0.5598986680171545,0.4401013319828455,0.6551244200066668,0.003,0.06412527681113572,87.2,"Bernalillo County, New Mexico"
7,0.8029368081597527,0.4979369623035357,0.5020630376964643,0.5941344492693218,0.001,0.0624222292523463,109,"Bernalillo County, New Mexico"
8,0.7953157057771026,0.5307453850020062,0.46925461499799387,0.6276047210207373,0.268,0.06366128862174417,48.44444444444444,"Bernalillo County, New Mexico"
9,0.6767854398832419,0.6002567961620656,0.3997432038379344,0.7026969174379835,0.002,0.06247495518295897,87.2,"Bernalillo County, New Mexico"
10,0.6848677586534307,0.596627478173076,0.4033725218269239,0.6784809452702794,0.001,0.06431509016134135,145.33333333333334,"Bernalillo County, New Mexico"
11,0.7711367934977073,0.5425762565735311,0.4574237434264688,0.6489473996233942,0.292,0.05197722239797532,39.63636363636363,"Bernalillo County, New Mexico"
12,0.8346566824576136,0.48492341704174974,0.5150765829582502,0.5731010213669767,0,0.057798165137614675,145.33333333333334,"Bernalillo County, New Mexico"
