month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8328027369093666,0.5491999770853572,0.45080002291464283,0.6743471080141942,0.255,0.04508762555718523,92.42857142857143,"Clark County, Nevada"
2,0.8754037063353469,0.5259312481844673,0.4740687518155326,0.6575586688741949,0.351,0.03964875665066085,76.11764705882354,"Clark County, Nevada"
3,0.8988774048749965,0.5132376480524865,0.4867623519475135,0.641405445934311,0.352,0.030628004078554,58.81818181818182,"Clark County, Nevada"
4,0.9510022159902963,0.4844241363811173,0.5155758636188827,0.6142801770797424,0.334,0.017541846418295638,40.4375,"Clark County, Nevada"
5,0.873969967552806,0.5303442525899709,0.46965574741002913,0.6593612569455156,0.333,0.02346901817060357,46.214285714285715,"Clark County, Nevada"
6,0.9217780283439554,0.5034688087914222,0.49653119120857786,0.6285210230944294,0.341,0.028327541834464738,53.916666666666664,"Clark County, Nevada"
7,0.8762282019125252,0.5295781898885117,0.47042181011148826,0.6632448344611527,0.311,0.02747883921388621,58.81818181818182,"Clark County, Nevada"
8,0.921778519172755,0.49940332982439106,0.5005966701756089,0.631965355533068,0.34,0.027229607528828994,56.26086956521739,"Clark County, Nevada"
9,0.9004784146154471,0.5122192618510609,0.4877807381489391,0.644329762636095,0.343,0.026752062885278118,71.88888888888889,"Clark County, Nevada"
10,0.9115500676560284,0.5070102921358846,0.4929897078641154,0.6359015903783334,0.337,0.028936575616415102,61.61904761904762,"Clark County, Nevada"
11,0.8923320922874218,0.5177312009630717,0.48226879903692826,0.6460946728160207,0.291,0.02644366108794113,53.916666666666664,"Clark County, Nevada"
12,0.8698000003909637,0.5330818346754219,0.4669181653245781,0.6628109517183846,0.342,0.027035959888640656,56.26086956521739,"Clark County, Nevada"
