month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8203240844283431,0.5544721491327044,0.4455278508672956,0.6766224563012283,0.522,0.008135165899040757,84.95744680851064,"Cook County, Illinois"
2,0.7962626921965819,0.5686024846160626,0.4313975153839375,0.6881029850564765,0.509,0.007351730759289679,79.86,"Cook County, Illinois"
3,0.840239546195014,0.5397284791331589,0.4602715208668411,0.6633535774151613,0.544,0.005407697438453165,65.45901639344262,"Cook County, Illinois"
4,0.751071473150337,0.6005907235053017,0.39940927649469826,0.7249272235489573,0.539,0.002783177173279692,28.319148936170212,"Cook County, Illinois"
5,0.7539667346445754,0.5994867332695071,0.40051326673049287,0.7234452570225888,0.539,0.003560464279422858,35.651785714285715,"Cook County, Illinois"
6,0.7089874143397228,0.6245380448812172,0.3754619551187827,0.7406737077433728,0.51,0.0046292811016473215,39.14705882352941,"Cook County, Illinois"
7,0.7673783514403766,0.5886631808778151,0.41133681912218495,0.708989812787413,0.492,0.00487250483938074,45.89655172413793,"Cook County, Illinois"
8,0.7492831175768309,0.5991708135443631,0.400829186455637,0.7200304814709529,0.543,0.005001425340036446,48.10843373493976,"Cook County, Illinois"
9,0.7777534896021338,0.580122105298472,0.419877894701528,0.7038490379467739,0.544,0.004681351182204128,51.857142857142854,"Cook County, Illinois"
10,0.7882252559260148,0.5733418810712224,0.42665811892877764,0.6952506799889249,0.504,0.00480594296531957,51.857142857142854,"Cook County, Illinois"
11,0.7406161798345048,0.6027997641294257,0.3972002358705743,0.7211777545544475,0.51,0.0041005502113668855,38.02857142857143,"Cook County, Illinois"
12,0.7493787385135579,0.5972340787347782,0.40276592126522187,0.7155723015613162,0.495,0.004270750366247145,42.935483870967744,"Cook County, Illinois"
