month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.9682382414878025,0.44981487723297237,0.5501851227670276,0.5812718969134754,0.177,0.08081753681871931,67.57142857142857,"Davidson County, Tennessee"
2,0.9810200399218583,0.44238934448358674,0.5576106555164132,0.5749540815252806,0.157,0.07311785573512021,67.57142857142857,"Davidson County, Tennessee"
3,0.8590126797035251,0.5213527326376275,0.47864726736237245,0.6460468255606757,0.265,0.05559984950012541,43,"Davidson County, Tennessee"
4,0.7389550896265458,0.5972390030651796,0.40276099693482037,0.7038753100660288,0.321,0.030977890851757624,21.5,"Davidson County, Tennessee"
5,0.733108008169204,0.5933055928808711,0.40669440711912885,0.7070635277816338,0.339,0.04024527896226753,27.823529411764707,"Davidson County, Tennessee"
6,0.8314815391069739,0.5362415818185209,0.4637584181814791,0.6530071574152921,0.328,0.04425860895115921,33.785714285714285,"Davidson County, Tennessee"
7,0.8071923310424254,0.5543219880427234,0.4456780119572767,0.6747140881506926,0.335,0.04321496398753001,36.38461538461539,"Davidson County, Tennessee"
8,0.7403763038217754,0.5954960787252731,0.4045039212747269,0.7121847753230208,0.326,0.04577256602286165,29.5625,"Davidson County, Tennessee"
9,0.7811174545190782,0.572621327838576,0.427378672161424,0.6974759756181297,0.315,0.04738506467911277,47.3,"Davidson County, Tennessee"
10,0.8879861282709084,0.5076794240248632,0.49232057597513673,0.6213891142346744,0.31,0.04912745906045079,43,"Davidson County, Tennessee"
11,0.7684895243355181,0.5742679126244561,0.42573208737554397,0.6890649786945909,0.323,0.04360913032572473,29.5625,"Davidson County, Tennessee"
12,0.8217771502701047,0.5432215597500347,0.4567784402499653,0.6500262043090516,0.306,0.043765901028415814,39.416666666666664,"Davidson County, Tennessee"
