month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8210380127522656,0.5756823802060598,0.4243176197939402,0.7401765143587029,0,0.07549733887194134,497,"Douglas County, Nebraska"
2,0.8210380127522656,0.5756823802060598,0.4243176197939402,0.7401765143587029,0,0.0703981956253651,497,"Douglas County, Nebraska"
3,0.8210380127522656,0.5756823802060598,0.4243176197939402,0.7401765143587029,0,0.05336859868890764,497,"Douglas County, Nebraska"
4,0.6495010663845123,0.6518471981713121,0.34815280182868785,0.7515930919818529,0.406,0.032099857207762705,49.7,"Douglas County, Nebraska"
5,0.7693243487675838,0.5821007652705514,0.4178992347294485,0.6881042698086967,0.433,0.04277276562601415,71,"Douglas County, Nebraska"
6,0.8373142290444129,0.4949711068894571,0.5050288931105429,0.5901005986253249,0.156,0.04823294606347764,99.4,"Douglas County, Nebraska"
7,0.8059861701002908,0.5448741038284431,0.45512589617155685,0.6763870908223917,0.141,0.05076426299733887,248.5,"Douglas County, Nebraska"
8,0.8123390706662897,0.5107060432066569,0.48929395679334303,0.6202615865695941,0.136,0.05196907249951321,99.4,"Douglas County, Nebraska"
9,0.8655682913424102,0.510767807794964,0.48923219220503605,0.6234298642824831,0.437,0.05071964042318427,71,"Douglas County, Nebraska"
10,0.8259865382830498,0.5397080403714956,0.46029195962850444,0.664033833621149,0.478,0.05360793795028234,71,"Douglas County, Nebraska"
11,0.8358199637058292,0.5281543845290817,0.47184561547091824,0.64258819027244,0.393,0.0465048354643993,82.83333333333333,"Douglas County, Nebraska"
12,0.8503198791637315,0.5012867721364833,0.4987132278635167,0.6176873924737987,0.17,0.0482451158564289,124.25,"Douglas County, Nebraska"
