month,entropy,hhi,gini,bp,diss,density,infomap,city
1,1.1420282448288765,0.38310577058234474,0.6168942294176553,0.5334501506271668,0.242,0.048141490231885714,59,"Fairfax County, Virginia"
2,1.094462344177541,0.4100150506559323,0.5899849493440676,0.5585339868536221,0.24,0.0447055298750214,54.083333333333336,"Fairfax County, Virginia"
3,1.0535503566631261,0.43357452636933536,0.5664254736306646,0.581612058272094,0.249,0.03459025281059179,49.92307692307692,"Fairfax County, Virginia"
4,1.0708283341249807,0.4186417959222231,0.5813582040777769,0.559713242493006,0.252,0.017764747284521296,34.1578947368421,"Fairfax County, Virginia"
5,1.093532192118648,0.40847996857391455,0.5915200314260854,0.549605271598076,0.242,0.022135193745363237,40.5625,"Fairfax County, Virginia"
6,1.1053462562603984,0.4037020482606843,0.5962979517393157,0.5565930447018894,0.234,0.027937092202628924,46.357142857142854,"Fairfax County, Virginia"
7,1.1025882074493494,0.4018031516160374,0.5981968483839626,0.544546272786089,0.237,0.029095094066845482,46.357142857142854,"Fairfax County, Virginia"
8,1.0355483107819334,0.4439746356946329,0.5560253643053671,0.5878091966078732,0.233,0.029523102969430653,40.5625,"Fairfax County, Virginia"
9,1.004523186230348,0.4625757092202197,0.5374242907797804,0.6014921313886806,0.238,0.029701440012174472,40.5625,"Fairfax County, Virginia"
10,1.1009759613152985,0.40475314384198957,0.5952468561580104,0.5498026544528979,0.232,0.030455211246171697,54.083333333333336,"Fairfax County, Virginia"
11,1.0883534527749448,0.4133380368066996,0.5866619631933004,0.5613515641564674,0.252,0.02745201544636573,54.083333333333336,"Fairfax County, Virginia"
12,1.0950962521235368,0.4093113803107927,0.5906886196892073,0.5616502170666823,0.236,0.02882877741634804,46.357142857142854,"Fairfax County, Virginia"
