month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7562189621162171,0.5873927196396009,0.4126072803603991,0.7139243063744648,0.333,0.043342384734603924,73.91666666666667,"Franklin County, Ohio"
2,0.7494633941712007,0.5878630767898766,0.41213692321012335,0.714198203822284,0.337,0.039279433808128955,63.357142857142854,"Franklin County, Ohio"
3,0.7233541965491935,0.6023367033294215,0.39766329667057854,0.7178297657238436,0.362,0.028763860223290517,49.27777777777778,"Franklin County, Ohio"
4,0.7209861323770473,0.6032684705682034,0.39673152943179657,0.7195470757965297,0.368,0.016326878589915533,26.87878787878788,"Franklin County, Ohio"
5,0.7264657852390783,0.6009097495190522,0.3990902504809478,0.711131018747767,0.366,0.02230614774228192,42.23809523809524,"Franklin County, Ohio"
6,0.6643027162109701,0.6462106760729085,0.35378932392709156,0.7608925849174634,0.353,0.025726508559809232,44.35,"Franklin County, Ohio"
7,0.7136173254756973,0.6127025795415362,0.3872974204584638,0.7216384069687231,0.379,0.02474544524496044,42.23809523809524,"Franklin County, Ohio"
8,0.6777835574443267,0.6283196147775985,0.37168038522240154,0.7381320085348844,0.375,0.025909742175033914,42.23809523809524,"Franklin County, Ohio"
9,0.7478750303149846,0.5839086815766183,0.41609131842338165,0.7030593731204663,0.352,0.026470895121659486,49.27777777777778,"Franklin County, Ohio"
10,0.7051271006756312,0.6143835809385735,0.38561641906142646,0.7234669613624308,0.379,0.02767718308855528,46.68421052631579,"Franklin County, Ohio"
11,0.6818034101328778,0.6339077999105118,0.3660922000894881,0.7428444232457129,0.372,0.022887659979488016,40.31818181818182,"Franklin County, Ohio"
12,0.6877037143683395,0.625107361808265,0.3748926381917351,0.7308140212840917,0.356,0.022923288738003925,35.48,"Franklin County, Ohio"
