month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7751242386236177,0.5890156435965886,0.41098435640341135,0.7102064616604429,0.602,0.0704961542628101,68,"Fulton County, Georgia"
2,0.8102869660860945,0.567025855743158,0.432974144256842,0.6919754190315144,0.589,0.06367809554761131,68,"Fulton County, Georgia"
3,0.7161443209881804,0.6241020830716054,0.3758979169283945,0.7441896165299393,0.599,0.0477264110063915,49.45454545454545,"Fulton County, Georgia"
4,0.7497371151119154,0.6059208039976121,0.3940791960023879,0.7242763816189485,0.619,0.026737352399523344,24.727272727272727,"Fulton County, Georgia"
5,0.7479921697519142,0.6014169564515472,0.39858304354845275,0.7217541702492924,0.619,0.03644309933918319,38.857142857142854,"Fulton County, Georgia"
6,0.7329314544920126,0.6128159589237575,0.3871840410762425,0.7310311935811331,0.581,0.04200181453796989,41.84615384615385,"Fulton County, Georgia"
7,0.8619149420966303,0.5314740533535065,0.46852594664649355,0.65747301237904765,0.579,0.04146693207669808,36.266666666666666,"Fulton County, Georgia"
8,0.6691340000041268,0.6506407438542495,0.34935925614575053,0.7593370459912507,0.553,0.04264164229227603,41.84615384615385,"Fulton County, Georgia"
9,0.7214652341633621,0.621640360213664,0.378359639786336,0.7447656971456205,0.599,0.04231326508503954,45.333333333333336,"Fulton County, Georgia"
10,0.694696405153377,0.6416961993119081,0.35830380068809187,0.7608507424655638,0.567,0.04439185895352616,45.333333333333336,"Fulton County, Georgia"
11,0.6441054809629373,0.6619864986806028,0.3380135013193973,0.7663783304614401,0.606,0.038616482504604054,24.727272727272727,"Fulton County, Georgia"
12,0.6857961840260851,0.6401174106226458,0.3598825893773541,0.7554713109357536,0.607,0.04069507637309067,38.857142857142854,"Fulton County, Georgia"
