month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.20432298903813495,255,"Greenville County, South Carolina"
2,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.19132314343060058,255,"Greenville County, South Carolina"
3,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.16719160104986877,255,"Greenville County, South Carolina"
4,0.7704777789115361,0.5959760064489259,0.4040239935510741,0.7492679884652329,0.111,0.11681333950903196,63.75,"Greenville County, South Carolina"
5,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.1511965416087695,255,"Greenville County, South Carolina"
6,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.16214296742318976,255,"Greenville County, South Carolina"
7,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.1547784468117956,255,"Greenville County, South Carolina"
8,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.1624517523544851,255,"Greenville County, South Carolina"
9,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.16152539756059905,255,"Greenville County, South Carolina"
10,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.17120580515670836,255,"Greenville County, South Carolina"
11,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.16137100509495136,255,"Greenville County, South Carolina"
12,0.8325060872474815,0.5528587075299548,0.4471412924700452,0.7159669821435424,0,0.16665122742010188,255,"Greenville County, South Carolina"
