month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7871451108454768,0.5681976881989909,0.43180231180100914,0.6757872618400917,0.482,0.06362508173314295,60.888888888888886,"Jackson County, Missouri"
2,0.756420170876209,0.5864786741931154,0.4135213258068846,0.6926962084094611,0.464,0.06081613045276824,54.8,"Jackson County, Missouri"
3,0.8073276988226099,0.554097439201519,0.445902560798481,0.6704153792932421,0.462,0.048766329948358,54.8,"Jackson County, Missouri"
4,0.7207393492945824,0.6187465696177272,0.3812534303822727,0.7372312732984716,0.485,0.031358838521997896,23.82608695652174,"Jackson County, Missouri"
5,0.7989580399762238,0.5644381150615374,0.43556188493846265,0.6838180448270674,0.495,0.04155713313494976,39.142857142857146,"Jackson County, Missouri"
6,0.7127564255414672,0.6162437722433506,0.38375622775664936,0.726487181456803,0.459,0.046691308931264094,45.666666666666664,"Jackson County, Missouri"
7,0.7322363601895469,0.6022408316322047,0.39775916836779535,0.6974276461126742,0.473,0.045994075181147336,68.5,"Jackson County, Missouri"
8,0.7887676276866414,0.5648153921515711,0.43518460784842894,0.6826448472337053,0.475,0.04732515779500661,54.8,"Jackson County, Missouri"
9,0.8109452656174375,0.5482949416077102,0.4517050583922898,0.662016970917296,0.474,0.04650449031879262,49.81818181818182,"Jackson County, Missouri"
10,0.7495984213203171,0.5903117942704534,0.4096882057295465,0.6976066564161462,0.471,0.04820921015759484,54.8,"Jackson County, Missouri"
11,0.7432977135241556,0.5868579153785167,0.4131420846214832,0.6687984285028288,0.456,0.043175115760818804,39.142857142857146,"Jackson County, Missouri"
12,0.7005820430183779,0.6154178821952389,0.38458211780476115,0.7123836524357174,0.443,0.04485981931971337,39.142857142857146,"Jackson County, Missouri"
