month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7105472908917595,0.5811964048170113,0.4188035951829887,0.6799715271857344,0.226,0.08687258687258687,57.55555555555556,"Jefferson County, Alabama"
2,0.715299016927637,0.5763408521464629,0.42365914785353714,0.669473508220976,0.15,0.08347833879748773,64.75,"Jefferson County, Alabama"
3,0.7579377499122607,0.5577322941701987,0.44226770582980135,0.6749413181609051,0.319,0.07179077391843348,47.09090909090909,"Jefferson County, Alabama"
4,0.7289477023845009,0.5807522070345165,0.4192477929654835,0.678713176154906,0.332,0.04882638925192116,37,"Jefferson County, Alabama"
5,0.7592798692894949,0.5548298517748458,0.44517014822515427,0.667496197598557,0.309,0.06549143783186336,51.8,"Jefferson County, Alabama"
6,0.7379110652245102,0.5659415427075462,0.4340584572924538,0.6765248297961307,0.319,0.06977438892332509,51.8,"Jefferson County, Alabama"
7,0.765814499189951,0.5484314287333564,0.4515685712666437,0.6557677691443935,0.295,0.0684712067690791,47.09090909090909,"Jefferson County, Alabama"
8,0.7604041177997856,0.5499443629615712,0.45005563703842877,0.6532517447449091,0.239,0.0691620053322181,57.55555555555556,"Jefferson County, Alabama"
9,0.7524020816940197,0.559242080412201,0.440757919587799,0.664090956340386,0.313,0.06805299358490849,57.55555555555556,"Jefferson County, Alabama"
10,0.712295480671266,0.5892657025371953,0.4107342974628047,0.6997132713162868,0.311,0.07204468906596566,47.09090909090909,"Jefferson County, Alabama"
11,0.7412459356322374,0.5694255649987308,0.4305744350012692,0.6789110755338033,0.291,0.06798204670545095,47.09090909090909,"Jefferson County, Alabama"
12,0.7365887083839692,0.5550289505359891,0.4449710494640109,0.6489896726983699,0.241,0.07053240031963437,74,"Jefferson County, Alabama"
