month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8311185423848578,0.543034979228668,0.4569650207713321,0.6246997939162138,0.251,0.12725441728462877,55.166666666666664,"Jefferson Parish, Louisiana"
2,0.8867852523928573,0.5127034795579427,0.48729652044205723,0.6138219248171028,0.24,0.11745857365192713,47.285714285714285,"Jefferson Parish, Louisiana"
3,0.8867852523928573,0.5127034795579427,0.48729652044205723,0.6138219248171028,0.24,0.09412249382037902,47.285714285714285,"Jefferson Parish, Louisiana"
4,0.8890337447991719,0.5079729640472777,0.49202703595272235,0.5878152978280106,0.249,0.06482651286276664,47.285714285714285,"Jefferson Parish, Louisiana"
5,0.9160674689720243,0.493563826227694,0.506436173772306,0.594163125903424,0.24,0.08464707497940127,41.375,"Jefferson Parish, Louisiana"
6,0.8674003033921883,0.5221786977129291,0.4778213022870709,0.631248975704976,0.24,0.09509292318959993,47.285714285714285,"Jefferson Parish, Louisiana"
7,0.831702061879832,0.5427533063460375,0.4572466936539626,0.623221200957454,0.249,0.0947999633800238,55.166666666666664,"Jefferson Parish, Louisiana"
8,0.8318471323418329,0.5426962505706331,0.4573037494293669,0.6250575083954637,0.249,0.09412249382037902,55.166666666666664,"Jefferson Parish, Louisiana"
9,0.8962466091804911,0.5046549104536019,0.4953450895463981,0.5894565070203346,0.235,0.09237388995697153,55.166666666666664,"Jefferson Parish, Louisiana"
10,0.836203718090907,0.5405691928381504,0.4594308071618496,0.6229161922753297,0.242,0.09815069120205071,66.2,"Jefferson Parish, Louisiana"
11,0.9062937008561067,0.497609392165257,0.502390607834743,0.5997412162129537,0.24,0.09029570630779091,47.285714285714285,"Jefferson Parish, Louisiana"
12,0.8285663979380218,0.5439739335107312,0.45602606648926874,0.6430364686158441,0.218,0.09737251670786413,66.2,"Jefferson Parish, Louisiana"
