month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7371699595700437,0.6289041548782615,0.37109584512173854,0.7804964962234233,0,0.1145482733946413,389,"Kent County, Michigan"
2,0.49015075366469585,0.7629138457991758,0.2370861542008242,0.8598067725095305,0.238,0.10317228950785784,64.83333333333333,"Kent County, Michigan"
3,0.5438392441926071,0.7261888370073762,0.27381116299262376,0.8282853173445273,0.303,0.0762330055919222,48.625,"Kent County, Michigan"
4,0.6953172839258424,0.6263294412913432,0.3736705587086568,0.741115002074585,0.289,0.04009090186309066,24.3125,"Kent County, Michigan"
5,0.7009225235027132,0.6287091398466319,0.3712908601533681,0.7461544317040456,0.273,0.055866217899451405,29.923076923076923,"Kent County, Michigan"
6,0.6061033023618542,0.6893954489112282,0.3106045510887719,0.8058509360609534,0.247,0.07353642700023852,55.57142857142857,"Kent County, Michigan"
7,0.568515201155278,0.713114468520015,0.28688553147998497,0.8227793320776533,0.272,0.07318527548829937,48.625,"Kent County, Michigan"
8,0.6020828745936435,0.6937770684147875,0.30622293158521247,0.8118569164119368,0.247,0.07621312909124639,55.57142857142857,"Kent County, Michigan"
9,0.6064245630880047,0.6844061444690497,0.3155938555309504,0.7850177310755105,0.258,0.07684917711287202,43.22222222222222,"Kent County, Michigan"
10,0.6035582481154889,0.6904987454811283,0.3095012545188716,0.8041902120379195,0.26,0.07804176715342008,55.57142857142857,"Kent County, Michigan"
11,0.5947975384841808,0.6967511266815267,0.3032488733184732,0.8071921780181877,0.251,0.06621524925131847,55.57142857142857,"Kent County, Michigan"
12,0.6355199644037516,0.673792210383897,0.3262077896161029,0.7913622652851684,0.237,0.06613574324861526,48.625,"Kent County, Michigan"
