month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.5411868577688748,0.7434302217798322,0.2565697782201678,0.8566811108643364,0,0.2219059703028017,242,"Knox County, Tennessee"
2,0.5411868577688748,0.7434302217798322,0.2565697782201678,0.8566811108643364,0,0.21187545008744554,242,"Knox County, Tennessee"
3,0.4860248569086269,0.7709315415699907,0.22906845843000934,0.872065649547309,0.178,0.18468159528136896,60.5,"Knox County, Tennessee"
4,0.5338759509840091,0.7345807558756751,0.26541924412432494,0.8449876658908105,0.223,0.13178560406021742,48.4,"Knox County, Tennessee"
5,0.503963725581878,0.7575116594097926,0.24248834059020738,0.8625656193840069,0.19,0.16878707863242,48.4,"Knox County, Tennessee"
6,0.5411868577688748,0.7434302217798322,0.2565697782201678,0.8566811108643364,0,0.17931483831144335,242,"Knox County, Tennessee"
7,0.49287005265549894,0.7683779066550597,0.23162209334494033,0.8709898416153384,0.189,0.1738794965879085,60.5,"Knox County, Tennessee"
8,0.4949827951735743,0.7668697865269759,0.23313021347302412,0.8699728160505926,0.178,0.18130379616611228,60.5,"Knox County, Tennessee"
9,0.45048821399677297,0.7903738428086268,0.20962615719137329,0.8834274304452888,0.201,0.1824525907890676,48.4,"Knox County, Tennessee"
10,0.5062431648098289,0.7586330856992399,0.24136691430076007,0.8645046542127633,0.169,0.1905627379033641,60.5,"Knox County, Tennessee"
11,0.5213751888514532,0.7469403614626052,0.25305963853739477,0.85588520641111,0.168,0.17583416206577276,60.5,"Knox County, Tennessee"
12,0.4865788443172305,0.7659653697306181,0.23403463026938193,0.8674530053423524,0.156,0.17303933335619492,60.5,"Knox County, Tennessee"
