month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.6306481264622283,0.6585048681418604,0.34149513185813957,0.7606759087666655,0.255,0.10530487481132576,57.111111111111114,"Lee County, Florida"
2,0.6301182322350998,0.6588726458364638,0.3411273541635363,0.7606452450088995,0.26,0.09595270060148209,57.111111111111114,"Lee County, Florida"
3,0.6339906911483986,0.6590867722348233,0.34091322776517674,0.7676875911011782,0.278,0.07762759687805766,46.72727272727273,"Lee County, Florida"
4,0.5824623036099801,0.6864637616364985,0.3135362383635015,0.781727152687537,0.314,0.04359417783542297,28.555555555555557,"Lee County, Florida"
5,0.6214060940343095,0.6644389344749151,0.33556106552508497,0.7729073462645142,0.28,0.0643843720845564,39.53846153846154,"Lee County, Florida"
6,0.5853699192549576,0.6874811082871389,0.3125188917128611,0.7867805857497977,0.27,0.07014889146775283,34.266666666666666,"Lee County, Florida"
7,0.6274939052643034,0.6604148135274573,0.3395851864725427,0.7653667084643341,0.256,0.06603787896026274,42.833333333333336,"Lee County, Florida"
8,0.5963424119461961,0.6797852934013907,0.32021470659860934,0.7842094190531297,0.259,0.06854468640256066,39.53846153846154,"Lee County, Florida"
9,0.5761501356090456,0.6942684678360065,0.3057315321639935,0.795415573757761,0.285,0.0683816111831676,32.125,"Lee County, Florida"
10,0.634483358038335,0.6567530411273029,0.34324695887269707,0.7617865584676178,0.244,0.07222715240327364,46.72727272727273,"Lee County, Florida"
11,0.6351589654120539,0.6564697679180558,0.3435302320819442,0.7609059306250076,0.281,0.06663708558035815,39.53846153846154,"Lee County, Florida"
12,0.655564585358232,0.6461902333686829,0.35380976663131714,0.7600580503538283,0.274,0.07352796171145547,46.72727272727273,"Lee County, Florida"
