month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7462320898829462,0.58663033923875,0.4133696607612501,0.6897126282619664,0.341,0.057107464542919616,57.45454545454545,"Marion County, Indiana"
2,0.7924943434506949,0.5589024736356827,0.4410975263643173,0.6618280797462649,0.339,0.05072569158859756,63.2,"Marion County, Indiana"
3,0.8780909756735265,0.5028196121459536,0.49718038785404634,0.6120502699891791,0.342,0.03984282533250416,57.45454545454545,"Marion County, Indiana"
4,0.7890651962547419,0.5622558680241717,0.43774413197582823,0.6849978986180532,0.354,0.0251409255952978,28.727272727272727,"Marion County, Indiana"
5,0.7777945440450756,0.566622761233293,0.433377238766707,0.6837278469990188,0.361,0.03162300146442256,33.26315789473684,"Marion County, Indiana"
6,0.8458579904645516,0.5183910563659929,0.4816089436340071,0.6326570725156906,0.341,0.03741047964853859,52.666666666666664,"Marion County, Indiana"
7,0.8265479022676179,0.5354367570534855,0.46456324294651447,0.6537000621180064,0.335,0.037914501795422176,52.666666666666664,"Marion County, Indiana"
8,0.8128733532350565,0.5422981885081449,0.4577018114918551,0.6523867614601623,0.315,0.038686834239403,48.61538461538461,"Marion County, Indiana"
9,0.7396921993208595,0.5934971947578882,0.4065028052421118,0.7018326283476435,0.331,0.038967682400850565,42.13333333333333,"Marion County, Indiana"
10,0.7830366504787131,0.563751719481236,0.4362482805187639,0.6817266735741735,0.336,0.039765090573532065,37.1764705882353,"Marion County, Indiana"
11,0.8206404285554856,0.540275766266371,0.45972423373362903,0.6469560728183056,0.347,0.03422335453068266,37.1764705882353,"Marion County, Indiana"
12,0.7352377463638359,0.5945962199977363,0.40540378000226374,0.7032142587891317,0.345,0.03512858833677707,42.13333333333333,"Marion County, Indiana"
