month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8372342609894355,0.49037135454218284,0.5096286454578172,0.6042926621392948,0,0.18841202907396104,134.5,"Mobile County, Alabama"
2,0.8372342609894355,0.49037135454218284,0.5096286454578172,0.6042926621392948,0,0.18126837929312545,134.5,"Mobile County, Alabama"
3,0.8369821235182572,0.49068134887520665,0.5093186511247934,0.6049561850619957,0.003,0.16126615990678578,89.66666666666667,"Mobile County, Alabama"
4,0.5936123983167239,0.6702711816651183,0.32972881833488166,0.783891098323992,0.455,0.11710037174721188,38.42857142857143,"Mobile County, Alabama"
5,0.5029133265147683,0.7134417548349841,0.2865582451650159,0.7866984762692844,0.01,0.155787049880708,67.25,"Mobile County, Alabama"
6,0.8372342609894355,0.49037135454218284,0.5096286454578172,0.6042926621392948,0,0.15875547911002608,134.5,"Mobile County, Alabama"
7,0.8369813017657576,0.49069018466651754,0.5093098153334825,0.604979214001528,0.003,0.1534150807301781,89.66666666666667,"Mobile County, Alabama"
8,0.8369345077002448,0.49068744392099406,0.5093125560790059,0.6049411805557278,0.003,0.15779836875104034,67.25,"Mobile County, Alabama"
9,0.5030431522524567,0.7132791924624737,0.2867208075375263,0.7863533730661635,0.007,0.14819952283193696,89.66666666666667,"Mobile County, Alabama"
10,0.8372342609894355,0.49037135454218284,0.5096286454578172,0.6042926621392948,0,0.16243133773511625,134.5,"Mobile County, Alabama"
11,0.5030363420686992,0.7132882547576901,0.2867117452423099,0.7863729407430642,0.007,0.1497669644343339,67.25,"Mobile County, Alabama"
12,0.8372210188260989,0.49038912269547935,0.5096108773045207,0.6043315914795351,0,0.15519058980191977,89.66666666666667,"Mobile County, Alabama"
