month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.6666643285421894,0.6587641906891258,0.34123580931087416,0.7695403554470562,0.369,0.04868853167401262,67.66666666666667,"Monroe County, New York"
2,0.6959213883935647,0.6402151963708889,0.3597848036291111,0.7482660832044612,0.353,0.04233644455967505,67.66666666666667,"Monroe County, New York"
3,0.708762379778186,0.6293384801028058,0.37066151989719426,0.7365986123026312,0.39,0.031630801140782996,50.75,"Monroe County, New York"
4,0.7147572591886202,0.6214154697719552,0.37858453022804484,0.7247833749566993,0.441,0.017913857920663728,22.555555555555557,"Monroe County, New York"
5,0.7542470940123555,0.5919355963335583,0.4080644036664417,0.6910948897359656,0.425,0.023353102584046322,26.47826086956522,"Monroe County, New York"
6,0.7247253190837215,0.6159860538887962,0.38401394611120376,0.7286252313807565,0.387,0.029737598306110103,46.84615384615385,"Monroe County, New York"
7,0.7023188894997027,0.6321598129619657,0.3678401870380344,0.7396178627783145,0.421,0.029778109065767867,38.0625,"Monroe County, New York"
8,0.7671761061936939,0.5824556010819225,0.4175443989180775,0.6866187701992482,0.408,0.030242632443176907,40.6,"Monroe County, New York"
9,0.742457854182916,0.6036427798693933,0.3963572201306067,0.7144234544807851,0.433,0.030553214933886443,33.833333333333336,"Monroe County, New York"
10,0.6863662388451243,0.6454109208775877,0.35458907912241233,0.7669454138972626,0.405,0.030607229280096796,43.5,"Monroe County, New York"
11,0.7376111858373002,0.6052862041266244,0.39471379587337563,0.7178798163100915,0.398,0.026388708841068188,25.375,"Monroe County, New York"
12,0.7551655764504739,0.5966726560791261,0.4033273439208739,0.700977175869314,0.431,0.02611863711001642,25.375,"Monroe County, New York"
