month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7819030079552672,0.5605649787868247,0.4394350212131754,0.704298701733231,0.452,0.11203196684919343,29.125,"Monterey County, California"
2,0.704645438830547,0.6107570810697679,0.3892429189302321,0.7470621623599626,0.441,0.10352227319816487,29.125,"Monterey County, California"
3,0.7619317565050978,0.5693484623028355,0.43065153769716447,0.6943001642203057,0.486,0.08343199644812788,25.88888888888889,"Monterey County, California"
4,0.635968395878767,0.651802500935708,0.348197499064292,0.7613970241596135,0.467,0.051835133935178336,17.923076923076923,"Monterey County, California"
5,0.7597912792126359,0.5794130987642431,0.420586901235757,0.7054321400103117,0.484,0.06151028562971733,19.416666666666668,"Monterey County, California"
6,0.816113681390632,0.5415400276809036,0.45845997231909646,0.6683539492185936,0.441,0.07059345863548912,21.181818181818183,"Monterey County, California"
7,0.7485040124365686,0.5834852139316735,0.4165147860683265,0.7088896110449938,0.463,0.06957599526417048,23.3,"Monterey County, California"
8,0.7302501920172814,0.5923519726327323,0.40764802736726774,0.7186364060404892,0.452,0.07085244931182479,19.416666666666668,"Monterey County, California"
9,0.8013699919009982,0.5551920891046254,0.44480791089537464,0.6877304206120192,0.468,0.06922450791771496,23.3,"Monterey County, California"
10,0.7167077766534575,0.6010030875759131,0.3989969124240869,0.7330650714789743,0.455,0.07262838537812638,23.3,"Monterey County, California"
11,0.776269538118899,0.5661520479873865,0.43384795201261356,0.6899375146545644,0.466,0.06530264910463222,17.923076923076923,"Monterey County, California"
12,0.748615782728561,0.5752678373594274,0.42473216264057256,0.6929725987738962,0.477,0.06619061713778304,19.416666666666668,"Monterey County, California"
