month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.4588457731540663,0.7608798015933844,0.23912019840661558,0.8459739412468464,0.511,0.06964427775883623,46.666666666666664,"Montgomery County, Ohio"
2,0.49686253949447895,0.7366987523471517,0.2633012476528484,0.8291271895404242,0.51,0.06133651551312649,42,"Montgomery County, Ohio"
3,0.5054106888967118,0.7328889820864589,0.267111017913541,0.8123985678495201,0.52,0.049642004773269695,38.18181818181818,"Montgomery County, Ohio"
4,0.5107277391673891,0.7256593418517527,0.27434065814824726,0.8202654927066526,0.509,0.03344698261166042,24.705882352941178,"Montgomery County, Ohio"
5,0.4896484208472444,0.7442860105487537,0.2557139894512464,0.8231552953673794,0.509,0.04387430389817024,35,"Montgomery County, Ohio"
6,0.5675814401987843,0.6938007362036701,0.30619926379632983,0.8007941925910248,0.455,0.04867598590748949,38.18181818181818,"Montgomery County, Ohio"
7,0.5182370502287326,0.7228857203599757,0.2771142796400244,0.7945209492964233,0.486,0.04720422775315377,35,"Montgomery County, Ohio"
8,0.532595604129206,0.7159381223529994,0.28406187764700064,0.8183574464818403,0.48,0.050170473917490625,32.30769230769231,"Montgomery County, Ohio"
9,0.493579242872289,0.733670759051773,0.26632924094822696,0.8075459863166947,0.489,0.04863620866007501,35,"Montgomery County, Ohio"
10,0.5636179484543883,0.6882457820680329,0.31175421793196706,0.7796942470847721,0.436,0.05108535060802364,35,"Montgomery County, Ohio"
11,0.5379289588094369,0.7056336336377466,0.2943663663622535,0.7999788732068299,0.459,0.04406750767132629,30,"Montgomery County, Ohio"
12,0.513222735805261,0.7212438477015722,0.27875615229842776,0.8222135382321417,0.444,0.04505057392885555,28,"Montgomery County, Ohio"
