month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.860882057365837,0.5272908272918865,0.47270917270811347,0.6662569115821749,0.259,0.06621510108650805,73.44444444444444,"Oklahoma County, Oklahoma"
2,0.8834059233065275,0.5098976480260582,0.4901023519739418,0.6472981969801856,0.266,0.060049053316829415,55.083333333333336,"Oklahoma County, Oklahoma"
3,0.8298064861040159,0.5535955288968322,0.4464044711031678,0.6780346315878284,0.279,0.04921606381515609,55.083333333333336,"Oklahoma County, Oklahoma"
4,0.854511292406824,0.5377437064359438,0.4622562935640562,0.6683672192328525,0.284,0.03210012377939761,34.78947368421053,"Oklahoma County, Oklahoma"
5,0.8571948421263081,0.5322166567795453,0.4677833432204547,0.6590911774201983,0.257,0.04567918213909137,47.214285714285715,"Oklahoma County, Oklahoma"
6,0.7927179443665988,0.5768063565162159,0.4231936434837841,0.7094538273091054,0.261,0.049543849997707785,60.09090909090909,"Oklahoma County, Oklahoma"
7,0.7520319521226408,0.6000104979486769,0.39998950205132305,0.7289831108938897,0.241,0.04816393893549718,55.083333333333336,"Oklahoma County, Oklahoma"
8,0.8602720729969137,0.5299590190305732,0.4700409809694268,0.6657133679443266,0.246,0.048982258286343,50.84615384615385,"Oklahoma County, Oklahoma"
9,0.8500117403824518,0.541971651651459,0.45802834834854106,0.6822502203776083,0.26,0.04861321230458901,60.09090909090909,"Oklahoma County, Oklahoma"
10,0.8345391688721899,0.5455677640620538,0.4544322359379462,0.6789599024274949,0.252,0.05097189749232109,60.09090909090909,"Oklahoma County, Oklahoma"
11,0.8751522632772067,0.5186141467996107,0.48138585320038935,0.6506448882799256,0.261,0.04576628615962958,50.84615384615385,"Oklahoma County, Oklahoma"
12,0.7819004834094837,0.580765266198676,0.419234733801324,0.712249639841252,0.261,0.04649979370100399,50.84615384615385,"Oklahoma County, Oklahoma"
