month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.3377872534524583,0.8482632481590956,0.15173675184090443,0.911952348284936,0.412,0.07418414109151507,63.333333333333336,"Onondaga County, New York"
2,0.3748618248631234,0.8263664591493054,0.17363354085069466,0.8990537719461096,0.419,0.06626163032912095,54.285714285714285,"Onondaga County, New York"
3,0.453314772406861,0.7752415173035652,0.22475848269643484,0.8429891468279865,0.538,0.051645604777114294,38,"Onondaga County, New York"
4,0.5707908453726293,0.715766306277204,0.28423369372279605,0.8154752076987066,0.367,0.027385085404804888,29.23076923076923,"Onondaga County, New York"
5,0.685248271539035,0.6436749941904729,0.3563250058095271,0.7497714265442661,0.424,0.03583530065268713,25.333333333333332,"Onondaga County, New York"
6,0.5204493342011977,0.7414834562933444,0.25851654370665555,0.838984922837675,0.429,0.04636855992223302,31.666666666666668,"Onondaga County, New York"
7,0.5380993391225846,0.7276609071845289,0.27233909281547103,0.8090167499722161,0.389,0.04643105124288294,38,"Onondaga County, New York"
8,0.5334157144654723,0.7296454358942785,0.27035456410572145,0.8140720474774384,0.455,0.04807665601999722,38,"Onondaga County, New York"
9,0.5207957596589228,0.7404206844651684,0.25957931553483166,0.8221908873898889,0.449,0.049048743230106925,38,"Onondaga County, New York"
10,0.5647102820614531,0.7114901384384426,0.2885098615615575,0.8017317526369355,0.473,0.049382030273573116,31.666666666666668,"Onondaga County, New York"
11,0.5630744456099628,0.7121337675398288,0.28786623246017123,0.7991650539279164,0.467,0.042223302319122344,42.22222222222222,"Onondaga County, New York"
12,0.7095285804307108,0.6275450641784993,0.37245493582150063,0.7384286144307147,0.51,0.04182752395500625,27.142857142857142,"Onondaga County, New York"
