month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.7416052625498427,0.6152312576193188,0.38476874238068115,0.7422806617534369,0.515,0.04958511400310661,55.44444444444444,"Providence County, Rhode Island"
2,0.715201720221363,0.6317925288225923,0.3682074711774077,0.75553848065142,0.511,0.04423706851453912,49.9,"Providence County, Rhode Island"
3,0.7486653089358425,0.6094058476870752,0.3905941523129248,0.7331197397380563,0.453,0.03237800903010841,35.642857142857146,"Providence County, Rhode Island"
4,0.7141826018376463,0.6298323304402247,0.3701676695597753,0.7398920066313106,0.531,0.018011927469396623,17.821428571428573,"Providence County, Rhode Island"
5,0.7479169249747204,0.6145531575631256,0.3854468424368745,0.7408201699085645,0.518,0.024345880516052187,20.791666666666668,"Providence County, Rhode Island"
6,0.7286975720306551,0.625985585955786,0.3740144140442139,0.7553500326732127,0.504,0.028277438410958464,22.681818181818183,"Providence County, Rhode Island"
7,0.7336733331373286,0.6200676313242307,0.3799323686757693,0.7397283050690177,0.544,0.028490716372504044,26.263157894736842,"Providence County, Rhode Island"
8,0.8383587428322192,0.5537588141200425,0.4462411858799576,0.6761179520242038,0.473,0.029009826882681028,24.95,"Providence County, Rhode Island"
9,0.7374193145438648,0.6177601253201128,0.3822398746798872,0.7380199639559456,0.475,0.029923300416093233,35.642857142857146,"Providence County, Rhode Island"
10,0.7566259535189757,0.6058131507466548,0.39418684925334524,0.7304838319393261,0.488,0.03001987911566104,23.761904761904763,"Providence County, Rhode Island"
11,0.6828198417853707,0.6510184213265513,0.3489815786734487,0.7629512879779196,0.511,0.02620099637025054,24.95,"Providence County, Rhode Island"
12,0.7389223227132338,0.6169033199930396,0.38309668000696045,0.7306146964418809,0.531,0.025420318548744072,22.681818181818183,"Providence County, Rhode Island"
