month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8282674945991347,0.5281082629926286,0.4718917370073714,0.6463700110386906,0.254,0.1523084643693543,35,"Richland County, South Carolina"
2,0.8412385487530452,0.5196048742031709,0.48039512579682914,0.6430615650812358,0.265,0.14250585480093678,35,"Richland County, South Carolina"
3,0.7848040751991883,0.5574708512465039,0.44252914875349614,0.6796567262552227,0.287,0.11654399464703914,24.5,"Richland County, South Carolina"
4,0.8550015127160194,0.5010447354027905,0.49895526459720957,0.6159937445144994,0.278,0.07664770826363332,18.846153846153847,"Richland County, South Carolina"
5,0.7999777203814988,0.5285193986618737,0.4714806013381263,0.6324237424565324,0.275,0.09347607895617265,27.22222222222222,"Richland County, South Carolina"
6,0.8034463639942847,0.5431553665111319,0.4568446334888681,0.6542970720724868,0.278,0.10010036801605889,20.416666666666668,"Richland County, South Carolina"
7,0.8921041910242222,0.49110069589733807,0.5088993041026619,0.6165409708589467,0.282,0.09539979926396788,24.5,"Richland County, South Carolina"
8,0.8827292478581894,0.4982475926424983,0.5017524073575017,0.6227209157686042,0.286,0.101288056206089,24.5,"Richland County, South Carolina"
9,0.7513005316433503,0.5758188775385206,0.42418112246147943,0.6875435389272315,0.271,0.10314486450317832,27.22222222222222,"Richland County, South Carolina"
10,0.813266460454573,0.5347781586376382,0.4652218413623618,0.6490971999326867,0.235,0.11273001003680161,27.22222222222222,"Richland County, South Carolina"
11,0.8717562164511741,0.4972714613740677,0.5027285386259323,0.6182414158267598,0.274,0.10284376045500168,22.272727272727273,"Richland County, South Carolina"
12,0.8754463730041215,0.495364340599773,0.504635659400227,0.6153177993441912,0.262,0.10357979257276681,24.5,"Richland County, South Carolina"
