month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.9979060933071884,0.43241151516297116,0.5675884848370288,0.5460227815812003,0.227,0.04533480521195996,54.21052631578947,"Riverside County, California"
2,1.0017255882593332,0.43180940457082206,0.5681905954291779,0.5457356809156622,0.226,0.04220423259456348,57.22222222222222,"Riverside County, California"
3,0.9936324502763121,0.43337198806297295,0.566628011937027,0.5478070149940791,0.23,0.034344778133167275,49.04761904761905,"Riverside County, California"
4,0.9139746684871031,0.4764902129796282,0.5235097870203718,0.594097915160755,0.268,0.0215545302725806,42.916666666666664,"Riverside County, California"
5,0.9936846799833919,0.43474688284860225,0.5652531171513977,0.5483393404451068,0.235,0.026696670346363235,54.21052631578947,"Riverside County, California"
6,0.988176050840009,0.4351564204664673,0.5648435795335327,0.5468732929174611,0.212,0.030517893703944823,54.21052631578947,"Riverside County, California"
7,0.9836576601250236,0.43796152395130766,0.5620384760486923,0.5529382838135509,0.224,0.028600677441573023,49.04761904761905,"Riverside County, California"
8,0.9926856368412359,0.4341460106025302,0.5658539893974698,0.5466427280292878,0.211,0.02911583496089143,54.21052631578947,"Riverside County, California"
9,0.9925029452386358,0.4351406177293448,0.5648593822706551,0.5493206326343796,0.224,0.02891581042958099,57.22222222222222,"Riverside County, California"
10,0.9912451858467687,0.4349369075270869,0.5650630924729131,0.5472550730451134,0.216,0.030887750384481116,57.22222222222222,"Riverside County, California"
11,0.9842127114032375,0.4396450574512787,0.5603549425487213,0.5528314111305564,0.208,0.029172445677300044,54.21052631578947,"Riverside County, California"
12,0.977004989480185,0.44053918913086526,0.5594608108691347,0.5526294511832316,0.215,0.029588534442903377,54.21052631578947,"Riverside County, California"
