month,entropy,hhi,gini,bp,diss,density,infomap,city
1,1.0552154678746954,0.4302064974950869,0.5697935025049131,0.5687887138804396,0.305,0.046277707165828956,82.9090909090909,"Sacramento County, California"
2,0.9942895262082369,0.4675139224705345,0.5324860775294655,0.6050182112453037,0.298,0.043659849403970954,70.15384615384616,"Sacramento County, California"
3,0.9944754845357081,0.4578135794532306,0.5421864205467694,0.5934757974970831,0.308,0.03306564985460358,57,"Sacramento County, California"
4,0.9806768820459962,0.4748666735719375,0.5251333264280624,0.608554819213396,0.32,0.019620091667148114,31.448275862068964,"Sacramento County, California"
5,1.0425684160217124,0.439214528370968,0.560785471629032,0.576542344163464,0.302,0.02396874458374256,38,"Sacramento County, California"
6,0.9863067569704406,0.46832793394916167,0.5316720660508383,0.6039301724110414,0.306,0.027908169160552315,57,"Sacramento County, California"
7,1.0441533297925263,0.43786594786177013,0.5621340521382299,0.5783610698388556,0.298,0.027220906272266837,48,"Sacramento County, California"
8,0.9752741242818392,0.4786758107331872,0.5213241892668128,0.6141157325557113,0.302,0.026814085158010287,50.666666666666664,"Sacramento County, California"
9,1.0186443470154707,0.44627850834367955,0.5537214916563205,0.5874724296150817,0.3,0.027039160744891867,53.64705882352941,"Sacramento County, California"
10,0.9626754508520149,0.4862252999548249,0.5137747000451751,0.6302233127814666,0.3,0.029019103741791362,53.64705882352941,"Sacramento County, California"
11,1.0288432777760306,0.4465045953328076,0.5534954046671924,0.579598601183546,0.302,0.02626523773759316,50.666666666666664,"Sacramento County, California"
12,0.9935150693203474,0.46775706240760984,0.5322429375923902,0.6076360364089339,0.307,0.026734646715581487,48,"Sacramento County, California"
