month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.8488461107329146,0.4887985246608657,0.5112014753391343,0.587027532909004,0.271,0.0731342672237241,52.166666666666664,"Santa Barbara County, California"
2,0.848494712486391,0.48880586679374516,0.5111941332062548,0.5859101837558355,0.271,0.06708241173097403,52.166666666666664,"Santa Barbara County, California"
3,0.8486234890341987,0.4888038816257661,0.511196118374234,0.5859685744078533,0.271,0.054169738674531,39.125,"Santa Barbara County, California"
4,0.7149270214553933,0.5864382991702377,0.41356170082976235,0.6846584759399247,0.271,0.033167444908658965,22.357142857142858,"Santa Barbara County, California"
5,0.8323987854990993,0.49337771045457546,0.5066222895454245,0.5878754727629731,0.271,0.039833701974277054,34.77777777777778,"Santa Barbara County, California"
6,0.849529273122507,0.4881858837424947,0.5118141162575053,0.5869535544096307,0.273,0.04519947571065782,39.125,"Santa Barbara County, California"
7,0.771969632364613,0.5397259827135548,0.4602740172864452,0.6452457679450775,0.273,0.043530351437699684,34.77777777777778,"Santa Barbara County, California"
8,0.8463118571993925,0.49454927252268327,0.5054507274773168,0.600443616826597,0.272,0.04505611534365528,31.3,"Santa Barbara County, California"
9,0.8394935438039781,0.5044131984849013,0.4955868015150987,0.6106960487203072,0.269,0.045619316785450975,31.3,"Santa Barbara County, California"
10,0.8891594965004719,0.4703476629804153,0.5296523370195847,0.572444285746834,0.272,0.04728844105840911,39.125,"Santa Barbara County, California"
11,0.8683438521620046,0.4853223422624583,0.5146776577375417,0.6012377923567958,0.269,0.04151306627344966,31.3,"Santa Barbara County, California"
12,0.8789004036800353,0.4802882331293147,0.5197117668706853,0.5912164387507928,0.269,0.04111370525108544,28.454545454545453,"Santa Barbara County, California"
