month,entropy,hhi,gini,bp,diss,density,infomap,city
1,0.6037581808281597,0.6618293073544751,0.33817069264552496,0.7765845116801786,0.056,0.0648873358235932,43,"Sonoma County, California"
2,0.6115965749768004,0.6600816637099106,0.33991833629008944,0.7768065622011949,0.13,0.060274999665287654,38.7,"Sonoma County, California"
3,0.5988700825067038,0.6693616539445643,0.3306383460554357,0.7854840702203657,0.152,0.04483137191897284,25.8,"Sonoma County, California"
4,0.5542394048367443,0.6997652350691183,0.3002347649308818,0.8092332827277876,0.167,0.024527720876678583,15.48,"Sonoma County, California"
5,0.6319172298482686,0.642683128523748,0.357316871476252,0.7647734259439734,0.149,0.030619485614063274,25.8,"Sonoma County, California"
6,0.5882671040903774,0.6741807680305535,0.3258192319694465,0.7888980297111603,0.124,0.03754803122196784,21.5,"Sonoma County, California"
7,0.6236179680019166,0.6501457957217589,0.3498542042782411,0.7696546997996199,0.129,0.036965631736086,29.76923076923077,"Sonoma County, California"
8,0.6036235196786337,0.6633526250532902,0.3366473749467099,0.7801782307318402,0.136,0.03686521803162362,25.8,"Sonoma County, California"
9,0.5948232312488778,0.6715680083021769,0.32843199169782317,0.7854786598578662,0.154,0.03764844492643023,24.1875,"Sonoma County, California"
10,0.5314117301589093,0.7134734728432097,0.28652652715679033,0.8172153261442081,0.108,0.03929522967961334,25.8,"Sonoma County, California"
11,0.6022849426085738,0.6653284634544702,0.3346715365455299,0.7824677618657027,0.129,0.036530505683415676,25.8,"Sonoma County, California"
12,0.5498692196220085,0.7005134644545353,0.2994865355454646,0.8093325627791242,0.133,0.036878606525551944,24.1875,"Sonoma County, California"
